r_points,r_text,place,,
20,"The hotel is well situated to the centre of old Nicosia, old and in need of renovating. Things look dated and the rooms need painting to cover the marks on the walls, the chipped wood, etc.The room was clean, but when you get a ""superior"" room, you do not expect a connecting door to the next room where you can hear the other people in that room even when they whisper. Unlike other hotels, there was nothing in the room - no tea/coffee making facilities, no water, nothing.WiFi in the room and throughout the hotel worked OK if not very fast.Breakfast was OK, but very standard (typical eggs, beans, bacon, sausages, cereals, etc.), but nothing out of the ordinary or even nice.When got a water from the machine in the hallway it was very warm (temperature outside was over 30C) and had to argue with the receptionist to get a cold bottle of water - ""sorry, not our machine"" is what she said over and over again.The hotel is in located on a VERY busy and noisy road and in front of a fire station and police station so expect to be woken up at 7am when they test their sirens at the fire station and because of the general noise of that street.When got back after midnight the keycards did not work - either of them - so that meant a trip to reception only to be told that as it was after midnight on the day we were leaving, they didn't work - even though we had another 12 hours at the hotel. Receptionist didn't even apologise.The notice in the lift (see photo) was a bit insulting - bad comments and reviews were because of the ""emotional state"" of the guests? No sorry - bad reviews are because of the very average service, the old furniture, average food, argumentative receptionists, etc.Overall, it was just about ""OK"" with nothing special at all. It is not somewhere I'll come back to.For the money I paid, I expected better and could have got better.",Castelli Hotel,Review 16 Similarity,0.475655698
50,"The Location of the Hotel is just perfect, just few minutes from the main Shopping Street. Personel very friendly and helpful with all your requests. Breakfast has a range of hot and cold that completes all wishes. I was allocated in one of the renovated rooms with parquet. I recommend this Hotel and i will be back soon",Castelli Hotel,Review 46 Similarity,0.475190963
20,"I have stayed at the Castelli several times in the past and found the standards in the hotel to be acceptable. However my recent stay was a very bad experience, The room was far from clean and had a stink of smoke , the shower screen leaked water, the delph was unwashed from the last guest. there was no milk. When this problem was brought to the attention of reception no action was taken The electricity in the room cut out on a regular basis. The toilet flush did nor work properly.It strikes me that standards have dropped off. I had paid extra for and ""Executive Room"" and expected standards to match the description.The hotel is centrally located which was the only real bonus .I won't return",Castelli Hotel,Review 27 Similarity,0.466173237
40,"This hotel is within the old town of Nicosia. It is very close to the main bus station and a few hundred meters from Ledras street wih all it's shops and restaurants.The room standard in the executive rooms is good, the beds very good and the service efficient and friendly.Breakfast is average but not quite to the standard of the breakfast in the neighbouring Classic Hotel.",Castelli Hotel,Review 82 Similarity,0.466173237
50,"This was our second visit to the Castelli. When booking, the Receptionist remembered we'd been once before. The hotel is centrally located with FREE parking right beside the hotel. Our room this time was superb, complete with a settee and two easy chairs. There is a very good selection at breakfast, catering for all tastes. The waitress was extremely helpful and attentive. Although not 'The Ritz', the Castelli is good value for money and an excellent base for going into Occupied Cyprus and also to Ledra Street, etc.",Castelli Hotel,Review 115 Similarity,0.466173237
30,"We stayed here for 2 nights in June Firstly I have to say the receptionist was very helpful we had booked a superior room with a balcony and were given a nice room but with a small window looking at walls? We went back to reception and informed them that we had booked for a balcony room and fair enough she found us one with no problem, No kettle again in room and the prices to get coffee etc brought to your room were astronomical luckily I always take a travel kettle with me and the wherewithal to make a cuppa. The hotel was spotlessly clean and most of the staff very friendly we tried to book a table at the Polynesian Restaurant in the hotel (this was advertised in the hotel bumph in the room) just to be waived away and told No No Not doing it Not Open???? Why advertise it then.. The room we were given was opposite the fire and police station but please do not let this put you off as we heard nothing when the windows/doors were closed and even when sat on the balcony there was not really any disruption at all they kept the sirens/bells to the absolute minimum and after all they have an important job to doBreakfast was however faultless very good help yourself and staff pleasant. My opinion is good hotel for business customers not so great for holiday makers really no downstairs space & no garden/patio area to sit in",Castelli Hotel,Review 85 Similarity,0.462938655
30,"I recently stayed in the one of the Executive Rooms at the Castelli Hotel, after being advised by the receptionist at the nearby Holiday Inn that the rates were cheaper the rooms were the same. In fact the Castelli Hotel shares some of the Holiday Inn perks (i.e. the pool, spa area and even the room menus are Holiday Inn) as they are owned by the same company. But if the Holiday Inns air conditioning was as weak as the Castelli I am glad we didn't pay the extra - we had it on the whole time we were there and I would say that the morning when we left (just an overnight visit to Nicosia) was just getting down a nice 18-20°. Needless to say our nights sleep was sticky in the 35°+ heat of late July.The staff were lovely and the breakfast was great . Full cooked English and Continental style also. The food menu in the room also looked good. As is normal in Europe, no tea/coffee facilities were available in the room, although there was a coffee bar on the ground floor.The bathroom was clean and well stocked. But it has to be said that the room had a worn look about it, with dusty, shabby, hanging off curtains and the lamps by the bed look like they had coffee spattered all over them. The TV channels only had news in English - but a selection of other Greek channels available.For 100 Euro in the city centre, its OK - if you ask to see the room first then you should make a decision. If you're there to see a bit of Nicosia for a night its not too bad - but I am unsure if I would want to pay this rate for a week with the shabby state of the room itself.",Castelli Hotel,Review 106 Similarity,0.457667411
30,"Castelli hotel belongs to same chain as nearby Holiday Inn, thus the same services are available for the guests of Castelli as that of Holiday Inn. Distance between the two hotels is app. 200 meters so it's convenient to use the spa, swimming pool, fittness centre and other services of Holiday Inn.Castelli is not fancy but for regular travelling it's sufficient. Rooms are clean and comfortable, breakfast is what you expect from this grade hotel, if not a bit better. City centre is within walking distance. There is a good service of wifi coverage in Castelli, though you have to pay 6€ to use it for 24 hours, though the time does not count from the first login, since it is 24 hours of online time within 7 days.You can smoke in room but not at the lobby.",Castelli Hotel,Review 90 Similarity,0.456014593
30,"we went for a weekend in june 2013, hotel ideally situated for old town and for the crossing of the border but everything is dated.Rooms need upgrading, food needs upgrading.staff were very friendly and help ful though",Castelli Hotel,Review 78 Similarity,0.454369467
50,"The location of this hotel was perfect, close to the bus station and to the centre of town. I arrived and was able to check in early, which was extremely convenient. The concierge answered my million questions about what buildings were were (I was travelling on business, and had never visited Nicosia before). The room was well kept and clean, and the breakfast buffet was delightful. Would definitely stay again.",Castelli Hotel,Review 47 Similarity,0.449013255
10,"I was fortunate I didn't book this hotel myself (so, I didn't have to pay for my stay); I was brought here by a company that booked/paid it for me.It's the worst experience I've ever had. I should have known better, when I called to confirm my stay and spoke to the Hotel Director. She had a bit of a difficulty to find the name of the booking, but ended up laughing at my worries of whether the booking was valid or not.Nevertheless, I didn't pay much attention. I came yesterday and when I went up to the room, I found a room filthy at all levels (pictures uploaded for all below observations):1) the floors were sticky,2) there was dust everywhere on the furniture,3) the TV cable was hanging from the wall (its not only a matter of aesthetics, believe me!),5) there was rust on various spots on the W.C.,6) the toilet's flush was kind of broken,7) the ceiling was broken - missing a spot that you could not only see the cables on top of it but also listen to the next room's tenant!8) thd sheet had cigarette burns!9) BUT worst of all, the toilet and the towels were dirty, with yellow spots underneath the washes the towel has undergone... and I know this because such towels I dont even use at home for mopping the floor or as a toilet mat!!! They were torn, overwashed and overused and dirty....9) As if all above wasn't enough, I called the reception to provide me with new ones. After 20 minutes a woman came with 2 bath towels saying that they dont have any facial towels and asked me to give her back all of which I had. When I didnt give her back my bath towel, but only the facial ones, she said: ""Oh ok, then I'll give u just one, you don't need 2!"".I was practically ready to scream at her about this and all the other stuff, but I tried to think calmly understanding that there was no point. The premises do not reflect to Cyprus hospitality nor to 2016's hotel standards.If I was a Hygiene Inspector I would have locked the placed down immediately. I really do not understand why booking has rated it with 6.9!!!",Castelli Hotel,Review 45 Similarity,0.448321933
30,"I stayed at the Castelli hotel for two weeks when I attended a course abroad in Cyprus. The staff were always helpful when needed and the wifi was really fast. The aesthetics of the rooms are quite average, and the sound proofing between rooms are not that great, but if you just need a place to stay for a short while its really not that bad. The morning and evening buffets are really good, its difficult not to over eat, haha. The hotel is also situated very close to the main street and markets and the border to the Turkish side is also just walking distance away. I haven't stayed in other hotels in Cyprus so I can't really compare it with whats around. My opinion is just what I have experienced back home in Namibia and South Africa.Ps. I am not sure if it is just the exchange rate not in my favor, but doing laundry at the hotel is soooo expensive so pack enough clothes or make some sort of plan B ;)",Castelli Hotel,Review 33 Similarity,0.446418222
30,"We were only for one night stay at this hotel. The room was ready for us at 4 in the afternoon!! It was a large room facing to nowhere! From the one window we were looking to big tubes and machine!.. The bed was large and comfortable. Small bathroom with very ""old"" towels. Clean room and free WiFi. Flat tv but no good reception. The air-condition doesn't works at all. Only made noise and no cold air!! It was a very warm day at Nicosia, so we open the window to take a breath!! We asked reception about the air-condition, they went to our room to see it, but nothing else. We had all night the window open. Breakfast was average and we talk to waiter to fill the buffet plates because there were empty as well as the hot water for tea. She serves almost all the buffet plates and bring hot water.All staff were very polite and make efforts to serve us as better as they could.Location of hotel is fine. There is a small parking place in front of the hotel.",Castelli Hotel,Review 52 Similarity,0.440293721
30,"Let me start with what's nice about Castelli. First of all, the location. Close to the central Ledra street, yet tucked away around the corner so not noisy and crowded.Staff is nice. Breakfast was pretty good.Rooms were so and so. I don't mind if they're a little scruffy here and there - not everything has to be brand new and modern, sometimes there's a lot more charm in old-fashioned furnishings but in that case you have to make sure everything is squeaky clean. Unfortunately - as many others have mentioned here - that is not the case. There's dust and hair on carpets, in bathrooms, also dubious looking stains on carpets, furnishings, curtains, even lampshades... With a little bit of work this could easily be avoided and this hotel could be a much better place.",Castelli Hotel,Review 36 Similarity,0.431228773
50,"- We stayed on Castelli for 3 nights. We have no negative comments. Everything where just fine.- AC was perfect, towels changed daily and breakfast was nice for a 3 star hotel.Free and fast WI-FI for all your devices, what else you ask more.- Very central with is own private parking.Thank you all for a lovely stay.Margaret RM181",Castelli Hotel,Review 17 Similarity,0.423333757
50,"The service was very good, very friendly and helpful, they leave you very comfortable. The hotel is well located near the center, The room was very spacious.Excellent cleaning service, well organised.",Castelli Hotel,Review 5 Similarity,0.414780678
20,"Finding a good hotel in Nicosia is a challenge, and my Castelli experience confirmed it. The room size was fine but the attempt at renovating it ended with the laminated floor. The small bathroom showed it's old age and the view from my room was awful. The furniture in it was a mix of old and new, but not a tasteful result.For €80/night one can get a great room in Dubai, so massive investments must be made in Nicosia's hospitality industry.",Castelli Hotel,Review 37 Similarity,0.414780678
20,"My room was clean but others in my party complained they had insects crawling in their room. The decor needs refreshing as it is outdated. The receptionist I dealt with was good: friendly, helpful, polite. All the others just seemed to do the bare minimum they needed to do. I get the feeling this stems from the mico-managing hotel owner: everything has to be done his way or take a hike kind of attitude. The continental breakfast was ok. It was basic but there was a small selection of cereals, breads, and meat. Pleasant.There are better hotels in Nicosia for the same price range.",Castelli Hotel,Review 11 Similarity,0.40730654
20,"We usually use Holiday Inn hotel for the accommodation of our guests from abroad. This time the Holiday Inn was fully booked so they suggested to us their 3* hotel (which belongs to the same people) 30m away. It was the first and the last time we use this hotel. On of our guests stayed in room number 382 and the next morning he was complaining to me that the A/C was not working sufficiently so I told the receptionist to fix it or change the room for our guest. He promised he will make sure that the A/C will be fixed since there was no extra room. The next morning the same story was repeated. Our guest in room number 382 stayed awake all the night since it was very hot and A/C was not working properly. Again I told the same guy to fix the problem or change the room. He did nothing and the next day the story was repeated and so on!!!!!!!!!!!!!!!!!!!!!!!! At least if it is summer, I suggest not to risk it. In winter, maybe the things are better, however I don't know. But what is very bad is the lack of response from the receptionist!!!!!!!!!!!!!!!!!",Castelli Hotel,Review 75 Similarity,0.401609664
20,"Just back from 2 days in Nicosia/Lefkosia in Cyprus. Chose Castelli hotel because it was within walking distance to Ledra, the street wth all the shops and restaurants and ultimately meets the border to the Turkish side of Cyprus. Location was very good, 10 min walk away, area very active and safe. Free parking outside hotel.Staff at hotel were pleasant and helpful but our room was awful. It hadn't been vacuumed properly, found a clump of black hair on the carpet, we're both gray- so obviously not vacuumed well. Tub in bathroom had mould near faucet and around the edge of the glass door in tub - unacceptable when mould on glass can be dealt with so easily. Mound in grout on shower tiles as well! Every time I went into the bathroom I started to sneeze.Room is very tight, hard to get around bed, maybe 16"" between bed and wall. Weird floor. Felt like someone dug/drilled a 6"" groove down the middle to put in pipes or wires and never leveled the groove with the rest of the room, just covered it all with carpet. Thus walking on it was off kilter and felt odd. Same in section near elevator- all this on the 3rd floor.Breakfast buffet was good, but based on our room and state of flooring and bathroom, I would not stay here again nor would I recommend it to anyone else. Two star rating is for location and staff only.",Castelli Hotel,Review 39 Similarity,0.400012801
10,"Hotel was fully booked so they put me in a normal room instead of the Executive that I booked, without offering a refund or additional service in return. Still in the Executive the bathroom was very old, dirty and very small. An experience that will not be repeated.",Castelli Hotel,Review 22 Similarity,0.397573284
20,"We enjoyed our stay in Nicosia but we were a bit disappointed in the facilities of the hotel. Its position close to Ledra Street is excellent, but you have to walk through a pretty run-down area to get there; not pleasant at night! The staff were all helpful and the breakfast waitress was particularly friendly. The breakfast buffet was good and the coffee, from a machine, was excellent. There is no bar, cafe or restaurant, except for breakfast, and the public areas are tired and uninviting.The beds were comfortable but covered in plastic protector - must be hell in summer. Our room was rather dark and was at street level so it felt a bit public with the curtains open. The bathroom was fine.Overall, we were rather disappointed in the hotel; an enormous contrast to their website!",Castelli Hotel,Review 89 Similarity,0.381661267
30,"Its an average hotel, low budget with not something special. Its good choice if you dont have enough budget and breakfast is average. Place is quite to sleep but I dint have time to use the next door gym of holiday inn",Castelli Hotel,Review 91 Similarity,0.381000381
40,"Excellent weekend at this hotel, the room was large, clean and comfortable. The staff were very pleasant and helpful, the buffet breakfast excellent with a good choice of hot or cold food. The bathroom needed updating but was our only reson for not giving 5 stars. The hotels position is ideal for looking around the old town and crossing the borded on foot.",Castelli Hotel,Review 92 Similarity,0.381000381
50,"Perfect locations, the hotel is in oldtown, just walking distance ( 3 min ) is the bus station and 5 min shops, bars, restaurant , Turkish border. Room 284 was spacious and clean, the staff very friendly, the breakfast gives very hearty meals. Wifi in rooms, but f your package is not includes free, the fee is 6 EUR / day ( 24 hrs). I am obdurate, but to tell the truth I felt great myself there , it was really good choice.",Castelli Hotel,Review 72 Similarity,0.373364328
30,"Basic hotel in a central location. Small room, dirty floor, water dripping from the ceiling. Basic breakfast, without variety. Receptionist ok but nothing special. The price is quite high considering the whole service received.",Castelli Hotel,Review 3 Similarity,0.362933093
40,"I stayed in the Castelli Hotel during a weekend trip to Nicosia. The Hotel is located in the city centre. The hotel is a small hotel with very helpful staff as they gave me and my partner great tips of what to see in Nicosia and where it is worth of going to!!! The rooms of the Hotel are nice, clean and have a nice balcony. We had a great time in the Hotel as well as in Nicosia therefore would for sure recomend it!",Castelli Hotel,Review 102 Similarity,0.359210604
30,"Being in the city, this hotel was good value for its location, car park, breakfast and wifi. Don't expect any more than that! It was a short walk to the main area of Ledras-crossing to North, bus terminal. Next time stay no more than 1 night in Nicosia instead stay over at Kernia/Girnia.",Castelli Hotel,Review 51 Similarity,0.352234977
40,"This hotel is a little old fashioned with good rooms, good beds and shower.Clean rooms, free wifi and a breakfast with a good selection; although more English style.Free parking, but with limited space!Convenient situated within the city walls its on walking distance from Ledrastreet.Good hotel for a short stay.",Castelli Hotel,Review 53 Similarity,0.343471033
40,"I stayed here three nights for a business trip. Location is great near central bus station, Ledras street and Cyprus museum. Rooms were comfortable but furniture is dated, carpet worn. The faucet in my bathroom could not be positioned where it would not drip, and room and halls were not well cleaned, e.g. hair clumps on carpet. Breakfast buffet was limited but with good variety. The hotel was good budget value for the price.",Castelli Hotel,Review 15 Similarity,0.339422117
10,"Booking lost. Room not ready. Booked king bed, given two singles after complaining given a double room which was small dirty ( bedding, carpet, curtains and walls). Walked out after 20 minutes keys to front desk who did not bling an eye. This seems to normal with this hotel.",Castelli Hotel,Review 42 Similarity,0.336010753
10,I stayed in this hotel if u can call it that in September.After seeing the website I saw it looked very nice.But staying there I walked in to the Moody receptionist who was annoyed as his shift change was late.The new receptionist was plesent. I went to my room and the carpet was old dirty and tatty the bathroom was full of mould and the sink had a yellow stain on it. There was a long hair in the bath and the as u can see from pictures the shampoo holders were rusted. I went to complain at reception where I met a prostitute booking a room for two hours for the next night!!!! I told the reception about the room and she said that all hotels are like this. As i have worked in the 5star hotel industry for many years i told her she was mad and she said she would change my room if she could no supprise never happened.Conclusion never will I stay here again and will not recommend to anyone pay the extra and stay somewhere else. Also no balcony cracked doors and dirty towels. Rant over,Castelli Hotel,Review 50 Similarity,0.331618266
30,"I hate to complain about this place because their staff indeed was really nice people and even I have a worry about leaving the hotel to go to another hotel after the very first night (of 3 nights booking). But it is what it is... I was not happy about the very first experience I got once I entered the room. It was not in the quality that they display on booking dot com website. It was not tidy, the bed had wrinkles, towels were old and brownish with stains, the washrooms had not been cleaned properly. Even the heater was not working. So I contacted the reception and by the midnight they offered me another room since it was too cold without the heater. I had to walk down and get the new key and transfer all of my stuff to the new room. It was a bigger one with a working heater... but again the cleanliness was the same! I think that was pretty normal to them, maybe because it was kind of a place where you get what you pay for. My company travel agent had booked this place maybe because it was cheap. But it isn't a good environment for a business visit especially when you have lot more stuff to focus! They didn't have irons, so I was asked to send my cloth to some external laundry, but I didn't have that much time left. I wouldn't say that this a bad place... because they have a good staff. I only would say that this is not a place where you should go when you have many other things to focus on because you might waste a significant amount of time resolving other issues such as no iron, dirty towels, no heater and no bed duvet etc. I didn't rate this place as 'poor' or 'terrible' because they have such a nice staff. I would suggest the hotel management to even that it would be fine to increase the price if they could increase the quality and cleanliness! Because they have a pretty good location and infrastructure which definitely require some renovation (doors etc) and good interior detailing and attention to detail (to make it a cleaner place). With some little more attention they can go for a higher rating for sure!",Castelli Hotel,Review 40 Similarity,0.30838357
40,"The hotel is located within walking distance from the Old Town. It is good standard. How ever my room was rather strange, wih a small roofed patio, obstructing the sun and thus limiting day light access (there was no other window). The same with conference room which didn't have daylight access.Breakfast is ok, nothing special.",Castelli Hotel,Review 49 Similarity,0.306335832
10,"We upgraded to a suite and because of the price our expectations were not high. Two little chairs and a small table in a dark corner doesn't make a room a suite. Told there was free parking which would have been great had there been anywhere to park. The car ended up on the street round the corner outside the fire station.Very dark unloved hotel with front desk guy totally uninterested.Air conditioning doesn't work and the 'suite' was like an oven. Got fobbed off royally by said front desk staff member. Promised he would have a free standing fan sent up. When we got back late evening, still no fan. Female front desk manager was most helpful. But. First fan didn't work. Neither did the second one. She was most apologetic but could do no more. It was about 28 degrees in the room so we sweated all night.Breakfast is included but we are giving that a miss. Only thing in this hotels favour is location. Won't stay here again.Tea facilities available but there's no plug socket for the kettle. TV reception rubbish.",Castelli Hotel,Review 54 Similarity,0.304850698
30,"This is a budget hotel and you get what you pay for - perhaps a bit more than you pay for to be fair. Rooms were a bite dated - old TV, dim lighting, old bathroom. That said, everything worked and the bed was comfy - although it could have done with a few more pillows, but was on my own so could monopolise the two that were on the bed. The reception service was polite and efficient and there was a nice lady in the restaurant - which had a floor that smelt quite comfortingly of a mild bleach smell - it was really clean - and freshly cooked and very decent breakfast food. Nothing supersonic, but it was a rally good price, so overall good value solid city centre accommodation. If you are on a tight budget then very fair option.",Castelli Hotel,Review 58 Similarity,0.291294928
40,"We stayed here for 1 night so we could see the major sights of the Cypriot and Turkish sides of Nicosia without being rushed. It was a very good choice. Check-in was easy, the room was large, clean and well furnished, and the location was just a 5 minute walk from the main shopping/restaurant street. Very nice!",Castelli Hotel,Review 60 Similarity,0.281126765
50,"Read the reviews and knew that for the price it wasn't going to be The Ritz. BUT - location was great for access to Ledra Street and the shopping/eating areas of Nicosia and close to the border crossing and all amenities. Wish we had booked another night to see the city properly. We got upgraded to a bigger room and it was clean, quiet and with everything we needed.",Castelli Hotel,Review 88 Similarity,0.281126765
40,"We got SO lost in Nicosia. So we finally found this road with three hotels on it. Picked this one because they had their own parking. Receptionist was pretty unfriendly but we did get upgraded to a pretty nice room - so we´ll let her off. Reception were really unknowledgable about North Nicosia and North Cyprus in general. Didn't even know the area code for a phonecall...... Internet here is really expensive. Something like 6 euros for an hour. Bed was comfy as, view was of nothing. Breakfast was pretty nice, waitress was real friendly. No swimming pool, gutted!!! Close to town and an internet centre nearby that is waaaay cheaper, it´s not a bad place!!!",Castelli Hotel,Review 108 Similarity,0.277136998
40,"Had a one night stay at Castelli on a quick tourist visit to Nicosia. I had a rental car so I needed a place with parking, and not many city centre hotels can claim their own protected parking area. Parking involved parking in front of the barrier and then running in to ask them to lift the barrier (might be better if there was an intercom, but it was easy enough).The Greek check-in guy was funny and friendly and chatty. Check-in was easy and memorable.As for the room. The bed and the bathroom were fine. The TV only had local channels -- no satellite (unless I am mistaken). The main problem (and here it loses a star) is that the air con simply did not work. However there was a big fan in the room which kept it cool enough. Wifi was adequate.Breakfast was simple but fine.The location is great. Only two minutes walk to the main street and five minutes to the ""border"" crossing to the North.I would stay here again! It was great value pricewise for a city centre hotel with parking.",Castelli Hotel,Review 30 Similarity,0.276520452
40,"This hotel is centrally located. Although it's next to a small street with sex shops it's was quiet at night and the area seems to be safe. The room size was okay for a short trip when you don't have lots of lugguage. The room was clean and had everything we needed. The beds were comfortable and the air con is really quiet. Usually you have to pay for the Wifi, but we were offered the connection for one device for free.The breakfast could have been better and offer more choice. All in all, our stay was good considering the price we paid.",Castelli Hotel,Review 65 Similarity,0.269407953
50,"After a long day driving around we planned to just find a radom hotel to stay the night, and very glad we chose this place. It’s quite and in an amazing location.The young lady on reception couldn’t have been more helpful and despite her warning me our room was a small one we found it lovely and in our opinion not really that small. As it was late she wanted to make sure the room was ready so we left our bag in reception whilst it was checked out. Both my wife and I had a great night sleep and Cam enjoy another lovely day in the capital city. Will come back for sure and hope to book in just before Christmas for some shopping as the location is within walking distance of sightseeing seeing, bars, restaurants, and many places to eat. Thank you",Castelli Hotel,Review 7 Similarity,0.257603274
20,The location is perfect. Close to everything. Reception rude. Rooms dusty. Bathrooms old. Definitely needs restoration. Just an old hotel from the early 90s and NOT in a fair price for just that. Forget your business meetings. There is no room for that and the lobby is small.,Castelli Hotel,Review 76 Similarity,0.254000254
30,"A reasonable place to stay, but no more than that. The location is reasonably quiet and convenient. Internet service was both expensive and inadequate: I had to take my laptop over to the sister-hotel, the Holiday Inn down the street. Despite the warm March weather, the central air conditioning was not turned on, leaving no alternative but to open the window to cool down the room. In retrospect, I would have preferred to stay at the Holiday Inn.",Castelli Hotel,Review 113 Similarity,0.254000254
20,"I’ve stayed in this hotel for 3 nights, booked the executive room.When I came into the room I immediately noticed that it was not very clean. The fridge was empty and switched off. There was not even a single bottle of water in the room.The whole facility is very dated. Breakfast was below average. The hairdryer in my room was probably 30 years old.What I can compliment is the staff which was very friendly.Do not reccomend.",Castelli Hotel,Review 26 Similarity,0.238332214
10,"had a room confirmed by manager for wheelchair assessable room, 5 rooms were suggested but did not work. receptionist told me to carry my wife in or let her crawl in? manager apologised and said the wheelchair room will be ready the next day? builder told me it will take at least a week as it was a building site? on their website it states wheelchair toilets and there were none.we were left to sleep in the reception area until moved to another hotel",Castelli Hotel,Review 28 Similarity,0.237595482
40,"During our stay in Nicosia, we had to move between two hotels. The Castelli was our home for the last two nights in Cyprus. The staff were really friendly and helpful especially when they let us park our hire car in their car park a day before our stay commenced. Our room was very comfortable and large. Plus breakfast was varied and plentiful. It's in a prime location within the city walls, close to the main shopping streets and laiki yitonia.",Castelli Hotel,Review 109 Similarity,0.222250222
30,"Very good location for exploring the city, room at the front,and a good size and had 2 balconys but the rails were not very high so would recomend it for children, accross road from bus station so there were lots of bues in and out and fire station, alarm went off on Sunday morning and woke us up , windows need more sound proofing , quite a lot of nosie from the street, free car parking , the breakfast was a good selection of hot and cold and the staff were lovely . No bar which was disapointing also no where to sit out side although there was a small area out side the door which could have been made good use of. I would use this hotel again but would ask for a room at the back of the building.",Castelli Hotel,Review 99 Similarity,0.208682503
40,We stayed one night and would stay again. Great receptionist. Very friendly and provided great advice on places to tour. . Totally service oriented. Room was very good. Breakfast was outstanding. Price was the best value after a bit of research. Went into the unknown and came out extremely satisfied.,Castelli Hotel,Review 96 Similarity,0.176117488
