r_points,r_text,place,,
30,"Food was nice but a bit expensive we would say. Environment was romantic, music was lovely, service was really good.. it worths a visit!",Domus Lounge Bar,Review 43 Similarity,0.452267017
50,Excellent food and service..One of the best restaurants in Cyprus! Great for special occasions..I always enjoy going at Domus winter and summer time!,Domus Lounge Bar,Review 55 Similarity,0.452267017
50,This is a VERY good restaurant...prices are on the high side. Love the atmoshere.,Domus Lounge Bar,Review 135 Similarity,0.452267017
50,"I visited Domus few days ago with friends. I was having difficulties in choosing my meal and (luckily enough) in the end I followed the chef's recommendation for a salmon burger. It was an excellent meal, light and at the same time very tasty! I loved the combination of the ingredients. I also followed the owner's recommendation for my wine which was indeed amazing!Atmosphere is lovely, cozy and elegant at the same time. Music is at the right volume so that it doesn't distract conversations. I'm definitely going there again, I'm very curious to try their risotto which from what I've heard from friends has a very good reputation!Absolutely recommended, for a date, a night with friends or even a business meeting!",Domus Lounge Bar,Review 113 Similarity,0.449977043
50,"Simply the best ! Probably one of the best restaurants in town ! Very good food, amazing atmosphere and really good and friendly staff !👍👍",Domus Lounge Bar,Review 24 Similarity,0.430820218
40,"we went a group of 10, the food was very nice and the deserts excelent, the service was also very good, but one thing that realy annoyed me, and i mean realy, was that they charged us for the water that we did not ask for, granted most people drank the water but they should have at least let us know.",Domus Lounge Bar,Review 30 Similarity,0.426401433
50,"We visited Domus last week for dinner and the overall impressions were great. The salmon and steak dishes were cooked to perfection, seasoned properly and very tasty. Definitely worth a visit if you like fine cuisine!!!",Domus Lounge Bar,Review 38 Similarity,0.426401433
50,"Excellent food! excellent atmosphere! we always visit Domus to celebrate special occasions. Prices are a bit high,its value for money though. You get what you pay!",Domus Lounge Bar,Review 63 Similarity,0.426401433
50,"Every plate is a gastronomic experience for me...located inside the old city wall area next to Archbishop's Palace, it offers great atmosphere for dining..we strongly recommend it for couples that want to dine out for a special occasion.",Domus Lounge Bar,Review 130 Similarity,0.426401433
50,"We had a wonderful time at Domus. It is expensive but in my opinion worth it.If you want to have a special night, this is definitely the place to go. The food is really good, except the salad! The personell was very attentive and friendly!If you want to splurge for food, this is the place to go!",Domus Lounge Bar,Review 31 Similarity,0.413918677
50,"We came to celebrate a big birthday and it was the perfect place if you want to wear elegant dress and have a classy dinner. The lighting was dim but helped with the soft, jazzy ambience. Decor was great, food was great, and service too. The only thing was that you have to pay for the water by bottle, and they keep pouring unless you say stop. Easy to find with gps and really good value for what you get!",Domus Lounge Bar,Review 68 Similarity,0.404519917
30,"We went to Domus after having read that large amount of positive reviews on your website. And yes, the setting is beautiful. And yes, it is a beautiful house and very well decorated.There is a large menu to choose from, albeit not very original. But it is one of the most expensive restaurants in town and when you pay that amount of money you expect good food. The bottom line was that we could not really appreciate our food because the chef had decided to put tons of salt on everything. ruined our night.",Domus Lounge Bar,Review 98 Similarity,0.402911482
50,"Well, I loved Domus so much, been there several times. The restaurant is at the first floor, the atmosphere is wonderful, the place is exceptional! Very good service and nice food. The lounge bar is on the ground floor and and is a nice place too. Highly recommended!",Domus Lounge Bar,Review 158 Similarity,0.398862018
40,"A luxurious decorated area, an excellent service, a culinary experience and a good wine list makes the restaurant one of the best in Nicosia. Prices medium to expensive. Big quantities on both appetizers and entrees. Excellent choice for special occations, or not.",Domus Lounge Bar,Review 146 Similarity,0.385694608
50,Domus is the restaurant you have to visit at least once. Romantic with nice music for all tastes. Service and food is just perfect. I definitely recommend Steak with Diana sauce.,Domus Lounge Bar,Review 6 Similarity,0.376889181
50,"Classic resto, great atmosphere, personnel very polite! Food, as always is excellent! Great choice for special occasions!",Domus Lounge Bar,Review 57 Similarity,0.376889181
50,"If you want to tuch some very different you must visit Domus..This is one of the best restaurant that I have been in Cyprus.If you want to feel the magic of this wonderful place,you must go there..At Domus everything is perfect for many unforgettables nights..",Domus Lounge Bar,Review 66 Similarity,0.376889181
40,The Domus Lounge Bar is located in the old town and it offers great fusion food which is unique. It has great atmosphere. Lttle bit pricey though.,Domus Lounge Bar,Review 72 Similarity,0.376889181
50,"Very nice decoration! We go there often for drinks and the food is also nice! Good quality, great service!",Domus Lounge Bar,Review 102 Similarity,0.376889181
50,"A romantic place to be, delicious dishes, great atmosphere and location...I love Domus because you can feel the aristocratic touch without paying much! Quality food and excellent service!!",Domus Lounge Bar,Review 105 Similarity,0.376889181
50,"Went there for a business dinner. Service was excellent and the taste of the food was very nice. I really loved the salads and my steak was very good. The atmosphere is relaxing and warm,",Domus Lounge Bar,Review 118 Similarity,0.376889181
30,The food was very good. The staff responded to all our requests as expected. Unfortunately the price is unreasonably high. A pasta with smoked salmon is charged 20 euros. I had the same dish in Corfu 3 days ago in a truly Italian restaurant and I paid 11 euros.,Domus Lounge Bar,Review 42 Similarity,0.369274473
50,"I visit Domus as a guest in a business/friends dinner.The place is amazing with the small ""privet"" corners to make you feel like you are very special treated.They have what I call ""discreet luxury"".I took the steak and it was perfect cooked as I asked.I will definitely visit the place again the next time I will be in Cyprus.",Domus Lounge Bar,Review 70 Similarity,0.354787438
50,"in love with it!! my first time at domus but definetely not my last!!! great setting- great service - great food cant wait revisiting must try the prawn salad, tuna in oven, and'after eight icecream!!!!!!!!!!!",Domus Lounge Bar,Review 128 Similarity,0.354787438
50,Domus is a place to go and have nice time with your friends...!Domus is the place to Celebrate special occasions with friends...!Domus is romantic place to give the engagement ring to the person you love.Bud Too much words mean nothing !Visit the place and then the words is not enough !,Domus Lounge Bar,Review 107 Similarity,0.350324525
50,"Had an amazing night at Domus last week. The food was lovely and service was above and beyond! We had starters, mains, and desserts and everyone enjoyed their meals. I would highly recommend it, we sat in the the restaurant upstairs and loved the decoration and ambience. The bar looked great as well!",Domus Lounge Bar,Review 13 Similarity,0.348155312
50,"nice food, great ambiance. i recommed it. Prices are very fair as well. Good location in old town nicosia. I would go there again.",Domus Lounge Bar,Review 19 Similarity,0.348155312
50,"Domus is definitely in a league above most restaurants in central nicosia. We were welcomed by a friendly member of staff and led upstairs where the tables are placed in a number of small connected rooms.Furniture is classy, trendy and comfortable. The light maybe a bit too subdued. It just enough to read the extensive menu.Had a salmon carpaccio for a starter, followed by a pasta dish. Great food, delicately cooked. The portions are very generous, a bit too generous. No room for desert.Service is excellent!!",Domus Lounge Bar,Review 78 Similarity,0.348155312
50,"Domus is a must visited restaurant, not only for the amazing decoration and the romantic atmosfere that enchances, but for the great service it provides. Well mannered personel, a wide selection of wines, cultery dishes that meet every expectation. Menu can be considered as overpriced, yet it deserves every single penny.",Domus Lounge Bar,Review 156 Similarity,0.348155312
50,"This was my 2nd visit this year, but my first during summer The service and food is still in very high standards!!! But having dinner outside under the summer night sky was breathtaking Great ambience, lovely music, extremely beautiful surroundings",Domus Lounge Bar,Review 160 Similarity,0.348155312
50,"Great food amazing ambiance Really loved it, very good food and the music was excellent Well done Keep it up",Domus Lounge Bar,Review 29 Similarity,0.337099931
40,"DomusArrived in the dark and being a first time visitor I initially thought the restaurant was still completely empty at 2115 when I arrived. Almost considering to leave untill I noticed a couple taking an entrance which I hadnt noticed and they took the stairs up. Only then I found out that the restaurant is 1st floor and the lounge which was empty located on the ground floor.So just in time I also took the stairs up and found the cozy resto upstairs. With quite a number of people eating already. Being alone (I was on business trip) I still love to dine out and a full restaurant I prefer being on my own (although I get the once in while akward looks). But who cares, I dont at least.Then to the description of the evening.The sitting on the high tables with the rather small but high stools is a bit uncomfortable I must say. I noticed more people had issues with the seating. Would definity advise to change the setting for normal standard height tables and chairs. It will add to the comfort. The resto is very nice, dimmed light, good background music, different corners and chambers. Love the glass drops like a chandelier above some if the tables. Complement for the tasteful decorations.The food.The white bread served with olive oil and tapenade was old while the brown bread was crips much better and seemed fresh. Being alone at the table I took house wine by the glass, which was strangely enough not mentioned in the extensive wine list. But it was pointed out nicely by the waitress that they had also wines by the glass. Took a nice local Cypriotic white wine.I started with the Provincale Mussels which was simple and good. Mussels slightly overcooked but the sauce nice and creamy.Main course was served quickly after starter (could have take a bit longer).The Morrocan styled Salmon was cooked perfect exactly how salmon should be to my opinion. I understand the choice of rise (why not couscous) when you call it Morrocan Salom, but it didnt fit me. I ordered it because I was curious about the Morrocan Salmon idea. Killed the curiousity, but I wont order it again.Finished with a After-Eight icecream. Tasteful abd good to finish the meal with (like after-eights). The ice cream could have done with some more (and warm) chocolate poured over it.Bill adding up to €60 including tipp.All-in-all I liked it. Will I go back? Will I recommend. Yes I will 2x.",Domus Lounge Bar,Review 2 Similarity,0.325128044
30,"Lovely building,great decor.food menue is not extraordinary..nothing special,prices are expensive.4 grilled prawns cost 21 euros..bad service and the food came after an hour",Domus Lounge Bar,Review 155 Similarity,0.322329186
30,"Limited amount of vegetarian/vegan options. There was only one risotto suitable for vegan and one eggplant role which was vegetarian (stufed with cheese). I was forced to have fish even though im plant based due to this lack of options (i had the aubergine the 1st visit). The fish was OK, nothing special if im honest. My husband had the mushroom risotto which was served scorching hot, it took 10 minutes before my husband could touch it. Once he could eat it, it was tasty. We ordered a salad for starter which was meant to have ""cranberries"" in it, and instead it had chunks of some kind of red jelly? It was horrible. Quite expensive. This was our Second visit, dont think we'l visit this place again.",Domus Lounge Bar,Review 48 Similarity,0.321412173
50,"The food here is very good. One of the best spots in Nicosia. Would highly recommend the sea bass. Staff very attentive and friendly, and a lovely ambient setting sat outside to enjoy the delicious flavours served up.",Domus Lounge Bar,Review 7 Similarity,0.319801075
30,"The decoration and ambient atmosphere is very beautiful. I found the lighting too dim for my own liking and sight, it made seeing difficult. Waiters were OK, polite, perhaps not as attentive as I hoped (given that it was a Tuesday night and relatively empty). The main dishes were late to be served. I had a steak - the meat wasn't anything special, it was indeed cooked to my liking (medium rear), but definitely not worth 30 euro. All in all, the restaurant's decoration and ambience is remarkable, but the food is unremarkable, and overpriced. Verdict: not going back on my own, unless invited.",Domus Lounge Bar,Review 20 Similarity,0.319801075
50,Visited with spouse for a special occasion Excellent service . Exceptional food. We both had steak and for dessert chocolate sufle.. We will revisit soon,Domus Lounge Bar,Review 36 Similarity,0.319801075
40,"We visited Domus Lounge Bar & Restaurant for a special occasion. The environment is really nice and different from any other place we have been in Nicosia. However, we would prefer it to be a little bit more luminous. The service is typical for this kind of restaurant. Actually, this is a restaurant where you expect the waiter to fill in your glass when you have just drunk a swig. I have to admit that this, most times, makes me feel very uncomfortable, but if you like it, you will not be dissapointed. Regarding the food, we ordered pork fillet and duck with orange, salad and some red wine. Our plates were well cooked, and very well decorated, but I think, not amazing. I would like to clarify that, since this is not an ordinary restaurant, and since it is a bit pricey, the expectations are much higher. The bill was around 60 euros for 2 persons. Overall, we really enjoyed our dinner and I think that I would revisit Domus, maybe in another special occasion.",Domus Lounge Bar,Review 90 Similarity,0.319801075
50,i think that this place deserves at least one star at Michelin guidewe were amazed by the whole setup!!Absolutely perfect service and excellent dishesDesserts are not to be missed!!!Reservation is to be considered if you have a special occasion since it seems to be busy even on weekdays – we were there on TuesdayNo negative remarks at allBravo!!,Domus Lounge Bar,Review 124 Similarity,0.319801075
50,Very special and delicious meals in so nice environment. The staff is professional and very friendly.,Domus Lounge Bar,Review 62 Similarity,0.301511345
40,"Very nice birthday treat recently at Domus. Quirky décor which is fun! Portions are large but we asked for a doggy bag to take away, living not far it was possible so very scrumptious lunch the next day too. Is reasonably expensive so really for celebrations/special meals. The staff were attentive and our children were welcomed though there is no kids menu starters were fine for them. Dinner starts at 8pm so we were 1st for dinner not making it too late. Would certainly go back again!",Domus Lounge Bar,Review 80 Similarity,0.301511345
50,Everything was perfect!we went there for dinner for our 5th anniversary and it couldn't be better! great service!excellent food!perfect atmosphere!a must go if you visit Nicosia!,Domus Lounge Bar,Review 83 Similarity,0.301511345
40,"Not much - if anything at all - can go wrong with a night / meal at Domus. Although this restaurant has been around for well over a decade, it never falters on quality, variety, originality or clientele. Reserve well in advance, ideal for couples, but also for small groups of friends. The upstairs eating area is unique - private and luxurious. The food has never let me down, not one single time, either in originality, taste, or quality. I would definitely recommend it as a restaurant for special occasions and fine dining.",Domus Lounge Bar,Review 125 Similarity,0.301511345
50,"It has really been a while since i ve been impressed in cyprus and this place did it for me. I was in domus on a wdnesday night with friends who are big fans of the place for dinner and drinks and i must say they gained a new fan, an old mansion in the old city of nicosia with truly great decor and ambiance... my pate & cherrries was flawless, i loved the duck and what a dessert i had , white choc mousse nicely done with strawberries and something caramel- like and crunchy which i didnt really get but loved. Anyway, i must mention their bar downstairs top notch decor, nice easy going crowd, friendly staff good cocktail ist, my 2 thumbs up.",Domus Lounge Bar,Review 163 Similarity,0.301511345
20,"The food was extremely late (1 hour and 45 minutes late!!!!) . Plus, it was nothing special! It was asbolutely not worth the wait!",Domus Lounge Bar,Review 166 Similarity,0.301511345
40,"The 'Domus' has held its well deserved, I believe, presence in the Nicosia smart society circles for years now. The secret of its success lies in the uncrowded arrangement of the tables giving the impression of private dining experience, the impeccable service, the more than passable food and the presence of the vibrant lounge bar on the ground floor for before or afters.The first floor restaurant is divided into the many smaller rooms of the restored 19th century mansion it is housed in. The décor here is dark, baring plush red velvet similarities to a 19th century Parisian bordello, albeit of an upmarket, elegant and tasteful variety, and highlighted with touches of late 20th century design. The lounge bar on the ground floor is light and airy, avoiding all the glass and minimalist fashionable commonplaces with a clever use of a plank wood motif.Service is impeccable from the moment you arrive until the complementary liqueurs and coffee.The cuisine is a take on european fusion food, including Italian, generic Mediterranean, nouvelle French touches and with many healthy options. If I have a gripe it is that it panders to Cypriot taste rather than attempt to educate it. The table is tastefully set with tall desert glasses standing for bread baskets. After a beautifully presented amuse bouche of salmon mousse on biscuit courtesy of the chef, our starters of rocca salad, salmon carpaccio (needed more acidity/lemon?), stuffed aubergines and the exceptional pate with cherry compote went down well with my guests. The main courses received mixed comments. The rigatoni with salmon in vodka sauce were surprisingly 'al dente' but could have done with much less or the complete absence of cream. The pork fillet stuffed with wild mushrooms was well executed and tender. My friends declared the chicken Dijon to be the best of the mains. For desert we tried the chocolate soufflé and the healthy option raspberry yoghurt with ice cream.The wine list is short for such a classy restaurant and needs updating. With a choice of Boutari Moschofilero and Muga Rioja, the Domus doesn't come cheap at more than €60 per person.",Domus Lounge Bar,Review 119 Similarity,0.293469593
50,"The food served was excellent, nicely designed on the plate. The atmosphere is perfect. I went for a company dinner last June and was not disappointed! Staff are professional and always helpful. It's quite expensive but you gonna love Domus! I will definitely be back for more during the summer. My compliments to the staff, chef and management. Well done!",Domus Lounge Bar,Review 76 Similarity,0.286038777
50,"Domus restaurant combines everything! High quality food, excellent service and perfect ambiance! Keep in mind though in mind that you are paying for the excellence mentioned above but it worth's every penny!",Domus Lounge Bar,Review 84 Similarity,0.286038777
50,"Great service, delicious food & warm atmosphere combining the sophisticated interior with the old town elements..",Domus Lounge Bar,Review 117 Similarity,0.286038777
50,"Domus restaurant is housed in an old and beautiful building in the old city on Nicosia featuring elegant decor creating a warm, soft and unique atmosphere which is perfect for enjoying its amazing dishes and great wine! i have visited quite a number of times, on business and with friends, and it has always been a great experience! Highly recommended.",Domus Lounge Bar,Review 116 Similarity,0.284901441
50,Amazing place in the old town in a mythical atmosphere!! Top quality food in big portions and in very good prices for such a quality food!! Highly recommended !!,Domus Lounge Bar,Review 34 Similarity,0.284267622
50,one of my favourite places..great location..great style..great atmosphere..great service....and best of all...great food !!!prices are reasonable for the quality !!,Domus Lounge Bar,Review 37 Similarity,0.277132654
50,"I've been visitng Domus since 2005!!Its just getting better and better and especially with the new decoration of the Bar.It has a selection of amazing international cuisine dishes and an excellent service. The atmoshpere is something that is a must to experience, in the heart of the old town of Nicosia, all year round.The newly renovated bar will definately be one of your hilights from your visit in Nicosia.Highly reccomended for any occasion",Domus Lounge Bar,Review 150 Similarity,0.269679945
50,"The restaurant is considered a classic for a special night out. The food is excellent and the ambiance is great. Very romantic and stylish, will certainly leave you and your company feeling pleased with your choice.",Domus Lounge Bar,Review 58 Similarity,0.261116484
40,"Excellent atmosphere, all details well attended, relaxing music, well presented food, great tastes.... But we had to pay €17 for literally one bunch of rocket, which costs €0,30 cent at the market. Is this respect for the customer? Do the expect us to go again? Anyway, the (€28 200gr) steak was so as soft as cream and was very tasty.Tip: the pepper steak is very nice and soft, but so spicy that you loose touch with taste at the end. Maybe you should order the plain one otherwise remove the sauce.",Domus Lounge Bar,Review 75 Similarity,0.261116484
40,"I will never get bored of visiting this place - I have been a frequent patron a long time now and it never fails to amaze me with the quality of its dishes, cozy environment and exceptional service. One recommendation that I have though is for the menu to vary a bit more frequently so as to keep customers interested in the long-run. The prices could be a bit lower too, especially when these are compared to similar restaurants/courses. Apart from the above minor comments Domus has proved itself as one of the best dining options in Nicosia, and it will stay like this for many many more years.",Domus Lounge Bar,Review 77 Similarity,0.261116484
30,"The place must have been amazing in 2004, but seems a little dated in 2014.The food is good, but the portions could easily be a little smaller with more emphasis on better ingredients.Would want to try it again another time as we had a pleasant evening.For 2 persons each enjoying 2 courses and sharing a dessert and a glass of wine each cost € 80,-",Domus Lounge Bar,Review 82 Similarity,0.261116484
50,Exceptional dishes for every occasion. The wine and starter were also amazing. Kudos to the waiters for the excellent service as well! The atmosphere both outdoors and indoors is great! Money well-spend! Would definitely recommend it.,Domus Lounge Bar,Review 114 Similarity,0.261116484
50,"I heard a lot about Domus during my stay in Nicosia I was very intrigued so i went there last week The experience was excellent!! food.service, ambience, staff definetely will revisit next time am in cyprus",Domus Lounge Bar,Review 164 Similarity,0.261116484
50,"Great place, superb food and atmosphere! Been there with friends and really had a great time. A must visit once in Nicosia!",Domus Lounge Bar,Review 112 Similarity,0.257129739
40,"A restaurant with potential, amazing quality food, really tasty and a not over complicated menu. Great selection of wine and other drinks.Service on the other hand needs urgent attention..arrived and there Was no one at the entrance, there is a bar section downstairs which was empty, so our group decided to inspect upstairs as we smelt food...low and behold, this is were the welcome desk is and people..We at at a table which was shared with other people, no problem, there was in a glass and tissue some cut up bread that we went even told was there to have, it was just discovered out of curiosity..Towards the end, we requested for the Bill, 20 min later asked someone else, 10 min later it slowly arrived...10 min later we went to the front desk to pay...Other than that ambience is magical...I would recommend any gentlemen looking to charm their lady to go there, very romantic and great music...just stay on too of the service..",Domus Lounge Bar,Review 23 Similarity,0.251259454
50,"A group of colleagues from across Europe met here for an evening meal. There was something to everyone's tastes, and the atmosphere, service and staff were fantastic. Lovely food, well presented, in a very chic setting.",Domus Lounge Bar,Review 54 Similarity,0.246182982
40,"Having come to Cyprus for past 26 years and married to my Cypriot wife for same length of time I was keen to find a top class restaurant in Nicosia where I could take my wife's family out for a nice evening meal that we are are spoilt for choice in London.Domus certainly looked to tick all the boxes. Beautiful setting in old walled part of town with an enticing romantic setting reminiscent of an old Italian villa. We sat outside on beautifully set tables and sofas with drop down lanterns above our heads that really set the scene for a delightful evening.However whilst the setting and menu looked impressive I do feel that the service needs to try a little harder.Upon arrival it's always nice to be asked if we would like an aperitif before dinner but I had to ask a waiter after 10 minutes for this to arrive.My starter was excellent however my Steak Diane was more then medium/rare more like medium/well done and my mash was luke warm at best.I also asked for a glass of red wine that had obviously come straight out of the fridge! I know in some people class this as a new trend but not in most.One of my party was also served the wrong main course but she then had to wait another 20 minutes for her meal to arrive by which time we had all finished ours.When the meal eventually came there was no offer of an apology for the wait.Having said all that we will try again due to the setting and 70% good food however please just do not rest on ambience and setting alone, it is the food that counts.",Domus Lounge Bar,Review 123 Similarity,0.246182982
40,"I went with my wife on a romantic dinner on advice of a friend. The place gets filled up rather late. The food is good - not excellent, but quite pricey. The wine is excellent - try Cypriot wines. The service is very nice and I liked a lot that the chef came to the table himself.",Domus Lounge Bar,Review 168 Similarity,0.246182982
50,This is probably the best restaurant in Nicosia. It is a gourmet restaurant in old town Nicosia just a few steps from the Archbishop's Palace. The building is a about 100 years old with very good decor and relaxed atmosphere where you can have a nice romantic dinner. The food is great. Expect to pay around €25 for each main plate.The bar downstais is also wonderful to enjoy a glass of wine of a drink.,Domus Lounge Bar,Review 161 Similarity,0.232621053
20,"I went there for a romantic dinner. I was disappointed by the service, food and atmosphere.To start, the service was not pleasant and the waitress didn't know the dishes.I order a salad for starter and it was really bad I ate only one bite.For main dish I had the chicken with the potatoes and carrots on the side. The carrots had the taste of unfrozen vegetables. The chicken and potatoes were just OK..nothing new to me.overall the quality of the food was low and the price high and one major problem for me the stuff was not friendly .I will not visit again this restaurant.",Domus Lounge Bar,Review 47 Similarity,0.227921153
50,"I use the word orgasm since I think there is not any other word that can describe the food experience in Domus. Trust Marios, the owner and head chef of the place, simply trust him and I guarantee you that your perception of food will change and probably you will think more than once to fast food again in your life. I have tasted the most perfectly cooked fresh red tuna fish, a steak that seemed made out of butter, shrimps married in the mediterranean and inspired in Japan.... Simply go for it not you will not regret it, what you will regret is that you did not dine at Domus before.....",Domus Lounge Bar,Review 108 Similarity,0.227921153
30,"I have been twice, and never really liked it or disliked it, although I was both times invited.First time was in winter, and I was impressed by the intimacy of the place, Stark designed chairs etc. But environment was very loud and I couldn't share conversation with my husband because of the noise (of both music and customers). Food was satisfactory. I didn't pay but I know it was above our usual spendings, and too much for what we had according to my husband jugement.Second time was summer with a friend, who had special thank to give me, so didn't mind about the price. Then I proposed that place.We sat outside and the environment was kind of magic. But...The waiter didn't have a clue about what he was doing, just standing along in a soldier pose. We could hardly grab our bottle, located far away from our table and we finally kept it with us.Food was very nice (we had beef carpaccio, difficult though to make a bad one except if meat is not fresh), but portions were very poor for the price. Although it was qualified as main dish, we both had to order a second portion to satisfy our hunger (and we had starters before).I meet most of the comments left here, nice but ...I would keep it for special occasions only.",Domus Lounge Bar,Review 131 Similarity,0.227272727
50,"This was the second time we visited DOMUS with a small corporate planned dinner. The experience is amazing, in a beautiful decorated place, excellent service and delicious food. Huge portions of mouth watering plates..",Domus Lounge Bar,Review 9 Similarity,0.226133508
50,"Great service, amazing food & delicious,warm atmosphere ! one of the best place at Nicosia!! Must try!!! 😁",Domus Lounge Bar,Review 11 Similarity,0.226133508
50,"The restaurant has an impressive interior, intimate atmosphere and should definitely be visited. The food is great and those who work there do virtuosic things in the kitchen. The staff is polite and gives personal attention and care to each client. Most probably the best choice for spending a great evening.",Domus Lounge Bar,Review 149 Similarity,0.226133508
50,This restaurant is located within the Nicosia walls in a quiet neibourhood.If you sit outdoors you will be looking at the Holy Archbishopric and the historical Nicosia library.Thew food is among the best I have tasted in Nicosia and the service is very good.They have a huge selection of wines and cheeses.The atmoshere and decoration are beautiful. It is an excelent choice for a date as well as business dinner and meeting with friends for a drink,Domus Lounge Bar,Review 100 Similarity,0.220192753
50,"A place with excellent atmosphere. The service is great and accommodating. In regards to food, they've got great choices, the quality is excellent and the prices are not very expensive. In general it's a place worth going.",Domus Lounge Bar,Review 122 Similarity,0.220192753
50,"Great place for friends and couples. Delicious menu, stunning design, beautiful music, friendly stuff and nice location. Highly recommended.",Domus Lounge Bar,Review 3 Similarity,0.213200716
30,My latest visit to this restaurant will be my last as food was very basic and service was poor but prices high!,Domus Lounge Bar,Review 12 Similarity,0.213200716
50,"Very upmarket vibe to the place . Old building near the Bishops Palace . Decor inside is stunning , tables on the street side . Music top draw. Steak was delicious . Owner hands on. Worth a visit.",Domus Lounge Bar,Review 45 Similarity,0.213200716
50,"Amazing food, great service, nice selection of wines! We were outside in the street, with candles around, and very soft music in the background so you can talk and enjoy your food without being bothered!",Domus Lounge Bar,Review 65 Similarity,0.213200716
30,"We were treated to dinner by local Nicosian freinds who rated this place very highly for business engagements. Sure enough the place doesn't lack charm, situated in the old town near the Archbishop's Palace with outside seating (right on the pavement) in lantern-light serving well presented food from a fairly diverse menu. I loved the atmosphere and I loved my salad starter but I have to say the duck main course was tough and disappointing albeit accompanied by a fine risotto. My wife's prawn dish in ouzo cream sauce was super-rich too.Inside the bar area (recently refurbished I understand) looked funky and welcoming.I think its pricey but I didn't pay so cant really comment on price other than to say my host would most certainly only have selected a good spot. I would recommend the place but I would order differently next time if i'm lucky enough to go again.",Domus Lounge Bar,Review 73 Similarity,0.213200716
