r_points,r_text,place,,,,
40,"Everything that we ordered (and we tried many plates from their menu that offers a wide variety of choices) was very tasty, well prepared and nice looking. The service was fast and effective and the place nicely decorated. Something you suspect during the meal and you feel after the meal is that some dishes are overdone in salt and spices, and that may produce indigestion to sensitive persons.",To Elliniko Ouzomezedopoleio,Review 55 Similarity,0.382546028,Review 33 Similarity,0.40824829
50,"Exceptional Greek cuisine, menu reminds me my trip to Santorini and Paxous Island's.That was my first time visiting this restaurant in Nicosia and for sure i wouldn't except to find this kind of dishes in Cyprus.This place don't serve the classic meze dishes but as the name says it serves authentic Greek dishes that you find in Greek islands.A variety of salads, grilled meals and seafood, what drove my attention was the seafood section with plates like fava from Santorini and seafood barley.I choose the Kritharoto barley risotto with seafood and it was delicious, presentation and taste was amazing.My new favorite place in Nicosia.Definitely recommended.",To Elliniko Ouzomezedopoleio,Review 131 Similarity,0.382546028,Review 34 Similarity,0.40824829
50,"Everything was great! We loved the food, great place, very polite stuff! The manager was very helpful! We strongly recommend it! We will definately visit again soon! Thank you!!",To Elliniko Ouzomezedopoleio,Review 234 Similarity,0.318788357,Review 66 Similarity,0.40824829
50,"Great place to while away the afternoon, no views but great selection of ouzo and meze. Food served is freshly prepared. Located at the entrance to Hilton Park hotel.",To Elliniko Ouzomezedopoleio,Review 250 Similarity,0.318788357,Review 67 Similarity,0.40824829
30,"“To Ellinikon” offers a huge variety of Greek dishes. I chose Yiaourtlou; alas, it did not prove to be the “real” Yiaourtlou as served in Athens; this one was the Cypriot version it seems. The kebab on the skewers was tasteless. Also, instead of it being served on a pitta bread spread with tzandziki and source, it came on bare pitta bread – the tzandziki and sauce were contained in a small cup each, in what was not even a sufficient quantity.The place was spacious, clean and tidy. The atmosphere was rather noisy, a fact that was not conducive to having a peaceful dinner. The waiter was helpful and service was good.All-in-all an average experience.",To Elliniko Ouzomezedopoleio,Review 219 Similarity,0.191273014,Review 123 Similarity,0.40824829
40,"Visited, with friends, on a Saturday night. Good quality of food. Fast service. Rather, large place and a bit noisy. Not cheap but fair prices. Recommended for the occasional visit. Need to reserve.",To Elliniko Ouzomezedopoleio,Review 229 Similarity,0.191273014,Review 124 Similarity,0.40824829
40,Very good food and service with a warm atmosphere. The place are very welcome to the public and nice to visit them.,To Elliniko Ouzomezedopoleio,Review 11 Similarity,0.127515343,Review 157 Similarity,0.40824829
50,"Tried this place a few times, quality is always the same, both service and food. Knowledgeable, English-speaking Staff is looking after you, my favorite is the minced meat kebab with excellent seasoning.",To Elliniko Ouzomezedopoleio,Review 15 Similarity,0.127515343,Review 158 Similarity,0.40824829
40,"The place is very nice, and staff are kind and friendly. We liked everything we ordered (meats, starters and dips), and prices are relatively reasonable. We will be back for sea food!",To Elliniko Ouzomezedopoleio,Review 187 Similarity,0.127515343,Review 160 Similarity,0.40824829
40,A place where you can emjoy greek mezedes with emphasis to Crete food. The service is good and the staff very polite,To Elliniko Ouzomezedopoleio,Review 192 Similarity,0.127515343,Review 161 Similarity,0.40824829
50,"I've visited Elliniko many times in the last 6 months. I waited until now to write a review because nornally all new restaurants try their best at first until they are established and then they try to cut costs on the expense of the quality and quantity of the food. This is not the case with Elliniko. For six months I noticed that the food was improving while the prices were not changing. For example the smoked pork was a bit salty and gradually they managed to control the amount of seasoning. Additionally the quick lunch menu was a nice surprise with a variety of dishes, meat, salads, poultry paying aproximately 9 euros per person and have a full meal.The food is really not expensive. The secret is that you have to be careful about the amount of food you are ordering. The menu has an incredible variety of dishes and it can be confusing. First time I visited the place with my wife I paid around 30 euros per person and there was plenty of food left untouched. I had them pack it for take away and my wife and I had it for lunch the next day and there was still leftovers. Next time I visited, I asked the waitress to help me with my ordering and the bill was approximately 15 euros per person and still had a small amount of food left on the table. Bottom line ASK THE STUFF TO HELP YOU.The stuff is mainly young people acting exactly how I like to be treated as a customer in a greek taverna. Friendly but also professionals. Attentive but also discrete. Well done boys and girls!On the downside the place can be really noisy and crowded during the weekends and people who like peace and quiet should prefer visiting the place during the week. Additionally they should consider adding more options for desserts.Overall I believe that this is a restaurant that fits my needs and I hopefuly they will continue maintaining their high standards.",To Elliniko Ouzomezedopoleio,Review 198 Similarity,0.365977656,Review 41 Similarity,0.390566733
40,"i went to this place three times and each time i visited, i see it always improves. the food was nicely cooked, the quantities were decent, i wish the prices were better, as more or less , you could say it a bit of a fast food restaurant",To Elliniko Ouzomezedopoleio,Review 27 Similarity,0.472225069,Review 14 Similarity,0.377964473
40,"I visited the place for lunch, It was my third visit. Just like the previous two times, we ordered several starters and salads, as well as a couple of main dishes to share. I quite liked the starters and the salads who were innovative and tasty, but the main dishes were average or sub par. And especially taking into account the price of each dish, I find that there are better options out there with more reasonable prices, given the large number of places offering these type of cuisine.",To Elliniko Ouzomezedopoleio,Review 40 Similarity,0.413196935,Review 26 Similarity,0.377964473
40,We visited the restaurant on a Sunday for lunch. The food was very nice and also the atmosphere very good. Though the place was full there was a lot of space for us to move around and the chairs were not packed! The prices were within expected range and the desert was complementary! Would definitely visit again soon:),To Elliniko Ouzomezedopoleio,Review 139 Similarity,0.413196935,Review 27 Similarity,0.377964473
40,bright and airy place to eat went here mid summer and very nice experience. I had some local meat dish with others enjoying varied dishes overall very tasty as we sampled each others dishes. pricing was average and worth the money will return again soon.,To Elliniko Ouzomezedopoleio,Review 112 Similarity,0.354168802,Review 50 Similarity,0.377964473
20,"If others find this restaurant the best North-Greek experience in town, then they must have never been to Thessaloniki. Yiaourtlou was just a joke, with over salted meat on plain pitta and a tiny side sauce. Small fried fish gavros, served plain without anything aside, no salad, no chips, not even lemon! Chips are pre-fried of course, forget the fresh. Tsipouro was served in the correct tall glass but with ice in it, which is wrong if you are not asked first, because many people (like me) drink it straight. Generally the place is nice, the food options are many (i doubt the quality though) but certainly not even close to a good Thessaloniki tavern.",To Elliniko Ouzomezedopoleio,Review 215 Similarity,0.354168802,Review 51 Similarity,0.377964473
50,"Tasty and plenty of food also for vegetarians. Nice place. Food for all tastes, meat, fish and vegetables.",To Elliniko Ouzomezedopoleio,Review 60 Similarity,0.236112534,Review 101 Similarity,0.377964473
50,Ate meze style with friends. We picked from the menu rather than ate a set item meze (Cypriot friends selected). Food was excellent. Service was very friendly. Modern decor that was perfect for lunch - lots of windows for good lighting. A little more expensive than small neighborhood taverns but I would not place it into the high price category of some restaurants.,To Elliniko Ouzomezedopoleio,Review 140 Similarity,0.177084401,Review 138 Similarity,0.377964473
10,"The grilled 'talagani' was the first thing we ordered that arrived to the table- it was cold. At that point I thought that maybe that was a fluke and the rest of the food would be decent...but unfortunately it was not the case. My pork souvlaki was pink, the fries smelled of burnt oil, the 'politiki' salad was completely wilted and had too much salt. The list goes on. However, my most serious concern relates to misselling- we also ordered a 'mosxarisia brizola' (beef steak) which I am quite convinced was in fact a pork chop of some description put on the menu at at a considerable mark-up (€16). The waiter reassured us that it was beef however I remain unconvinced. I can't recommend this place I'm afraid. Don't be fooled by the agreeable decor, this is essentially fast food quality sold at a premium.",To Elliniko Ouzomezedopoleio,Review 182 Similarity,0.177084401,Review 139 Similarity,0.377964473
50,Visited because it was close to place we stayed. Food quality was outstanding. Friendly staff. Nice decorations. Prices very reasonable. Cyprus coffie is not worth to try on other hand.,To Elliniko Ouzomezedopoleio,Review 14 Similarity,0.118056267,Review 162 Similarity,0.377964473
50,Huge menu only place that reminds greek meze fast and friendly staff really nice atmosphere higly recommended!!!,To Elliniko Ouzomezedopoleio,Review 93 Similarity,0.059028134,Review 191 Similarity,0.377964473
50,Visiting the place many times we had try almost all dishes . All dishes have excellent taste and quality. About the restaurant and the atmospher is just amazing!,To Elliniko Ouzomezedopoleio,Review 89 Similarity,0.496941867,Review 4 Similarity,0.353553391
50,"Maybe the only original Greek restaurant with authentic traditional greek recipes and same quality of food from the first day.It is very rear to find out a place that keeps the standards so high,like this!",To Elliniko Ouzomezedopoleio,Review 76 Similarity,0.331294578,Review 60 Similarity,0.353553391
50,"Always a fan of Greek food, this is the place to have some of the best dishes and mezzeh, very friendly and knowledgeable staff, prompt service and very rich and tasty selections",To Elliniko Ouzomezedopoleio,Review 221 Similarity,0.331294578,Review 63 Similarity,0.353553391
40,"Adjacent to the Hilton Park, so loads of free parking. Nicely laid out with indoor and outdoor seating. Extensive menu of mainly Greek and Cretan dishes. Seafood very good, but meat dishes a bit underwhelming. Best thing about this place is the beer called Fix.",To Elliniko Ouzomezedopoleio,Review 181 Similarity,0.276078815,Review 83 Similarity,0.353553391
40,This place reminds you of a grocery. It has a nice atmosphere and the service is good. Kind waiters and staff. There is a large variety of different dishes. Taste of some food could be improved.,To Elliniko Ouzomezedopoleio,Review 199 Similarity,0.220863052,Review 114 Similarity,0.353553391
50,A very traditional place that reminds you Greece but also serves you GREEK food that you think you are in Greece. The staff is amazing as well as the food. It's very good and i will be visiting it again very soon as it's AMAZING.,To Elliniko Ouzomezedopoleio,Review 59 Similarity,0.110431526,Review 166 Similarity,0.353553391
40,"Very nice place to have dinner or lunch with family or friends, with very nice Greek food, meat or fish. Mussels saganaki was not my favorite.Good selection of wine, I recommend agiorgitiko reserve.",To Elliniko Ouzomezedopoleio,Review 10 Similarity,0.055215763,Review 193 Similarity,0.353553391
50,Visiting the place twice we are very satisfied about food and prices . Very kind staff and helpful . About the restaurant is just amazing . The best Greek food in the capital city . Must visit!!!!,To Elliniko Ouzomezedopoleio,Review 91 Similarity,0.416463365,Review 25 Similarity,0.333333333
50,"Great food,amazing atmosphere,excelend service,tasty food,perfect place to be with friends to spent time",To Elliniko Ouzomezedopoleio,Review 20 Similarity,0.364405444,Review 42 Similarity,0.333333333
40,This is very nice restaurant located next to Akakiko and Hilton Park.This place is fancily decorated and really gets you in the mood from the moment you step in.Food is nice but prices are on the high side.Overall a good choice for a dinner in Nicosia.,To Elliniko Ouzomezedopoleio,Review 186 Similarity,0.364405444,Review 43 Similarity,0.333333333
40,"The food came fast and it was well cooked.mostly meat dishes and fried calamari. The salad was fresh and the staff polite and welcoming. However, we were seated next to the door and it was freezing cold. Also, the smoke from the smoking section kept creeping in and it felt like we were sitting in the smoking area to be honest.Dessert was fine too. We had a couple of pieces that we all shared.Again the food was great and the quantity,too,but it was expensive. We paid 30-35 euros per person with no wine. Just soft drinks and a couple of beers.Additionally they only serve esspresso and cyprus coffee. No other hot beverages which was a pity sincevit was so cold outside.Overall a nice place but you can't go there regularly.",To Elliniko Ouzomezedopoleio,Review 105 Similarity,0.312347524,Review 69 Similarity,0.333333333
40,Warm place which reminds an old grocery but in a modern decor. Plenty of greek tasty dishes. You can choose between cold and warm appetizers and a main selection of main dishes. Staff was smiley and friendly. Not as expensive as I heard!,To Elliniko Ouzomezedopoleio,Review 155 Similarity,0.312347524,Review 71 Similarity,0.333333333
50,"Delighted to find this place. Delicious food - almost a Greek Tapas - so smallish quantities, excellent prices. Really couldn't fault the simple and delicious lunch we had, with excellent service. Recommended",To Elliniko Ouzomezedopoleio,Review 240 Similarity,0.156173762,Review 150 Similarity,0.333333333
50,"Great place to enjoy high-quality food ,busy restaurant but the service was quick and efficient. Lovely atmosphere and delicious food!! Highly recommended:)",To Elliniko Ouzomezedopoleio,Review 109 Similarity,0.493864798,Review 6 Similarity,0.316227766
50,Once again after some months we have visited this nice restaurant. We enjoyed greek meze along with european specialities in a lovely place. The service was very good and the staff vwry well mannered. We also enjoyed nice sweets from the Yiagia Victoria .,To Elliniko Ouzomezedopoleio,Review 33 Similarity,0.296318879,Review 74 Similarity,0.316227766
40,"It was an overall good experience. Staff was polite and friendly and the restaurant modern, in a good place with a nice view. The portions though were too small and the prices high, so was a little dissapointment.",To Elliniko Ouzomezedopoleio,Review 194 Similarity,0.296318879,Review 75 Similarity,0.316227766
40,"Visited this new comer last sunday. Very positive first impression, nice deco, you think you are sitting at a supermarket's corner watching the deli section! Very cute with good food.I wasn't particularly impressed with my chicken souvlaki I expected it to have a more interesting twist, but it wasn't bad. The presentation was fine and I regret not trying the meze dishes that seemed fantastic rather than the 'boring' chicken.I would recommend this place in general, it's clean, the menu is straightforward and I liked the atmosphere. I'd go again, but not on a sunday! Too noisy! And the food takes longer to serve!",To Elliniko Ouzomezedopoleio,Review 247 Similarity,0.246932399,Review 100 Similarity,0.316227766
30,Very nice place with nice setting and smart decor. Service was good as well. However the food quality and quantity was average especially at the prices offered.,To Elliniko Ouzomezedopoleio,Review 130 Similarity,0.148159439,Review 152 Similarity,0.316227766
40,"we visited in Oct 2015. i enjoyed the food and the wine. good value for money i think. i liked all the dishes which is amazing. the only think i would change is to put spoons in every plate they serve. they want to do it like in Greece but i think in Cyprus we prefer to have a spoon for each plate served. not to dip in with our own spoons that is. however, nice atmoshpere, food and location. i would go back there again. its also a nice place to take guests.",To Elliniko Ouzomezedopoleio,Review 241 Similarity,0.188352644,Review 127 Similarity,0.301511345
40,"Nice place, good atmosphere, well decorated, the staff is friendly and helpful, they offer variety of dishes and good prices!",To Elliniko Ouzomezedopoleio,Review 16 Similarity,0.141264483,Review 153 Similarity,0.301511345
50,"Since the first time we visited the restaurant, we always stop by the Elliniko for dinner when in Cyprus and Nicosia for either a holiday or a business trip.Once again, we enjoyed our dinner with a good selection of amazing appertizers and salads and great tasty main courses. Friendly, polite and lovely staff; especially Savvas, he is a truly professional! We do like the modern with the traditional ‘Greek Style’ decoration of the place. Until next time...the Elliniko is an excellent choice with a majority of Greek dishes! Thank you for taking care of us!",To Elliniko Ouzomezedopoleio,Review 42 Similarity,0.47646289,Review 13 Similarity,0.277350098
40,This is a nice casual place where you can enjoy very tasty starters which you can share.dishes with cheese and feta. I recomend the pork chop and pork souvlaki with nice fries Prices moderate I recomend it for a nice casual night out with friends,To Elliniko Ouzomezedopoleio,Review 65 Similarity,0.216574041,Review 115 Similarity,0.277350098
40,"The food was very good. Generous portions, wide selection and overall good quality. Staff were attentive and courteous. Good place for a meal.",To Elliniko Ouzomezedopoleio,Review 183 Similarity,0.043314808,Review 197 Similarity,0.277350098
50,"Three of us had dinner at “To Elliniko Ouzomezedopoleio”. The place was nice, tidy, clean and decorated in a modern way. It was quiet too, a fact that made it conducive to a quiet evening out. The staff were very pleasant, courteous and facilitative in helping us to make our selection of dishes. Service was very prompt.A wide variety of Greek food was offered. We ordered Dakos Cretan Salad, White Taramas, and Kolokithokeftedes for starters, followed by Marinated Chicken Fillet with Greek Pitta, Pork Bacon glazed with dark honey sauce and fries, and Kebab Yiaourtlou as main dishes.They were all very well presented, very tasty and very stomach-filling.All-in-all we had a memorable gastronomic experience and look forward to revisiting “To Elliniko Ouzomezedopoleio”.",To Elliniko Ouzomezedopoleio,Review 147 Similarity,0.333913548,Review 57 Similarity,0.267261242
50,"Excellent! Wonderful food, excellent music, nice music, excellent service and very nice place! It's worth to go with friends or family!!",To Elliniko Ouzomezedopoleio,Review 205 Similarity,0.078086881,Review 187 Similarity,0.25
50,"This was our first time at this restaurant and we were impressed! I've been reading the comments for 'To elliniko' quite a long time now and I was not sure if this place is really good or bad due to mixed opinions. We decided to go and see for ourselves and good we did! First impression is the professionalism and politeness (without being too much) of the personnel. Our waiter (pity i don't know the name to mention it) was very helpful with our order and very friendly! The menu is extensive and we need some guidance in terms of how many dishes we have to order and the portions in order to neither exaggerate or order less than we should. We had a salad with rocket and despite the fact I'm not so much into rocket I liked it. Then had the Talagani Messinias which is similar to Cyprus halloumi and we found it delicious and the feta cheese in crusty dough with honey which it was amazing! For mains we shared the Agiorgitiki Tigania and the calamari skewers with a kind of bulgur pilaf both mouthwatering! There is an extensive selection of ouzo which we 'd chosen from! Food was coming on time, it was freshly done, service was flawless and value for money! We are looking forward to going back and try more dishes from the menu! Don't just read some of the average in rating reviews here, just go! You will not regret it!",To Elliniko Ouzomezedopoleio,Review 161 Similarity,0.492410112,Review 7 Similarity,0.242535625
50,"To Elliniko is so good .. It is Unbelievable!I have visited this restaurant several times during my last stay in Cyprus. We always liked it .... As part of our wedding we therefore wanted to organise a dinner (a day before the actual wedding) at To Elliniko for 60 of my friends. Spoke to the owner beforehand to discuss a budget and gave him freedom to create a menu that would suit locals and foreigners.From the moment we entered drinks arrived at the table and soon after the food came out. It was simply delicious. The starters to share were so good .. my friends kept on raving about them! Then the mains arrived and again people were so happy. The quality of the meat was sublime ; not dry at all and perfect in taste! The chef has really taken the Greek cuisine and put his own mark on it without losing any of the traditional elements. He must be so talented.What surprised me most of all was the consistency of the dishes and the way how logistics were handled. Every dish arrived at the same time at the table, looked stunning and tasted the same....for me it is mind-boggling how the chef and kitchen managed to deliver such high standard for such a big group of people.I can't thank the waiters, staff, chef and manager enough for adding such a special touch to our wedding!I will return , maybe not with such a big group :)) ... But to Elliniko definitely will always be a place for me to come back to and revisit those happy memories!Modern Greek food to its finest !Recommend to all whether you come by yourself or with a big group.Richard",To Elliniko Ouzomezedopoleio,Review 173 Similarity,0.368105087,Review 40 Similarity,0.23570226
50,Friendly place!! Good food!! Nice environment!! Good quality of food and friendly staff!! Everythink was good!!,To Elliniko Ouzomezedopoleio,Review 90 Similarity,0.068159818,Review 188 Similarity,0.21821789
50,"Delicious greek food, very good quality and well cooked! A bit expensive but it worth it! They have a big variety of vegetarian dishes also and good greek wine! We 've tried the zucchini balls, the cheese croquettes, the eggplant, the octopus, the sardine and the greek salad and all of them were very well cooked and prepared!Good service and nice place also!",To Elliniko Ouzomezedopoleio,Review 141 Similarity,0.127515343,Review 159 Similarity,0.204124145
20,"The location is easy accessible. Plus it's a positive fact that it is not directly adjacent to the main road and parking is easily accessible and free which is not the case in Nicosia anymore as many parking spaces are unfortunately privatized. The interior design is suitable for a Greek mezze place, the waiters are polite and attentive and there is a good display of gourmet products to purchase if desired. However it would have been nicer if there is a bigger variety of products focusing more on Greek produce or from Thessaloniki region which directly relates to the food instead of yet another place that also sells Cypriot produce. A further speculation and study on the products provided for purchase. In regards to the food which explain the poor-rating is that the portions are very sufficient for a mezze but the quality of food is very average. We would rather pay the same price for their dishes, but have a smaller portion and invest more in the quality of the ingredients used. The flavor component needs a lot of work to be satisfactory. We felt that it was lacking a lot on seasoning, the use of Mediterranean herbs and good olive oil. We also felt that some of the components of the dishes were prepared a lot of ahead of the serving time and were just assembled therefore not as fresh before they are to be consumed and for the amount of people in the kitchen this did not justify it. They were well executed in presentation but the quality has a lot of faults. It has an interesting menu and an interesting choice of dishes put up together so we would really like to try out more of the dishes but for the meantime we won't be going back until we hear from word of mouth that the quality and freshness of food has elevated itself. Also if we compare to a lot of the new pop up local restaurants in Nicosia, for the price we paid, we can get better food, better quality and more quantity elsewhere. We couldn't finish all the dishes because they were huge portions for mezze and at some dishes it was unnecessary to have such a large portion especially when it's a dip as a starter, and this didn't give us the chance to get a more variety to try because of the expense and portion size of every mezze dish.",To Elliniko Ouzomezedopoleio,Review 206 Similarity,0.282528966,Review 77 Similarity,0.201007563
50,"The atmosphere is excellent! It's a big and comfortable place, full of traditional foods and drinks found manily in Greece but in Cyprus as well. There's a big variety of cold and hot dishes, salads, drinks and sweets. Everything we tasted was magnificent! There are dishes originating from every corner of Greece, such as Macedonia, Metsovo, Crete, the islands, Volos etc. All well cooked, accompanied with great side dishes, such as tasty potatoes and sauces. The service was excellent, providing every help we needed and there was no delay in preparing and bringing our ordered dishes.One thing missing was some low-volumed music...",To Elliniko Ouzomezedopoleio,Review 201 Similarity,0.406051781,Review 28 Similarity,0.2
50,"The newest restaurant in Nicosia; it is adjacent to the Hilton Ledra Hotel and Akakiko Restaurant. It attracted us during its construction, and decided to try it.The restaurant is very nicely decorated; is very pleasant and relaxing; the space is perfectly used, the Kitchen is open to the seating area, and the restaurant is surrounded by shelves exposing a huge variety of delicatessen items.The reception was very warm and the service was professional with a great smile; the menu was full of great variety of Appetizers, Salads, Delicatessen Cheese and Meats, Salted/Marinated Fish, Hot Appetizers and Meze, Meat Dishes, and Seafood Dishes.We were offered a Potato Salad and Paprika Appetizers; they were both delicious; the Rocket Salad was fresh, the Fried Potatoes Skins was tasty, the Eggplant Rolls Stuffed with Meatballs and Feta Cheese was unique and tasty, the Cretan Village Sausages, the Grilled Sardella Pantremeni, and the Mussels Saganaki Cooked with Creamy Pepper and Feta Sauce were perfectly cooked and delicious.It is a delicatessen in big portions at very reasonable prices compared to average food in any other restaurant.",To Elliniko Ouzomezedopoleio,Review 253 Similarity,1,Review 1 Similarity,0
50,"I have visited To Elliniko Ouzomezedopoleio many times before but always as a ‘regular’ customer.I therefore know the food, .... and I know it always delivers in both taste and quality. Never have I been with a group though but we decided to give them a chance for our business outing.Boy, did they deliver !We, a group of 22 people, arrived a little early but this didn’t matter to the kitchen as before long the dishes started coming out. Yes, we agreed a menu up-front so the kitchen knew what to expect .... but it usually takes time for a kitchen to get up to speed. Not here ! .... delicious dips and small starters were put on the table in no time, the drinks arrived .. and people were getting comfortable ... having a great time.From there onwards .. it went only crescendo! Given that we had many foreigners in our group, we decided to go with a nice selection of typical Greek food. I don’t know if a Greek restaurant finds it harder or more easy to please foreigners (as they don’t know what to expect) ... but I personally was very happy to observe that all the Cypriots present (I’m Dutch myself) were really impressed by the food. And our foreign friends were also blown away.To put a long story short; we had a great evening. The service is excellent ; both friendly and professional ... no request seems to be “too much” for them to handle.I recommend for you to give them a try yourself, you will not be disappointed!",To Elliniko Ouzomezedopoleio,Review 81 Similarity,0.499756038,Review 2 Similarity,0
50,"One of the four or so restaurants in the Hilton Park Nicosia is the To Elliniko Ouzomezedopoleio, offering Greek mezze dishes. It was always my understanding that mezze are small dishes, hot or cold, spicy or savory, similar to Spanish tapas. The operative word is “small.” The dishes I ordered were anything but small – but humongous!Before ordering, I was given bread and a small complimentary dish of potato salad with a light mustard dressing. I normally do not like potato salad with mustard dressing, but I found this version to be quite tasty and would order the appetizer version listed on the menu (€5.50) if I were come again.For what thought would “small” dish appetizers, I ordered the Armenian pastourma - highly seasoned, air-dried cured beef (€5.50) and an order of pan fried fresh mushrooms with cognac and balsamic vinegar (€6.50). This would be followed by my “main course” of horiatiki – a country style salad with tomatoes, cucumbers, peppers, onions, olives and feta cheese (€7.00). I also ordered a 650ml bottle of domestic Keo beer .When the pastourma arrived, there were 8 pieces on top of a huge amount of what appeared to be politiki – a cabbage salad with carrot, celery and red peppers. This was surely enough food for 2 or 3, after all, I expected this to be an “appetizer.” The pan fried mushrooms were hot and very tasty. I would have ordered another if I didn’t already have the pastourma and the horiatiki salad was still to come. The horiatiki salad, like the pastourma was quite large, enough for 2 persons sharing.The offerings were tasty and the service was fast and efficient with no mistakes in my order. I could only finish the mushrooms as the two other plates were large. My waiter offered to put the remains in a take away container. I later placed it in my hotel room’s mini bar cooler to keep it from spoiling, so I could eat it the next day.I would definitely come again, if just for the pan fried fresh mushrooms with cognac and balsamic vinegar.",To Elliniko Ouzomezedopoleio,Review 148 Similarity,0.499445369,Review 3 Similarity,0
50,This restaurant combines a modern approach to serving traditional Greek food! The atmosphere is nice although too noisy when it is full. Service is good and there is a great variety of plates to choose from!,To Elliniko Ouzomezedopoleio,Review 143 Similarity,0.496941867,Review 5 Similarity,0
50,A very nice designed restaurant with delicious food and good service. I certainly recommend a visit.,To Elliniko Ouzomezedopoleio,Review 70 Similarity,0.488901207,Review 8 Similarity,0
50,"Fantastic restaurant, excellent food, lovely atmosphere and quick service!!! You have to try kaserokroketes are delicious👍",To Elliniko Ouzomezedopoleio,Review 106 Similarity,0.488901207,Review 9 Similarity,0
30,"Our experience here was average, as we didn't enjoy the food very much, even though the atmosphere is great. A few examples of the dishes we had are ""Kebab giaourtlou"", and this is served without yoghurt (!), which is actually funny and pretty unbelievable. We also had pita with traditional chopped sausage in it was full of oil, and this make it hard to enjoy. We also had zuchini-balls and those were tasty. Also, small pork-chops with carob sauce wasn't anything special.",To Elliniko Ouzomezedopoleio,Review 207 Similarity,0.488901207,Review 10 Similarity,0
40,"Traditional Greek food in modern surroundings gives this restaurant a relaxed, cosmopolitan feel. Portions are big so even though you're meant to order a few fishes they are much larger than tapas so pace yourself. Service was very friendly and efficient so overall a thumbs up.",To Elliniko Ouzomezedopoleio,Review 208 Similarity,0.488901207,Review 11 Similarity,0
30,"Reproduction of a Greek taverna offering authentic Greek dishes at quite affordable prices. Connected with Hilton Park with possibility to find easily ( free ) parking. Large menu to choose from. Accurate and friendly service in a pleasant atmosphere. Actually I read many excellent reviews about this restaurant so I am sure they can cook well and probably what occurred to me is just a mere accident. In any case a chef should check all the dishes which are getting out of his kitchen and he should not allowed a ""burned"" dish to reach the customer ! No need to give any explanation ... just have a look to the picture I posted along with my review in order to understand what I mean. I was not in the position to reject the dish; I did not want to make any controversy and I ate it all the same. Just a pity.",To Elliniko Ouzomezedopoleio,Review 168 Similarity,0.483886703,Review 12 Similarity,0
