r_points,r_text,place,
30,"Arrived to find very helpful staff on reception at night, who offered me a drink which was great. Then problems started: No remote control in room, I was brought another but it didn't work. Tea/Coffee making facilities in room, but with the wrong plug and no adapter in room. Bathroom floor badly made, so I ended up flooding the bathroom when I had a shower.",Altius Boutique Hotel,Review 15 Similarity:  0.41602514716892186
10,"Very bad service, A/C not working. not very clean... what else?Empty room, with smelly blankets...Bathroom like the ones in student dormitory.Marks on the walls,WiFi was not bad...!No gym, tv smaller than my laptop.",Altius Boutique Hotel,Review 16 Similarity:  0.5
30,"Average hotel, with a lot of booking mistakes. They made a horrible mistake with me and woke me up at 11 to tell me that I should leave because Id just book for 2 days. Later after a day we discovered a huge mistake done by the administration. Some rooms are not equipped by a fridge. Rooms are also noisy.",Altius Boutique Hotel,Review 17 Similarity:  0.0
20,"I stayed at Altius hotel for a single night during a business trip in Nicosia.The hotel was booked by a travel agency at the price of 93 euros, including breakfast, plus 16 euros for a dinner.The hotel was a descent lobby and my room was fair spacious.My first bad impression was during the checkin. I gave to the polite receptionist my id card, she immediately found my reservation but though I was the only customer checking in, I was asked to wait for a while. This ""while"" took 10 minutes. Moreover, I was asked if I wanted to be offered some drink, I ordered some wated but it never came.My room was spacious, the matress of good quality but the bathroom rather old. The towels were too hard and the cosmetics just basic. Moreover, though I was on the 6th floor, there was too noise from the street. It had a tv of 20'' on the wall, which is funny because you cannot have such a tiny tv 3 meters away from the head of the bed. Moreover the fridge was empty, not even any bottle of water inside. So, what was the meaning of the tea boiler?At night I visited the restaurant. Though there were only 2 more customers there, I had to wait for about ten minutes for someone to show up and bring me the menu.The menu had 3 salads, 3 pizzas, 3-4 meat plates and a few other dishes.I ordered 1 salad, 1 pizza, 1 beer and a 1lt bottle of water. Despite my extra charge of 16 suros for the dinner, in the beginning the waiter informed me that I can only have a single choice, and all others are extra. Later on he asked someone what is included in half board and I was told that I have to pay for the drinks.Remember, I was charged 16 euros for the dinner, my meals choices costed 12,5 euros (in the menu) but I had an extra charge of 5.5 euros for the drinks.The quality of the salad was fair, but the pizza was one of those 6 pieces low quality frozen pizzas you can buy at the super market.When checking out, I payed for the 5.5 euros for the drinks but when I asked for a receipt, I was told that I cannot get because my room was booked and payed by a travel agency. But It was me who payed the extra cost, how can they send this amount to the travel agency? The receptionist offered me to send me some receipt by e-mail but there was no meaning to spend so much time in the checkout for so simple issues, since I was in a hurry. It had already took me long since the receptionist was busy with some paperwork.In conclusion, Altius is a hotel that has partly been renovated, the staff is polite but seems amateur, its processes need reengineering and the restaurant is very bad. If it costed about 50 euros it would me fair.I hope that the hotel management will consider my critisism.",Altius Boutique Hotel,Review 18 Similarity:  0.35355339059327373
40,"The highlight of the hotel was the kindness of its staff -- especially Demetra, Venetia, Ioanna, and Nataly, who did what they could to make sure that my stay was comfortable and solve any issues that arose. I appreciated the help in switching to a nicer room with a refrigerator to keep my medicine cold. The rooms on the whole were basic and the atmosphere/bed linens a bit tired, and the location of the property is a bit off the beaten path, but overall it wasn't a bad deal for last-minute.One note: I pre-paid online through Hotels.com because the hotel website would not take last-minute bookings and, when travel issues came up, called the hotel to let them know in advance that I would not be able to make it the first night. To my surprise, my reservation was gone by the time I got there. Luckily it wasn't busy or at capacity, but it would have saved a lot of time and extra effort on the part of the staff, who had to search for it unsuccessfully and then re-book.If you're looking for a nice place to eat within walking distance, I highly recommend the Syrian Arab Friendship Club restaurant, just a couple blocks west of the hotel.",Altius Boutique Hotel,Review 19 Similarity:  0.17677669529663687
50,"Stayed in this hotel for a conference at the University of Nicosia in March 2015 and was pleasantly surprised. It is nothing fancy, but covers the needs of every business traveler. I especially appreciated the friendly attitude of the staff which was always ready to satisfy any request. I had to work on a paper late at night and they immediately provided me with the manager's desk (!) in a quiet room where I could work and print for as long as I wanted! They even brought me tea and coffee for free for as long as I worked! This is really excellent service. Many thanks.",Altius Boutique Hotel,Review 20 Similarity:  0.31622776601683794
50,"A warm welcome with water & juice, kind staff ( something you will find it hard to find in the European continent), 2 connecting rooms for a family of 4, decent breakfast, clean and calm room surroundings is too good for a Two Star Hotel. A tick in all the review boxes If the Hotel is present in one of the capes or near to the sea shore.",Altius Boutique Hotel,Review 21 Similarity:  0.15811388300841897
30,"An event booked for a conference where I was a speaker for a local company! The space was semi clean, the table clothes had been used before us and were wrinkled! The coffee service was slow. This is a beautiful place with good energy and good people working there but somehow they keep missing points on cleanliness, quality and speed of service! This is my second not so good experience there! I do wish them well!",Altius Boutique Hotel,Review 22 Similarity:  0.2672612419124244
30,"I was staying in Altius in May for busines and the only word, which comes to my mind is ""basic"". Air conditioning in the room wasn't working properly and there was a persistent smell of sewage in the lobby. You can walk to the city centre but this is a 25-30 min walk, which is not a nice walk. The nearest cash point is half way though this walk. All in all, you can stay here if you are after an inexpensive stay. Mind you the hotel is sandwiched between two busy roads and it can be quite noisy. On a positive side, the staff were very friednly, Altius offers a good breakfast and there is a decent bar. WiFi was poor",Altius Boutique Hotel,Review 23 Similarity:  0.44194173824159216
30,"I couldn't really complain too much about my stay here. The rooms are fairly basic in terms of decor but my room had a nice balcony (although views are of other buildings and a road), a fridge, a hairdryer, desk , couch, and decent enough tv.I was missing a bathmat 2 of the days i stayed there which meant water went all over the bathroom as its a bath shower. One of my towels was a bit grim one of the days i didn't use it for that reason but other than that the place was clean and comfortable.Staff were very nice and helpfulBreakfast was basic enough but again had everything you'd want really.No draught beer in the bar which was a bit disappointing and the location isn't amazing. Its about a 20 minute walk from ledras street and whilst there are a one or two cafes and restaurants within 10 minutes there isn't an abundance of choice closeby.Overall i was satisfied and cant really complain",Altius Boutique Hotel,Review 24 Similarity:  0.2773500981126146
40,The hotel has very nice and big rooms. The entire staff at the hotel is very friendly especially at the one at the reception. All the staff is very conversant with English. Food is also nice with some decent options for vegetarians as well.,Altius Boutique Hotel,Review 25 Similarity:  0.0
50,"I stayed for three days two weeks ago at this hotel, the hotel has a perfect location, clean rooms, and very friendly staff for an affordable rate, F&B is quite fine but it could be better, it is perfect for business trips or short stays.",Altius Boutique Hotel,Review 26 Similarity:  0.0
50,"I stayed in Altius boutique, Nicosia, Cyprus for a week starting 12 of Feb room 412I highly recommend this hotel. Starting by the manager who knows what he's doing to his lovely wife at the front office and her staff all very professional.Cleaning staff very helpful as well as the waiters in the restaurant. Rooms are clean. Any thing you ask you get immediately. I really enjoyed my stay...",Altius Boutique Hotel,Review 27 Similarity:  0.4008918628686366
40,"Good location, newly decorated, clean. The lobby is superb with a smoking area on the terrace. Bed very very comfortable - room is fine for the rating. Only negative comment is TV has Cypriot channels only. I hope they introduce IPTV. F&B is fine although breakfast could be better in terms of choice. The staff are 100% and in particular the wonderful Elle - the assistant manager. Yes i would visit again.",Altius Boutique Hotel,Review 28 Similarity:  0.1889822365046136
20,"A 3 star Hotel that locals are proud of it and regard it as an underprivileged. The fascilities are representatives of a good 3 star Hotel, but till there! No more! Even though, the service level is lower than the expectations! As a customer, I wittnesed the supervisor-recepionist-""welcome girl"" making serious and extended warnings to a waitress because she did not use a kind of paper for its proper use, or something like that. The majority of the stuff showed professionalism and warmth! Even though it fascilitates mostly bussiness trips, the WiFi is unacceptable, not even for Social media use. The food was really boring and the ingredients were of low quality. Avoid having lunch or dinner there because it is sure that you will taste food wine and beer bought from the cheapest German super market of the area! They use funny music at the loby area, they try to put on classic and timeless music in many different countries. On the bright side, the beds are GREAT, and the rooms are nice and spacious. The location is not central but not far from it.",Altius Boutique Hotel,Review 29 Similarity:  0.12909944487358055
40,"The lobby is very nice but that is where the term ""Boutique"" ends. The room was basic chair , 19"" television, and bed. Very stark and no decoration in the room.There was an electric kettle with a selection of instant coffee and tea. There was also a small fridge where you could put items to keep cool.The bed was very comfortable and I slept well with minimal road noise..even on the 1st floor.The room and bathroom was old and worn. That being said, it was clean. The only exception was the black stains(looked like mold) at the bottom of the shower curtain.The restaurant has a limited selection and the breakfast is basic.Hotel does not offer laundry service but there is a facility across from the hotel that does laundry and dry cleaning.The staff is the reason that I have rated this hotel a 4 instead of a 3. They were always friendly and accommodating to my requests.This is a clean, very basic hotel for sleeping. I would stay again next time I am in Nicosia.",Altius Boutique Hotel,Review 30 Similarity:  0.40032038451271784
50,"Super welcome, super staff, super facilities. I was attending a European meeting and we all agreed that the facilities were ideal with different spaces available for different types of work. Really enjoyed my stay and will return again.",Altius Boutique Hotel,Review 31 Similarity:  0.35355339059327373
10,"In the first room I was assigned to there was zero wifi reception. When I complained I was told the hotel was fully booked. A very nice (actually the only nice) person at reception went out of his way to find a solution, and he did. The second room had (good) wifi, but no fridge, and faulty airco. I later discovered that there was also no soap in the dispensers and that the bathroom was smelly. Upon complaining about this next morning I was told by a very indifferent receptionist that she would look into it and reassign my room if necessary. When coming back in the evening she told me that she had completely forgotten. Another room was impossible, the place being full. When I said that I expected something to be done she replied ""what did I think, she had a very busy day"".I was, however, given a fridge (taken from another room I suppose) and the same one and only nice person tried to find technical solutions for the airco. Next morning there was no hot water. I should also mention that breakfast choices are very poor (fresh fruit = sliced grapefruit) and not what you expect from ""boutique"". The hotel prides itself of being close to the old town, but close means a 20 - 30 mins walk. Even checkout was not without a problem: someone had made a mistake and debited my credit card for more than was agreed. I was, however, credited the same day.",Altius Boutique Hotel,Review 32 Similarity:  0.3686048903872428
30,"On arrival, the hotel looked great. A well appointed reception, bar area and restaurant was a good start. The reception staff were friendly, helpful and spoke faultless English. A quick trip on the 1 lift took me to my 3rd floor room. A fairly basic, but again clean twin room. Beds were comfy, lots of 3-pin sockets. However, no air conditioning. Not a major issue as this was October and the 3 nights of my stay were fairly cool. Bathroom was dated but again clean.A buffet breakfast was very good. Good mix of fruit, cereals, meats and hot food. Good supply of coffee and juices too.Hotel wifi was fine. Free and easily accessed on the ground floor and each of the 4 floors of the hotel too.The hotel location was about 15-20 minutes walk into the old town. Reception team provided free maps to help navigation.I'd happily stay again, the average rating is a tad harsh. If there was an option to say GOOD, that would feel more fair.",Altius Boutique Hotel,Review 33 Similarity:  0.2519763153394848
10,"My stay in thus hotel was terrible experience. My room was stinky. Some lights didn't work. Aircondition, what is that?!?! Wifi, what is that?!?! Breakfast, no comment!!! Uncompetent staff at the reception! I could go on and on! How come this kind of ""hotels"" have permition to accept any guests? I am trying to find any good reason!",Altius Boutique Hotel,Review 34 Similarity:  0.3779644730092272
10,"The Aircondition does not work, even though we requested them to look at it before we went out for the afternoon. When we came back it was late, and to late to do anything about it. Room was stuffy, and opening the balcony door was not an option due to noise outside. Service is shocking, it took almost 45 min to book us in when we arrived, we were on a tight schedule because of a race we had entered. We were looking forward to have a couple of drinks in the bar, which was only 1 in the end. The lady managing the bar told us the receptionist could keep serving us, because her shift was finished. That was not the case. We are extremely unhappy with the overall stay in the Altius, and value for money is not compatible.",Altius Boutique Hotel,Review 35 Similarity:  1.0
50,Cyprus Youth Council organised 3 day event in Altius Hotel with 56 Young Participants. The conference rooms and the facilities of the hotel was great and whatever we asked the staff was ready to provide it. We fully recommend Altius Hotel for business conference.It was the second event we organised in Altius Hotel and both times all the participants left us excellent comments for the facilities.,Altius Boutique Hotel,Review 36 Similarity:  0.26940795304016235
30,Nice hotel with great atmosphere. 15 min walk to old town. But the food is not so good. We used the confetence room as well at the underground levels of the hotel and it was quite a good option for business meetings,Altius Boutique Hotel,Review 37 Similarity:  0.12909944487358055
40,"Visited Nicosia for a business trip and stayed in this hotel for 5 days. It was nice and made me feel at home.Specially the lady(Eile Charalambous) was in front desk were very helpful, friendly. Simply she is great.....Thank you very much for",Altius Boutique Hotel,Review 38 Similarity:  0.0
40,"Visited Nicosia in a Business Trip and changed our reservations from another hotel to the Altius Boutique Hotel. We made the right choice. From the time we stepped in till we left the hotel we were made to feel at home. Everyone is very friendly and concerned to keep you comfortable. When you get back after a days work you are greeted withe a smile and an offer for coffee, juice or a simple glass of water - something I found really special. Rooms are comfortable, and the hotel is located close to the city center. The whole team at Altius are mega-friendly. Our sincere thanks and appreciation to Elle for her generous hospitality.",Altius Boutique Hotel,Review 39 Similarity:  0.17407765595569785
40,"Stayed on a Sunday and Monday in the very hot month of August . Very clean nice modern hotel!! Reception staff very helpful!!! The breakfast could be a little richer!!!It is 15min walk from the bus station and the old town.All in all , I would stay again!!!!",Altius Boutique Hotel,Review 40 Similarity:  0.15811388300841897
30,"The front of the hotel is very drab.Lobby looks like the brochure pictures. Limited parking available (~8 spaces max), no shuttle service. The front desk staff we met was superb and very accommodating. The room was spartan and acceptably clean, felt aged. Clean tiled floors in bedroom.The bathroom had a small combined bath-shower, there was noticeable dirt on the wall grouting. Good hot water, limited towels. Aircon was very effective. Has good internet. Hairdryer built into bathroom fixtures. Faded, lower end, business class hotel.",Altius Boutique Hotel,Review 41 Similarity:  0.25
20,"We visit the hotel for graduation of our son.The room was dirty with 100% SYNTETIC blankets and quilt dyring the summer period with 40 C.Bath very old and not clean.No air-condition only clima which is low working.YOU CAN SEE AT THE PHOTOS the dirty windows I have write with my finger,and bed and room at18.30 after cleaning.Breakfast was sufficient .May be they must cut off the Boutique hotel from the title.",Altius Boutique Hotel,Review 42 Similarity:  0.30151134457776363
40,"Stayed in the hotel for three nights. Modern hotel with large rooms, very nice sleep quality of beds & very nice staff. I would like to make special mention of Mr. Panayaios who normally is on night duties and Ms. Lilly. Both were very helpful and smiling all the time.Hotel is not in center but in close proximity.Breakfast was nice and sober. One thing I could suggest would be to add some more options in Menu for Dinner and Lunches.",Altius Boutique Hotel,Review 43 Similarity:  0.0
30,"I visited it in late June to attend my graduation along with my husband. The staff were friendly and helpful. Disappointed our room had no fridge and ironing facilities. We had to ask for an ironing set. The bathroom was moderate, the bathtub was at a very high-level from the ground and the basin water's flow little. Surely expected more!",Altius Boutique Hotel,Review 44 Similarity:  0.25
30,"This hotel is situated very close to the city center (3 minutes by car, or 15 minutes by foot). The price was very affordable, the staff was super polite and their breakfast was not bad. However, there were serious wi-fi problems and my room's window curtains were not completely light-proof. As a result, I woke up early in the morning. This property is ideal if you are planning on staying for a single night and are not looking for too much in terms of services (i.e. wi-fi, tv, etc.)",Altius Boutique Hotel,Review 45 Similarity:  0.20412414523193154
50,"I stayed at the end of June/start of July and had no trouble making a booking online from the UK. If you arrive as i did at Larnaca airport the cheapest way to get to the hotel is via the airport shuttle bus to Nicosia (buy a ticket in the Larnaca airport office - on your left when leaving the arrivals hall) which takes you to the shuttle stop in Nicosia (8 Euro). Buses usually run every hour each way - ask the office for a timetable ready for planning your return trip. Taxis wait at both the shuttle bus centres - take one in Nicosia to the Altius (10 Euro). Alternatively you can take take a taxi from Larnaca airport directly to the hotel but this will be much more expensive (50 Euro).All Altius rooms have small balconies. If you like morning sunshine ask for a room with an even room number, for sunshine from midday to evening ask for an odd-numbered room. The first floor rooms can be noisy; odd-numbered rooms are above the hotel entrance and hear guest arrivals/taxis. Even numbered rooms on the first floor are next to a slightly noisier street and above the outside dining area from the restaurant so may be noisy and experience cigarette smoke so probably best avoided if you dislike that. Rooms from the second floor to the top floor (4th) are generally quieter, although there is some (but not much) noise from local traffic. The hotel is in a fairly quiet part of town.Hotel staff speak English and are very friendly and helpful. I was told there will be 2 English TV channels available in the rooms soon but you might want to take your laptop/tablet if you want to watch TV from home channels. Remember to set up a VPN and Sky Go on your device before you travel (check Google for how to do this).There are some, but not many, restaurants nearby but the hotel breakfast is good with a range of continental and cooked choices, including typical English breakfast fare. Evening meals are good value and there is plenty of choice. The bar is well stocked but expensive, especially for cocktails.If you plan a stay of more than one or two days you may want to make sure your room has a mini fridge (not all do) so you can keep drinks and snacks cool. The nearest local supermarket is very close - about 5 mins walk away (towards the city centre). Hotel reception will give you an excellent local street map. Look to your left down the side streets and the supermarket is about 100 yards along on the right and sells a wide range of dry goods, alcohol, soft drinks, snacks, biscuits and household goods (but no fresh produce or fruit) and the owner speaks excellent English and is very helpful. Prices are good. For fresh fruit you need to go a little further - maybe 20 mins walk towards the university. Look on the left for the store down a side street; it's on the left so be careful not to miss it - watch out for a shoe shop immediately on the corner (left) and that is the street you need. Prices are good and there is plenty of choice but only a little English is spoken. If you miss the store there is another even larger one on the main road you were are on, just a little further on the right (very prominent).The city centre is about 10-15 mins walk away. Head for the busy pedestrianised area for a wide range of bars, cafes and restaurants down the narrow streets - lots of atmosphere.",Altius Boutique Hotel,Review 46 Similarity:  0.27756805500135046
40,"The front desk staff were very friendly and helpful, especially Anelia. The location of the hotel was good for our purposes and the old town is less than 15 minutes walk away.I would recommend this hotel",Altius Boutique Hotel,Review 47 Similarity:  0.0
40,"ProsTop service, staff is really friendly and helpful, you cannot fault this.Location is also good, central but quiet.Rooms are spacious with most facilities, safe at no charge and hospitality tray.ConsSome parts of the hotel, especially the rooms, are a bit tired.Cleaning is good but could be better.Breakfast is OK.Overall, few things could be improved bit this is good value for money for Nicosia and excellent service.",Altius Boutique Hotel,Review 48 Similarity:  0.2
40,"We stayed here 3 nights. Staff were very obliging, and like a previous reviewer, I noticed that the waiter remembered my breakfast tea preferences by second day. Reasonably priced and acceptable evening menu.",Altius Boutique Hotel,Review 49 Similarity:  0.0
30,A comfortable hotel with generous sized bedroom. It is an easy 20 minute walk to the old town where there are many shops and restaurants to cater for all tastes. The car park is small but there is plenty of on-road parking.The buffet style breakfast was comprehensive with good service. This is an average run of the mill hotel for Cyprus.,Altius Boutique Hotel,Review 50 Similarity:  0.15811388300841897
10,"We gave this hotel multiple conference bookings. They kept charging different prices, leaving the rooms dirty etc. To top it all their catering is substandard. They ran out of food on a buffet not to mention the overcharges. Their cafeteria never charges the same price for similar orders. We couldn't even get a waiter to wait on us without asking several times. Lastly we couldn't even get them to give us a quotation without asking a dozen times. I do not recommend it to anyone. To their credit a few of the staff are very polite.",Altius Boutique Hotel,Review 51 Similarity:  0.0
40,"Located about 15 minute walks from the centre. Not much going on around it, although Syrian Arab friendship club is definitely worth a dinner trip. Rooms are clean, although cleaning staff a little make sure it stays that way - knocking on the door at 9am, please. Front-desk very friendly, helpful. Breakfast was ok, nothing more.",Altius Boutique Hotel,Review 52 Similarity:  0.0
40,"I have stayed at this hotel for one night for business. The room was nice and clean. However, the air-conditioning was not working yet even though it was the beginning of May so it was too hot to sleep. I had to open the window but there was a noise of cars coming from the main street. It was just this time of the year when heating was being switched off to air-conditioning. Overall, the hotel was lovely and the staff attentive and friendly.",Altius Boutique Hotel,Review 53 Similarity:  0.1386750490563073
40,"I accompanied a group of 20 college students for a study-abroad class, and we had a great experience staying at the altius. The location was convenient and the staff was very helpful. They called cabs for us frequently. They let us store a large equipment case at the front desk and gave us access to it whenever we needed it. The waiter in the breakfast room knew my morning coffee order by the second day and brought it before I even asked. The rooms were serviced regularly and well.",Altius Boutique Hotel,Review 54 Similarity:  0.35355339059327373
50,"It is my fourth time at the Altius.Friendly, attentive and generous.Large room.Very clean room.Good breakfast.Quiet location.Walking distance to University and city center.By the river promenade.For sure will return once I am back in Nicosia.",Altius Boutique Hotel,Review 55 Similarity:  0.41602514716892186
40,Very nice hotel in which I will go again. Excellent position close to everything in Nicosia. Clean and free WIFI. Breakfast offered a very good choice and service was efficient. The staff was very nice and helpful.,Altius Boutique Hotel,Review 56 Similarity:  0.1336306209562122
50,"I didn't stay a lot, but I had a pleasant stay there, nothing to complain about. The staff is helpful and the room was comfortable as well. I'd like visiting the place again, hopefully for a longer stay.",Altius Boutique Hotel,Review 57 Similarity:  0.5547001962252291
40,"This is a lovely, modern hotel in a good location, only 15 minutes walking from the Old Town gates. The staff are very nice and helpful.The room was quiet and beautifully fitted. Free WIFI was good. Free parking available.Breakfast offered a very good choice and service was efficient.Would certainly recommend this hotel.",Altius Boutique Hotel,Review 58 Similarity:  0.20851441405707477
50,"An excellent hotel close to everything in Nicosia. Clean and with free wifi, coffee making equipment, safe, and flat screen tv. Good and cheap.There is also room service, a restaurant and a bar. Parking is limited however you can find parking in near streets.",Altius Boutique Hotel,Review 59 Similarity:  0.35355339059327373
40,"Recently we attended 2 events in Nicosia back to back, Instead of dragging my 2 kids back and forth from Limassol and getting very little sleep in between, we decided to find a hotel for the night. We read in tripadvisor and saw many good reviews about this hotel and hence we decided to give it a try. We arrived around 7:30pm at night and luckily we managed to find parking space at the front of the hotel. It seemed that the hotel only offer limited parking space but I think there should be some parking near by. We were warmly welcome at the hotel by the reception staff. The room was clean. For sure the toilet needed an upgrade but still it was in reasonable condition. We asked for a family suite (effectively two double rooms jointed together.) There were plenty of space for us in the room. There was ""respectable variety"" of food for breakfast, it wasn't great but definitely not bad at all. The check-in was very fast, we did have to wait for check-out but I would say we were unlucky to caught behind a group of check-in guest. It was definitely good value for money and will consider to stay in the same hotel again.",Altius Boutique Hotel,Review 60 Similarity:  0.2004459314343183
50,"Altius is a relatively small hotel within easy walking distance of the pedestrianized part of Greek Nicosia. A professional and very welcoming staff greeted me as if I was an old friend. Good shower, clean room, bountiful breakfast and a quiet lounge and bar to gather ones thoughts. I will stay there again.",Altius Boutique Hotel,Review 61 Similarity:  0.4743416490252569
50,I visited the Altius Boutique Hotel with my family and I will surely recommend it to all my friends.The staff is very helpful and polite.The lobby is nicely decorated-very stylish. It looks like the hotel was recently renovated.Very very niceBravo!!!!,Altius Boutique Hotel,Review 62 Similarity:  0.17677669529663687
50,"Super hotel for team........ Great place,near by center. Everybody have a great attitude for clients and great wishes for everybody after visiting! I think one of the greatest things at your hotel is your staff and director with his all good comments! We Wish you luck and happy new 2016year!",Altius Boutique Hotel,Review 63 Similarity:  0.0
40,"Had to stay at a hotel on New Year's eve to make space for the teenage kids and friends at home!! So we decided to stay at Altius mainly for its proximity to my home but also from good impressions from a previous stay. Very friendly staff, room was modern and clean, the bed and pillow comfy, the bathroom clean and functional and the temperature in the room just right. Nothing fancy regarding the common areas but they were modern and functional. The breakfast was mainly average, good coffee, only one selection of cheese and the omelet which was part of the English Breakfast rather smelling strongly. Not my cup of tea. Overall, I should say its value for money for Cyprus standards (hotels in Cyprus are a bit on the overpriced rates category) and certainly much better than any other hotels in its category. Recommended!!!",Altius Boutique Hotel,Review 64 Similarity:  0.5570860145311556
30,"Room, staff and ambiance very lovely. Food dreadful, under cooked, over cooked and insufficient. Ignore the extensive menu on their website. It does not exist. Menu is limited to very simple snack food which is not cooked properly. On one occasion we had to lay our own table with no napkins available amidst the staff noisily cleaning the tables around us.We booked a twin bedded room with terrace and was given a double bed. Though relocated to a twin bedded room there was no terrace.It is a 52 room hotel but only 4 car parking spaces.Overall we could not fault the helpfulness of the staff (though not adequately trained to carry out their duties in bar or restaurant), the spaciousness and cleanliness of the room.",Altius Boutique Hotel,Review 65 Similarity:  0.40032038451271784
50,Excellent Hotel with style.Staff are very helpfull and make you feel nice and comfortable.Perphect location .Just five minutes walk from the city center .Rooms were clean and specious with nice view and balcony.,Altius Boutique Hotel,Review 66 Similarity:  0.0
50,All Stars Bar is fantastic with good atmoshere and good prices and very good service from the staff.Clean and nice room with a city view. (Free wi-fi) I loved my stay there and i will definitely stay again.,Altius Boutique Hotel,Review 67 Similarity:  0.4588314677411235
40,Thought the hotel well located. Staff were excellent and very friendly. The room included all the amenities I needed.The only suggestion I have is to work on hiding traces of the old hotel. But that definitely does not affect the stay...Enjoy,Altius Boutique Hotel,Review 68 Similarity:  0.31622776601683794
50,I was introduced to this hotel by business partners. I was very happy with the friendly reception welcome. The checking in process was fast because all the paper work was already prepared. The hotel is very clean and has a quiet environment. There is a very quiet bar for relaxation on the ground floor. The rooms are very comfortable and clean.,Altius Boutique Hotel,Review 69 Similarity:  0.0
