r_points,r_text,place,,,,
50,"Stayed there for 4 nights for my sister's wedding.we were approx to 50 people and we felt like at home!The staff was ready to do anything and help in every way to make every thing works at the wedding day. Irini, Paula & Mohanad (hope I spell it right) there is no doubt that the wedding day was so perfect thanks to your help!beside this amazing staff, the rooms are very clean and well equipped.next time, definitely a longer stay!Thank you very much 😊",Semeli Hotel,Review 27 Similarity,0.25,Review 66 Similarity,0.328266082
40,"Semeli hotel is a great place to stay in Nicosia, although I was only there for one night, I had a very good experience. The hotel is clean and well maintained. my room was clean and comfortable, all the staff were friendly and willing to help in any way. If I am in Nicosia again I will definitely visit Semeli hotel.",Semeli Hotel,Review 163 Similarity,0.25,Review 68 Similarity,0.328266082
40,"My company booked me at the hotel and I was pleasantly surprised with its cosy atmosphere, and friendly staff.It took me a bit back to the 80s style of hotels in Greece and the Eastern part of the Mediterranean; in a positive way, due to the style of interior and artwork and furniture/decor.I had a very good stay, the place is well run, clean and safe.The only thing I would really advise them on, is changing the lighting in the bathrooms. I would really like to challenge the hotel manager to try and shave in the dimly white-lit bathroom.Overall a good place to stay for business while in Nicosia.",Semeli Hotel,Review 116 Similarity,0.376889181,Review 37 Similarity,0.316723033
40,I have stayed at this hotel for a business Trip in Nicosia. The Hotel is very well placed. The staff is very friendly and the standards of the Hotel are quite high. The breakfast is rich of both quantity and quality. The rooms are spacious and very clean. Would recommend the hotel especially for Business trips.,Semeli Hotel,Review 120 Similarity,0.200445931,Review 86 Similarity,0.315838083
30,Stayed for a night only - the rooms are kind of small if you are planning to sit on the desk - but clean and comfortable - so does the bathroom. Heating was a bit too much for my standards - couldn't adjust the control all night... On the other hand the service is excellent - very polite and helpful staff.,Semeli Hotel,Review 42 Similarity,0.23570226,Review 71 Similarity,0.30949223
40,"My wife and I had to be in Nicosia General Hospital for her to have a bone scan, on 22nd August 2013 and we decided to book over night in a hotel, as we live in Paphos, a two hour drive from Nicosia. We booked this hotel as it did not seem far from the General Hospital.We arrived at the hotel about 1315hrs, parking underground was not possible as the car park had been cordoned off with card board boxes, I mentioned this to the Receptionist, Paula, by the time we had booked in and got to our room she had telephoned and arranged a parking spot for me in the underground car park, excellent service.The hotel is clean and spacious and the rooms are very clean & tidy, beds are really big and comfortable. The touches in the bathroom of comb, toothbrush, sewing kit and the usual assorted gels was well received. The shower was really powerful, welcome after a long drive in humid conditions The staff are very polite and courteous, only too willing to help. The bar, restaurant and rest areas are clean and welcoming and the service is good. I will be using this hotel again should I ever have to stay in Nicosia.",Semeli Hotel,Review 160 Similarity,0.271607238,Review 60 Similarity,0.309086072
30,"Nicosia is a great city to visit and the Semeli is a welcoming hotel with an impressive entrance (including a pleasant terrace). The staff were all approachable and helpful. I did however expect more from the rooms given that it's rated 4.5 by travellers. Despite having a suite, I did not find it overly impressive- and the bathroom could definitely do with modernisation. The continental breakfast was satisfactory but nothing to write home about. In summary, I think it's a reliable choice for a good stay in Nicosia but don't expect a high end hotel. Parking is secure underground, and the walk into the Old town is not too far (no more than EUR 7 for a taxi ride either).",Semeli Hotel,Review 71 Similarity,0.333333333,Review 45 Similarity,0.306381677
40,"The hotel offers a pleasant stay with excellent service. Its considered more likely as a classic hotel but it surely serves the purpose for a business trip even though it is not ideally located (but in a quiet neighborhood and quite close to the city center). The rooms with ""heavy"" wooden decoration with nature paintings on the walls and bathroom were nice and clean. Noticed that the bed quality was excellent. Many options for breakfast for everyone's taste and the lunch offered was also really nice and tasty. Rooms are very quiet with a strong free WiFi signal which was really good. We also used the conference/meeting rooms that were well equipped. Only disadvantage noticed was the room's door which was not sound proof at all and in the morning you could hear every noise from the corridor outside.However, would definitely recommend it for a pleasant stay for business or pleasure.",Semeli Hotel,Review 68 Similarity,0.386510341,Review 35 Similarity,0.304500093
50,First time visiting the hotel and I was never disappointed or dissatisfied! Book with no hesitation. One of the best hotels in Nicosia and with friendly staff! Good variety on breakfast and of course lunch and dinner menu! 5 stars from me!!!,Semeli Hotel,Review 156 Similarity,0.433012702,Review 19 Similarity,0.303239217
40,This was my first stay in the hotel and from the first minute at reception when I checked in the staff are very friendly and helpful it would be a hotel I would use for both business and holiday trips in the future. I had dinner @ the restaurant and the waiter was extremely friendly and entertaining and the meal was excellent. Would recommend this hotel for a stay in Nicosia,Semeli Hotel,Review 25 Similarity,0,Review 143 Similarity,0.303239217
40,"This is a clean, professional and quiet hotel off main streets and between the Central Bank and the Hilton Hotel. I have stayed here before and it was nice to return. Staff are unobtrusively efficient and the general atmosphere is good. Rooms are fine, altough the bathrooms are a tad small and baths double up as showers - difficult to get in and out however. Beds were comfortable and the only recommendtion is to make sure balcony door is closed as mosquitos can enetr and be very persistent. I dined here. Food is average and could do with more variety and better fish options. Wine is decidedly overpriced. Breakfast is excellent. General standards of cleanliness are above average. Helpful and efficient staff.",Semeli Hotel,Review 66 Similarity,0.416666667,Review 28 Similarity,0.298210026
50,"I went to Semeli to celebrate Saint Valentines with my wife, and it was the best choice.Beautiful hotel, very romantic atmosphere in restaurant, excellent food, wonderful room. The service was fully proffesional, like i've never seen before!Thanks SEMELI HOTEL",Semeli Hotel,Review 139 Similarity,0,Review 155 Similarity,0.297775
40,"Bit of an "" odd "" review as I have not actually stayed at The Hotel but attended a 2 day Business Conference there as it is barely three minutes walk from where I live.Recently opened Hotel and knowing most of the delegates saw many of the different Rooms & Suites ,all excellent , and all delegates very happy with service , facilities and in particular the friendliness/helpfulness of Staff.Situated only 500 metres from the more prestigious Cyprus Hilton at possibly half the cost why pay Hilton prices which is only 500 metres away ??",Semeli Hotel,Review 183 Similarity,0.111803399,Review 120 Similarity,0.29361011
50,"I stayed here for 2 weeks whilst in the city on business. It was a nice clean hotel with very friendly staff. The food in the restaurant was pleasant and at lunchtime there was buffet option for €12. The hotel has a gym which has a decent amount of equipment albeit some of the cardio machines did not work and the sauna was out of order for the entire stay. The rooms were clean and had a balcony. Anyone wishing to cool down for a swim, the nearby Hilton has a pool which non residents can use for €15. The hotel has a very strong Wifi and was very accommodating for things like late check out, laundry, space for business meetings.",Semeli Hotel,Review 14 Similarity,0.208012574,Review 81 Similarity,0.291342816
50,"The Hotel is just off the main B1 road into Nicosia but in a quiet area and very easy to find. The reception area a lot of very comfortable seats and next door is a well stocked bar. The restaurant offers an excellent buffet and an ""a la carte menu"" if wanted. The food was superb and the house wine really good. The rooms are reasonably spacious and well furnished. The beds were comfortable, the air con. worked well and the shower was good. I can't think of anything bad to say about this hotel the staff go out of their way to make your stay as pleasant as possible. The two staff members I mainly inter-acted with were Paola In reception who was exceptionally, friendly, helpful and most importantly efficient. Ahmed in the Bar and restaurant was just a very nice person who appeared to love his job. I don't want to go over the top, but I have stayed in a lot of hotels over the years and the staff here are exceptional. Would I stay here again - absolutely without any hesitation.",Semeli Hotel,Review 92 Similarity,0.272772363,Review 59 Similarity,0.283182736
40,"If you are looking for a mass of facilities, then look again. If however you are looking for a clean, comfortable room with good service than this is a perfect choice. Ample parking and excellent beds make it a perfect business choice.",Semeli Hotel,Review 165 Similarity,0.400891863,Review 33 Similarity,0.280744963
40,"I stayed at Semeli Hotel the last week during a business trip and I am really amazed by the quality of the services and hospitality of the Manager,but also all the staff. We had quite a lot of unexpected arrangements to make and referred to the hotel for assistance. The Manager and the staff members did always their best to satisfy our requests, even if it was at a very short notice.I also liked the rooms which were very clean, nice and comfortable.I will definitely stay at Semeli hotel next time I am in Cyprus.",Semeli Hotel,Review 185 Similarity,0.131306433,Review 110 Similarity,0.275862069
