,r_points,r_text,place,Unnamed: 3,Unnamed: 4,scores,compound,score
11,50,Very nice and pleasant restaurant!!!The waitress was very polite... Brizolakia Tou Kambou witch is pork chops with jacket potato was the dish I select. I did not regret it!! It was wonderful.. The menu had a lot of choices and you wanted to try them all. We taste nearly all the day specialities witch reminded me of my mother’s cooking. All the dishes were specially made!! Congratulations!,Pantopoleio Kali Orexi,,,"{'neg': 0.065, 'neu': 0.753, 'pos': 0.182, 'compound': 0.8766}",0.8766,pos
12,50,"I loved this place, not only because of the very nice environment, but also because of the food. The food is really delicious. We ordered from the specialities of the day and tastes were really very good (especially Brizolakia tou kampou). 100% recommended!",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.953}",0.953,pos
13,50,"The Pantopoleio team, is a one of a kind team. The chef with his creations and the well mannered and trained staff transfer the restaurant to a mast have eating experience. Highly recommended",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.8479}",0.8479,pos
14,50,"Agreed chef makes this food slightly different. However, it is superb meat served on a wonderful terrace. Great fun with good service.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.9648}",0.9648,pos
15,30,"Great terrace, good service. The menu is not very adventurous or exciting (minimal fish selection, mostly pork or chicken as main courses. Cypriot and Greek cuisine has more to offer. Many friends rate the restaurant highly; we were less impressed with the food choice though what we had was good if unimaginative.",Pantopoleio Kali Orexi,,,"{'neg': 0.034, 'neu': 0.676, 'pos': 0.29, 'compound': 0.9518}",0.9518,pos
16,50,Wonderfull pleace delıcıous food frıendly welcomeıng People work there we wıll defınetly Come back in our cyprus trip,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
17,50,I liked the atmosphere from the first minute I walked inside the restaurant. It's modern and airy. Better location than before. Staff are very polite and attentive and food was really good! I loved the veggie 'keftedes'!,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.9281}",0.9281,pos
18,50,"Good atmosphere, always busy , {lots of business lunches}, a bit overpriced. Menu has a good variety plus 'plats de jour'. Good quality, well presented, friendly staff.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.9186}",0.9186,pos
19,40,Simple decoration: you feel like you are in a modern cafeteria...! The food was tasty however the presentation needs some improvement. The pork was really tender and tasty but little on the sweet side due to the sauce. I liked the desert cheese cake with Kadayif... the service was excellent and very polite waiters. The prices were average: plates around 10 eur. I recommend the place. To visit.,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.962}",0.962,pos
20,20,"Went to this new opening with the remembrance of the previous set up which was by the way good. Very disappointed. Food below average and most of the dishes came cold, the place was lacking warmth. The guys who own the place should look to what originally made the place popular and revisit their new venture.",Pantopoleio Kali Orexi,,,"{'neg': 0.053, 'neu': 0.811, 'pos': 0.136, 'compound': 0.6494}",0.6494,pos
21,40,"The lease ran out in the old location so they moved close to the American Embassy. It’s a larger space, with large frontage to the road which makes it feel spacious and minimal but slightly impersonal and empty. It’s the same chef, so the food was still very good. Definitely worth coming to but perhaps not on a romantic date",Pantopoleio Kali Orexi,,,"{'neg': 0.103, 'neu': 0.741, 'pos': 0.157, 'compound': 0.7004}",0.7004,pos
22,40,"This place is a modern Greek tavern with nice food, based mainly on meat dishes. Not much variety but tasty choices available. The big hall makes the place little noisy. Good choice for dinner with friends.",Pantopoleio Kali Orexi,,,"{'neg': 0.038, 'neu': 0.736, 'pos': 0.225, 'compound': 0.8348}",0.8348,pos
23,40,The place is a nice place to enjoy lunch or dinner with family and friends.The menu does not have a lot of options to choose from but they have special dishes everyday.The food actually was interesting and delicious from the start until the end.It was a wonderful experience :),Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.9781}",0.9781,pos
24,50,"A wonderful experience from beginning to end. Super high quality of the products, perfect cooking and a flawless and friendly service. One of my favourite places to eat at in Nicosia. As a frequent patron I was glad to see that the noise issue was resolved. Overall, an excellent place for any food lover. I will be back!",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.9839}",0.9839,pos
25,40,"Although a bit noisy inside, we liked the food and the service was not bad. I can tell, it is not a cheap choice and the dishes did not disappoint.I highly recommend their Graviera with sesame seeds and honey, and I can still remember the Melintzanosalata (aubergine salad). I mostly had salads that evening while my friends had meat dishes –pork chop and steak. Average portions and mentioned average tastes. On the whole, though we enjoyed our dinner outing.",Pantopoleio Kali Orexi,,,"{'neg': 0.048, 'neu': 0.809, 'pos': 0.143, 'compound': 0.8411}",0.8411,pos
26,20,"I visited the restaurant as a friend wanted to celebrate her birthday over there! I always wanted to go and it was my first time in the new place in Egkomi! The enveloped graviera cheese was delicious, the zucchini balls were just ok, we ordered two salads that never came. As for the main dishes i ordered mini hamburgers that were not tasty and portion was small, the pork chops were fine and the portion good! Appart from the food that i was not excited, the loud noise in the restaurant was so annoying! We left with a headache!! I dont know if would go again!!",Pantopoleio Kali Orexi,,,"{'neg': 0.048, 'neu': 0.79, 'pos': 0.162, 'compound': 0.9208}",0.9208,pos
27,30,"It had relocated to being opposite the ‘Altius’ hotel. We arrived at 12.35 and ordered a bottle of Shiraz 2017 by Vlassides which was served quickly. We then ordered as well. The Graviera cheese served hot and tasty came well. Then we had had to wait well over 45 minutes and the sea bass was well presented and tasty, the pork chop was huge but rather fatty and the chips were not well presented and the chicken lemonata was OK but not really excellent. The service was very slow and we complained - they responded by offering coffee and a rather nice cream with oranges - very nice. Total bill was €71.50 for 3 persons but the meal was almost 2 hours and 15 mins.",Pantopoleio Kali Orexi,,,"{'neg': 0.057, 'neu': 0.784, 'pos': 0.158, 'compound': 0.8728}",0.8728,pos
28,10,"I am really sorry, but I will not visit the Restaurant anymore because it is so noisy, even when not all tables are taken and you cannot have a decent conversation with your company.Although we complained about the terrible accustic some time ago nothing changed . Pity!!",Pantopoleio Kali Orexi,,,"{'neg': 0.236, 'neu': 0.72, 'pos': 0.044, 'compound': -0.8782}",-0.8782,neg
29,20,"The rocket salad consisted of limp green leaves drowned in oil and sun-dried tomatoes that were inedibly tough. Very disappointing. The spicy cheese (tirokafteri) spread had been kept in the fridge so long that it needed to be cut with a knife. Very disappointing. Pork chop was tough and oily. Very disappointing. The service was very good though! However, I will not visit again if the sound situation is not solved. It is impossible to have a conversation because of the noise. The decor leaves a lot to be desired too... A lot of tables and chairs thrown hickeldy-pickeldy in a large plain space.",Pantopoleio Kali Orexi,,,"{'neg': 0.188, 'neu': 0.766, 'pos': 0.046, 'compound': -0.9359}",-0.9359,neg
30,20,"The food was good however it took too long,it was unacceptable as it came after an hour and a half and there wasn’t even that much people .",Pantopoleio Kali Orexi,,,"{'neg': 0.1, 'neu': 0.803, 'pos': 0.097, 'compound': -0.0258}",-0.0258,neg
31,40,"I went there twice in a period of 3 weeks. The first time I would give it a 5 but the second time a 3.5. Service is very good and there are some top dishes: graviera fakelomeni (cheese in a pastry with honey and sesame seeds) and the aubergine salad. But the steak and pork chop were average....overall though, a very good place.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.8952}",0.8952,pos
32,50,Great food and deserts. Traditional dishes but with gourmet touches. Excellent Polite service! try the dish of the day,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.8356}",0.8356,pos
33,50,"Pantopolio is a very nice restaurant which I use very often both for business lunches and at night with friends. Very tasty food at reasonable prices , very good value !",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.9073}",0.9073,pos
34,50,"Best restaurant in Nicosia. Great food, Contemporary Greek cuisine, always with an interesting twist. A delight to eat there, always busy, must reserve for both lunch and dinner.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.9423}",0.9423,pos
35,50,"Exceptional service, Excellent food. Everything was fresh and just cooked. If you sit inside is a bit noisy.",Pantopoleio Kali Orexi,,,"{'neg': 0.078, 'neu': 0.645, 'pos': 0.276, 'compound': 0.6486}",0.6486,pos
36,30,"The place is quit nicely decorated. We sat outside. The starters (shared) were good, but the main dishes average. The main issue was with the attitude of the employees there, which was somewhat rude and not attentive, since we asked several times if the chicken burger we were given which did not resemble at all either a chicken or a burger (a lump of minced chicken with rice) was a chicken burger and they told us that it was a chicken burger without any further explanation or being interested in finding out how they could improve the dish/if we were happy. Not just one but all of the staff members acted dismissively, and when we tried to split the bill at the end of the meal, again gave attitude and told us it was not ""cool"" to split the bill.Overall average.",Pantopoleio Kali Orexi,,,"{'neg': 0.024, 'neu': 0.868, 'pos': 0.108, 'compound': 0.9151}",0.9151,pos
37,40,"We went there for dinner.We ordered starters ,main and deserts.I would return for the deserts which were amazing!I liked also the pseftokeftedes very much (meatballs without meat).Everybody was happy with the meal.The atmoshere was nice and the service very good and friendly.Its not a cheap restaurant .It was a nice experience!",Pantopoleio Kali Orexi,,,"{'neg': 0.051, 'neu': 0.744, 'pos': 0.206, 'compound': 0.8473}",0.8473,pos
38,50,"I visited this restaurant with work colleagues, two of whom were local to Nicosia and recommended this place. The food was magnificent, fresh and very good quality, varied, and very good value (to my eyes, being used to Nordic prices). The restaurant was very loud though (as it is a popular place to go, evidently), so if you are looking for a quiet evening, keep this in mind.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.9575}",0.9575,pos
39,40,"Good service, nice wine, food wise, quality ingredients , the bread was a bit dry, the asparagus with scrambled egg a bit wet and not seasoned. The tiny portion of mushrooms okayish. Three Black Angus steaks and a pork chop excellent.The potato dish was lacking any flavour.Overall nothing special about this place.",Pantopoleio Kali Orexi,,,"{'neg': 0.041, 'neu': 0.799, 'pos': 0.16, 'compound': 0.7609}",0.7609,pos
40,40,The food and service are excellent. Desserts are really special. A wonderful place to go with friends and family but not a place to go for a quiet dinner and lunch. It gets noisy.,Pantopoleio Kali Orexi,,,"{'neg': 0.056, 'neu': 0.704, 'pos': 0.241, 'compound': 0.7037}",0.7037,pos
41,40,"The only deterrent of this restaurant was the noise outside. Apart from that ,the local specialities were truly exquisite, the service outstanding and deserts very good. What I liked about the menu was it wasn’t over saturated with a million different things to choose from. A limited selection but very good.",Pantopoleio Kali Orexi,,,"{'neg': 0.026, 'neu': 0.746, 'pos': 0.228, 'compound': 0.8864}",0.8864,pos
42,50,Great and quality food made with fresh ingredients! Also has food of the day which is also very tasty! Service is really polite!! Highly recommended.,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.689, 'pos': 0.311, 'compound': 0.8728}",0.8728,pos
43,40,"Went there with a group of friends for lunch on a Saturday. We ordered a salad and 2 starters and a few main dishes. We got a couple of steaks (ribeye) at €25 each, a couple of calamari on rice with spinach, and a couple of macaroni/pasta dishes. Had a bottle of wine and water to accompany. Food was good, above average but not exceptional. The cost was on the high side, coming to about €175, ie more than €23+ per person for ok dishes. Service was slightly slow, but the place was packed, so that was partly justified. A decent place, but definitely on the expensive side.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.9093}",0.9093,pos
44,50,"This restaurant is a favorite with the locals for tasty, native food and value. The menue is limited to some specialities, service is extraordinary kind.",Pantopoleio Kali Orexi,,,"{'neg': 0.062, 'neu': 0.651, 'pos': 0.287, 'compound': 0.7845}",0.7845,pos
45,50,"This is a great restaurant in the business district and just out of the tourist and shopping areas of town.I had lunch here with some business colleagues. The lunchtime clientele are mainly local businessmen.Food choices are excellent, they have everything from a simple moussaka to steaks and fish. I had a halloumi starter in apricot which was delicious, followed by the best moussaka I have had in Cyprus.Highly recommended and worth going out of your way to eat here if you are in Nicosia.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.9607}",0.9607,pos
46,50,Excellent food Service could be slow when on peak Excellent staff Fantastic environment Great cuisine and special dishes. The elite of Nicosia is eating here too.,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.9571}",0.9571,pos
47,40,"I've visited for the first time the restaurant during the Christmas holidays. All the starters we had were very good. Unfortunately I had a pork chop that it was covered with fresh cream in order to look gourmet, although it was nothing more than just a very good piece of meat that could be perfect if cooked in a simpler way. Very greasy because of the cream which added nothing to the dish.Not all the times a piece of meet if dunked in cream becomes gourmet",Pantopoleio Kali Orexi,,,"{'neg': 0.029, 'neu': 0.809, 'pos': 0.162, 'compound': 0.9063}",0.9063,pos
48,50,"I went to Pantopoleio with my family during the Christmas holidays and I am pretty sure that it was one of the best restaurants I've been. First of all, the atmosphere is so relaxing, warm and friendly. Looking at the place from outside, it seemed like a small place, but once we got inside and people started to arrive afterwards, it was amazing how this place was so comfortable, maybe it was the arrangement of the tables. Secondly, the service was excellent, very friendly and willing to help straight away. Most importantly, the food was delicious. We had some starters first, they were simply amazing. Then for our main dishes we got the ""dish of the day"" and it was actually jaw dropping, amazing. I never imagined it could be that good. Once we finished we were full but there was nothing left in the plates. It was an amazing experience and we had a great time there, so i would definetly recommend it to anyone. It suits anyone going with friends, family or even for business. Prices are also very good for what this restaurant offers. 5 stars for sure.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.9983}",0.9983,pos
49,50,"Very good greek cuisine, very popular restaurant. Food quality is always very good, as well as service",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.523, 'pos': 0.477, 'compound': 0.8966}",0.8966,pos
50,50,Fantastic food. Great service from our waiter Andreas. Amazing deserts chocolate creme Brûlée. Relaxed atmosphere. Sat outside with heaters which was very comfortable. Will for sure become a regular..,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.9665}",0.9665,pos
51,50,One of the greatest place I ever been there before. Very tasty food and excellent service. Nicosia is perfect.,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.9118}",0.9118,pos
52,50,"We have visited the restaurant after a little research on Internet. The place is very well decorated and the service quick and very helpful.The plates are very delicious, we order chicken with feta cheese and squid with rice.The prices are not cheap but for the place and the food I believe it is fair.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.7305}",0.7305,pos
53,50,My friend in Nicosia brought us here for dinner. Excellent meal in this busy and beautiful restaurant - we were lucky to get a table and the food and service did not disappoint. We had a variety of dishes and they were all good. Lamb chops and pork etc. Daily specials and delicious Cypriot food - recommended.,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.9728}",0.9728,pos
54,50,"Went yesterday for lunch with my parents and daughter. The whole experience did not start very well since we did not made a reservation and the waiter decided to explain to me that they had 120 bookings for lunch -which I couldn't care less- and that it would be difficult to accommodate us. In any case they did find a table for us and the waitress (black curly hair) was extremely good which turned the whole experience to positive. The food was ok, the prices reasonable and the portions quite generous.",Pantopoleio Kali Orexi,,,"{'neg': 0.071, 'neu': 0.804, 'pos': 0.125, 'compound': 0.7526}",0.7526,pos
55,40,"One of the best choices for lunch or dinner in Nicosia center, Pantopoleio offers simple Greek cuisine, in a beautiful casual environment. Both pork chop with commandaria sauce and ribeye steak were tender and delicious. Rocket salad with fennel was interesting and starters were all good. Service was friendly and fast.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.9698}",0.9698,pos
56,50,Simple decorated restaurant Located in Nicosia. One page menu with several different daily platters. The food was tasty and the service was quick and correct. The waiter was pleasant and helpful. I recommend.,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.8225}",0.8225,pos
57,50,"Went with 2 old friends for dinner, service was excellent , waiters go beyond norm to explain suggest and help with selections and are very quick to respond. Food is excellent and very different from your standard greek food, nice gourmet twists. All in all a lovely evening.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.9628}",0.9628,pos
58,40,"A group of five of us had dinner last night. We all chose different meals, from fish, stuffed kalamari, pork chops, meatballs in yogurt sauce and steak. We also ordered a delicious Greek salad, mushrooms cooked in Cumandaria wine and greens.We all liked the taste of our food with the exception of the meatballs with the yogurt sauce, the person who ordered it was not quite impressed. Everything else was absolutely delicious.The service was outstanding, very professional, but friendly at the same time.The atmosphere was very pleasant, but a bit noisy, but of course the place outside was packed. You better make reservations ahead of time.I would go back happily.",Pantopoleio Kali Orexi,,,"{'neg': 0.031, 'neu': 0.772, 'pos': 0.197, 'compound': 0.9724}",0.9724,pos
59,40,"Congratulations to the owner/manager as they have managed to find a great balance in this casual yet cool restaurant. The menu is split between new flavours with interesting twists and more traditional food as well. The waiters although casually dressed in Jeans strike the perfect balance between friendly and professional. In particular, the young waitress who served us was excellent.There are a lot of specials of the day, almost as many as the actual menu. The décor is nice with white being the primary look. It attracts both celebrities and “ordinary” people.Everything we had was tasty and the masticha liquer at the end was a nice touch as well as changing of beer glasses to get cold ones after first few beers! Menu was reasonably priced and all staff were polite and made you feel welcome.All and all defiantly worth a visit. Booking is essential. We went on Thursday night and was full. Its open for lunch as well but it’s more of a rush and a business feel to it.",Pantopoleio Kali Orexi,,,"{'neg': 0.007, 'neu': 0.837, 'pos': 0.156, 'compound': 0.9558}",0.9558,pos
60,30,"Nothing special in any of our visits. Average food, limited choices, more sweets on the menu than food, good service. Does not match the ... reputation it has got.",Pantopoleio Kali Orexi,,,"{'neg': 0.117, 'neu': 0.703, 'pos': 0.18, 'compound': 0.4998}",0.4998,pos
61,50,Here you can find rather an unusual menu compared to other Cypriot Restaurants there is often new dishes to be tried the place is very popular and it is recommended to book the Service is good and the prices moderate i will personally like to define the place as a charming Bistro,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.92}",0.92,pos
62,50,"Situated in the centre of Nicosia, with a beautiful outside area. Even though there is not a very wide variety of dishes, everything we tried was very tasty and well presented. Excellent service, extremely polite. A parking area is available next to the restaurant. Good value for money. Make sure you make a reservation before going because it is usually full!",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.9506}",0.9506,pos
63,50,"I was take to this restaurant for lunch by a business colleague on the 1st of June while in Nicosia for 1 night. It was superb, good food , excellent service and very nice atmosphere . We sat inside because it was rather hot however within 30 minutes the whole place was buzzing it was full inside and outside. The gentleman who's managing the restaurant was always around chatting with his guests and making sure they were happy. I must admit Cypriots are switched on when it comes to service. Overall I enjoyed this restaurant very much and will certainly visit again on my next trip.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.9783}",0.9783,pos
64,50,"This Greek restaurant is suitable for family, business, couples and solo if one wishes. Excellent quality Greek dishes with a twist that takes them to the next level. The service is of very high standards and the owner is close to the customers. A must visit!",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.68}",0.68,pos
65,50,"The food was delicious, nice salads and tender meat. There are also vegetarian options. Friendly service, buzzing atmosphere, hip retro-modern decor. Recommended!",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.8955}",0.8955,pos
66,40,"After a few visits, I would summarize this place as a convenient spot at the outskirts of town center, a variety of daily specials to supplement the standard menu, excellent and helpful service, very organized staff, very good portions, various rich tastes (even the daily menu has a variety of dishes) and prices in the upper normal range; all together make an undoubtedly successful culinary experience.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.9524}",0.9524,pos
67,30,"I had read here about this place and we tried 3 times to visit it as a couple. It was really imposible! They just never make a reservation for two!I've tried it three times,i even called three days ago and they told me that there was nothing available(on Wednesday evening)!Of course both times we were 5 or 6 we did not have a broblem finding a free table a few hours ago! Anyways, both times the food and the service was good,but nothing memorable. Last time we were 5 people,we got 4 plates(not the ""special ones"", chicken,meatballs,etc),1 salad, 3 starters and 2 (very disappointing) desserts,we drank 2 bottles of a common cypriot white wine and we paid..28 Euros per person! Oh,yes! Not a gourmet,not a tavern,the place is something in between. It is very expensive,with no character. There are definetely many different better choices if you want to go out in Nicosia! Especially if you are willing to spend 55 euro as a couple!",Pantopoleio Kali Orexi,,,"{'neg': 0.016, 'neu': 0.911, 'pos': 0.073, 'compound': 0.8355}",0.8355,pos
68,50,I was invited from two businessmen to that restaurant I was surprised from the quality of food and the friendly way of the staffDecoration of it is very simple and it gives more impression. Its quality is not from the furniture or decoration but from the taste of same food you may try it hundreds time beforeI recommend if you are in Nicosia it is nice to try. Also it is not expensive,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.8778}",0.8778,pos
69,50,"An excellent find on a walkabout in central Nicosia.The food was excellent, we had: crushed feta and meatballs to start; and pork belly and chicken skewers for main course.Nothing seemed to be too much trouble for the customer centric staff.It was easy to see why this restaurant was packed, whilst others a stones throw away were sitting empty on a Friday lunch sitting.",Pantopoleio Kali Orexi,,,"{'neg': 0.102, 'neu': 0.754, 'pos': 0.144, 'compound': 0.6124}",0.6124,pos
70,50,One of the Best tavern in Cyprus i ve ever visited! This is very cozy Greek Modern Tavern with big variety of great delicious dishes and fantastic service! Must Visit!,Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.955}",0.955,pos
71,40,"Nice and beautifull place. Staff is helpfull and polite. The food is expensive comparing with other places, but you can find some ""big fish"" visiting this place. For three adults and one kid payed nearly hundered euro, without filling the stomack up to end, as usually happens at other taverns.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.963, 'pos': 0.037, 'compound': 0.2263}",0.2263,pos
72,50,"Pantopoleio always has daily specials, which finish early as they are very good. But the a la carte menu is excellent as well, with classical dishes alongside a few with interesting twists. Everything is fresh and home made, and you can find meat dishes as well as vegetarian options (we go there often with my vegetarian sister in law). The restaurant itself is very welcoming indoors, and it has a great terrace when the weather is nice. They bring a small glass of masticha drink at the end, always a welcome digestive! A place we always come back to!",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.9813}",0.9813,pos
73,50,"Amazing greek dishes, top service and genuine friendliness, I can't wait to revisit!!! And don't forge to order the lemon creme for dessert",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.8582}",0.8582,pos
74,50,I am a very choosy person but the food of this restaurant was above my expectations! Very selective dishes for very demanding customers and I can't hide that I am one of them. Prices are average but I believe you pay what you get!,Pantopoleio Kali Orexi,,,"{'neg': 0.116, 'neu': 0.842, 'pos': 0.042, 'compound': -0.4933}",-0.4933,neg
75,40,"Quick service, nice food. Really enjoyed one of the 'dishes of the day'! Although the restaurant was full the service was very good. Highly recommend.",Pantopoleio Kali Orexi,,,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.9175}",0.9175,pos
