,r_points,r_text,place,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,scores,compound,score
583,10,"I was fortunate I didn't book this hotel myself (so, I didn't have to pay for my stay); I was brought here by a company that booked/paid it for me.It's the worst experience I've ever had. I should have known better, when I called to confirm my stay and spoke to the Hotel Director. She had a bit of a difficulty to find the name of the booking, but ended up laughing at my worries of whether the booking was valid or not.Nevertheless, I didn't pay much attention. I came yesterday and when I went up to the room, I found a room filthy at all levels (pictures uploaded for all below observations):1) the floors were sticky,2) there was dust everywhere on the furniture,3) the TV cable was hanging from the wall (its not only a matter of aesthetics, believe me!),5) there was rust on various spots on the W.C.,6) the toilet's flush was kind of broken,7) the ceiling was broken - missing a spot that you could not only see the cables on top of it but also listen to the next room's tenant!8) thd sheet had cigarette burns!9) BUT worst of all, the toilet and the towels were dirty, with yellow spots underneath the washes the towel has undergone... and I know this because such towels I dont even use at home for mopping the floor or as a toilet mat!!! They were torn, overwashed and overused and dirty....9) As if all above wasn't enough, I called the reception to provide me with new ones. After 20 minutes a woman came with 2 bath towels saying that they dont have any facial towels and asked me to give her back all of which I had. When I didnt give her back my bath towel, but only the facial ones, she said: ""Oh ok, then I'll give u just one, you don't need 2!"".I was practically ready to scream at her about this and all the other stuff, but I tried to think calmly understanding that there was no point. The premises do not reflect to Cyprus hospitality nor to 2016's hotel standards.If I was a Hygiene Inspector I would have locked the placed down immediately. I really do not understand why booking has rated it with 6.9!!!",Castelli Hotel,Review 45 Similarity,0.44832193299999995,,,"{'neg': 0.092, 'neu': 0.851, 'pos': 0.057, 'compound': -0.948}",-0.948,neg
592,20,"Just back from 2 days in Nicosia/Lefkosia in Cyprus. Chose Castelli hotel because it was within walking distance to Ledra, the street wth all the shops and restaurants and ultimately meets the border to the Turkish side of Cyprus. Location was very good, 10 min walk away, area very active and safe. Free parking outside hotel.Staff at hotel were pleasant and helpful but our room was awful. It hadn't been vacuumed properly, found a clump of black hair on the carpet, we're both gray- so obviously not vacuumed well. Tub in bathroom had mould near faucet and around the edge of the glass door in tub - unacceptable when mould on glass can be dealt with so easily. Mound in grout on shower tiles as well! Every time I went into the bathroom I started to sneeze.Room is very tight, hard to get around bed, maybe 16"" between bed and wall. Weird floor. Felt like someone dug/drilled a 6"" groove down the middle to put in pipes or wires and never leveled the groove with the rest of the room, just covered it all with carpet. Thus walking on it was off kilter and felt odd. Same in section near elevator- all this on the 3rd floor.Breakfast buffet was good, but based on our room and state of flooring and bathroom, I would not stay here again nor would I recommend it to anyone else. Two star rating is for location and staff only.",Castelli Hotel,Review 39 Similarity,0.40001280100000003,,,"{'neg': 0.092, 'neu': 0.817, 'pos': 0.09, 'compound': -0.135}",-0.135,neg
593,10,"Hotel was fully booked so they put me in a normal room instead of the Executive that I booked, without offering a refund or additional service in return. Still in the Executive the bathroom was very old, dirty and very small. An experience that will not be repeated.",Castelli Hotel,Review 22 Similarity,0.39757328399999997,,,"{'neg': 0.067, 'neu': 0.933, 'pos': 0.0, 'compound': -0.4902}",-0.4902,neg
598,30,"Basic hotel in a central location. Small room, dirty floor, water dripping from the ceiling. Basic breakfast, without variety. Receptionist ok but nothing special. The price is quite high considering the whole service received.",Castelli Hotel,Review 3 Similarity,0.362933093,,,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.6464}",-0.6464,neg
603,10,"Booking lost. Room not ready. Booked king bed, given two singles after complaining given a double room which was small dirty ( bedding, carpet, curtains and walls). Walked out after 20 minutes keys to front desk who did not bling an eye. This seems to normal with this hotel.",Castelli Hotel,Review 42 Similarity,0.336010753,,,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.797}",-0.797,neg
604,10,I stayed in this hotel if u can call it that in September.After seeing the website I saw it looked very nice.But staying there I walked in to the Moody receptionist who was annoyed as his shift change was late.The new receptionist was plesent. I went to my room and the carpet was old dirty and tatty the bathroom was full of mould and the sink had a yellow stain on it. There was a long hair in the bath and the as u can see from pictures the shampoo holders were rusted. I went to complain at reception where I met a prostitute booking a room for two hours for the next night!!!! I told the reception about the room and she said that all hotels are like this. As i have worked in the 5star hotel industry for many years i told her she was mad and she said she would change my room if she could no supprise never happened.Conclusion never will I stay here again and will not recommend to anyone pay the extra and stay somewhere else. Also no balcony cracked doors and dirty towels. Rant over,Castelli Hotel,Review 50 Similarity,0.331618266,,,"{'neg': 0.144, 'neu': 0.843, 'pos': 0.013, 'compound': -0.9705}",-0.9705,neg
605,30,"I hate to complain about this place because their staff indeed was really nice people and even I have a worry about leaving the hotel to go to another hotel after the very first night (of 3 nights booking). But it is what it is... I was not happy about the very first experience I got once I entered the room. It was not in the quality that they display on booking dot com website. It was not tidy, the bed had wrinkles, towels were old and brownish with stains, the washrooms had not been cleaned properly. Even the heater was not working. So I contacted the reception and by the midnight they offered me another room since it was too cold without the heater. I had to walk down and get the new key and transfer all of my stuff to the new room. It was a bigger one with a working heater... but again the cleanliness was the same! I think that was pretty normal to them, maybe because it was kind of a place where you get what you pay for. My company travel agent had booked this place maybe because it was cheap. But it isn't a good environment for a business visit especially when you have lot more stuff to focus! They didn't have irons, so I was asked to send my cloth to some external laundry, but I didn't have that much time left. I wouldn't say that this a bad place... because they have a good staff. I only would say that this is not a place where you should go when you have many other things to focus on because you might waste a significant amount of time resolving other issues such as no iron, dirty towels, no heater and no bed duvet etc. I didn't rate this place as 'poor' or 'terrible' because they have such a nice staff. I would suggest the hotel management to even that it would be fine to increase the price if they could increase the quality and cleanliness! Because they have a pretty good location and infrastructure which definitely require some renovation (doors etc) and good interior detailing and attention to detail (to make it a cleaner place). With some little more attention they can go for a higher rating for sure!",Castelli Hotel,Review 40 Similarity,0.30838357,,,"{'neg': 0.109, 'neu': 0.802, 'pos': 0.09, 'compound': -0.7817}",-0.7817,neg
606,40,"The hotel is located within walking distance from the Old Town. It is good standard. How ever my room was rather strange, wih a small roofed patio, obstructing the sun and thus limiting day light access (there was no other window). The same with conference room which didn't have daylight access.Breakfast is ok, nothing special.",Castelli Hotel,Review 49 Similarity,0.306335832,,,"{'neg': 0.104, 'neu': 0.812, 'pos': 0.084, 'compound': -0.0408}",-0.0408,neg
615,20,The location is perfect. Close to everything. Reception rude. Rooms dusty. Bathrooms old. Definitely needs restoration. Just an old hotel from the early 90s and NOT in a fair price for just that. Forget your business meetings. There is no room for that and the lobby is small.,Castelli Hotel,Review 76 Similarity,0.254000254,,,"{'neg': 0.16, 'neu': 0.707, 'pos': 0.133, 'compound': -0.1436}",-0.1436,neg
616,30,"A reasonable place to stay, but no more than that. The location is reasonably quiet and convenient. Internet service was both expensive and inadequate: I had to take my laptop over to the sister-hotel, the Holiday Inn down the street. Despite the warm March weather, the central air conditioning was not turned on, leaving no alternative but to open the window to cool down the room. In retrospect, I would have preferred to stay at the Holiday Inn.",Castelli Hotel,Review 113 Similarity,0.254000254,,,"{'neg': 0.125, 'neu': 0.762, 'pos': 0.113, 'compound': -0.0256}",-0.0256,neg
617,20,"I’ve stayed in this hotel for 3 nights, booked the executive room.When I came into the room I immediately noticed that it was not very clean. The fridge was empty and switched off. There was not even a single bottle of water in the room.The whole facility is very dated. Breakfast was below average. The hairdryer in my room was probably 30 years old.What I can compliment is the staff which was very friendly.Do not reccomend.",Castelli Hotel,Review 26 Similarity,0.238332214,,,"{'neg': 0.057, 'neu': 0.902, 'pos': 0.041, 'compound': -0.0451}",-0.0451,neg
624,20,"Stayed for one night during a business trip, due to lack of rooms in other hotels.The only positive thing is the location, walking distance to Lidras street and the old town.Both receptionists (night - morning) were very kind and helpful.Room needed some basic maintenance or even renovation, it certainly shows it's age. Bathroom was extremely small. Air condition was functional and adjustable.Bed mattress was very soft for my liking.The worst thing was breakfast. Probably the worst breakfast I've encountered in all my travels.. Juice and coffee were terrible, ham and cheese seemed like they were frozen, bread was from a couple of days back, there was a single slice of melon for fruit and not replenished while I was waiting and finally there were ants walking all over the bench and inside the bowl of croissants. Just terrible.",Castelli Hotel,Review 2 Similarity,0.116543309,,,"{'neg': 0.109, 'neu': 0.811, 'pos': 0.08, 'compound': -0.6712}",-0.6712,neg
627,20,"Left my bags around 10.30 am. Got back around 2.30 pm, hot and tired. Room was ready....or was it. No soap, no tea/coffee facilities, no luggage rack. Couldn't find the hair dryer. ""It's in the desk"". Great... the mirror is in the bathroom and the hair dryer is permanently built into the desk. The window is tiny and there's no view.All and all, very diappointing. On the up side, location is ok and the breakfast was good.",Castelli Hotel,Review 4 Similarity,0.103695169,,,"{'neg': 0.135, 'neu': 0.806, 'pos': 0.059, 'compound': -0.6808}",-0.6808,neg
631,10,"Been there 3 nights for a business trip, i had the bad surprise to discover my room full of dirty dishes and the bed wasn´t made. On my way to the reception to get another room, I noticed again some dirty dishes inside the hall, with a bad smell al over. i finally get a new room, but quiet small. i will never go back to this place, the staff wasn´t so friendly neither. Like most of the cypriot people who works for accomodation.",Castelli Hotel,Review 97 Similarity,0.065582584,,,"{'neg': 0.131, 'neu': 0.787, 'pos': 0.082, 'compound': -0.3041}",-0.3041,neg
632,40,i stay there for about one week the rooms was very clean the room service is good.but the breakfast was not good and not fit for Arabs.But i think according to the cost of the stay there it's very good.,Castelli Hotel,Review 41 Similarity,0.06160411,,,"{'neg': 0.158, 'neu': 0.774, 'pos': 0.068, 'compound': -0.4458}",-0.4458,neg
635,30,"- Rooms appointed okay- Some stains in carpet- Internet broken, would usually cost 12.50 euros/day- Clanking noise (elevator?) can be heard at all hours, could bother light sleepers- Convenient location close to pedestrian zone- Service a bit surly",Castelli Hotel,Review 111 Similarity,0.056796183,,,"{'neg': 0.136, 'neu': 0.817, 'pos': 0.047, 'compound': -0.5574}",-0.5574,neg
636,20,"Rooms really need some refurbishment, furniture is way old.Our room smelled of cold cigarette smoked.Elevator almost collapsed, very scary.Breakfast was on a low standard.I would say it's not worth more then EUR 45 a night.",Castelli Hotel,Review 14 Similarity,0.051847585,,,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.5534}",-0.5534,neg
637,10,"When you see a message from the management in the elevator like the one attached, you know it’s not looking promising.Guess what, the reviews online are accurate and if some visitors left in an “emotional state” it’s no surprise why. Just a few hints for the management so they can deal with the issues rather than blaming their customers for the bad reviews:* Had to wait 10 minutes at check-in for the receptionist to finish a phone call. Afterwards she told me she was on the phone talking to her manager. Clearly she and her manager have their priorities straight (i.e. not the customer)* Room is in desperate need for refurbishment. Wood panelling on ceiling about to fall down, mattress is bumpy, walls and furniture have stains on them* Staff is not empowered to take any decisions or help customers. If you have a problem you are referred to “the manager” who is never on site* There was a colony of little brown ants having a party overnight in my bathroom and they were all over my toiletries* there is a mini bar in the room. It’s empty* breakfast was very basic and not tasty at all",Castelli Hotel,Review 12 Similarity,0.044901326,,,"{'neg': 0.067, 'neu': 0.863, 'pos': 0.07, 'compound': -0.0772}",-0.0772,neg
641,30,"Room was shoebox size, bathroom even smaller but newley furbished. Mini bar empty and fridge not connected. View on inner courtyard with noisy airco units. Lots of hair on the carpet on the first day, cleaned up the second day. Breakfast was acceptable but nothing fancy and breakfastroom was like a hospital cafetaria.Bar closed. Busstation nearby but bus service is very poor. No pool or outside seating.All in all a bit of a dungeon and overpriced comparing to nearby hotels. Will never go there again !",Castelli Hotel,Review 100 Similarity,0.0,,,"{'neg': 0.131, 'neu': 0.804, 'pos': 0.066, 'compound': -0.731}",-0.731,neg
642,10,Staff were unfriendly and in many cases just rude. Everything seemed to be just too much trouble. The food in the meantime was pretty ordinary. Finally the gym - surely a major selling point for business travellers - only opens after 1pm. Perhaps matters improve on the summer months. I doubt it!,Cleopatra Hotel,Review 2 Similarity,0.077151675,Review 199 Similarity,1.0,"{'neg': 0.18, 'neu': 0.655, 'pos': 0.165, 'compound': -0.2244}",-0.2244,neg
644,20,I booked to stay here for a weekend in Nicosia but was so disappointed with the standard of this hotel I left. The original room smelt of smoke and damp. The alternative offered was just smelling of damp. They staff were apologetic enough but no amount of helpful staff can make up for poor rooms. Although I had paid upfront there was no refund offered. Not worth the rating in my opinion.,Cleopatra Hotel,Review 79 Similarity,0.246182982,Review 162 Similarity,0.45584230600000003,"{'neg': 0.203, 'neu': 0.719, 'pos': 0.078, 'compound': -0.8906}",-0.8906,neg
651,30,"It is stated that is a 4-star-hotel, but this is pretty far away from that. All the elevators, corridors and rooms are quit old-fashioned and, in my opinion, one star should be taken away.Though the staff was really friendly and helpful (I had some of the problems and questions to solve), but this is not enough. Also, I was staying in a double room and when I asked for an extra set of towels (only one set was given), so in spite of changing all of the towels, the housekeeper just put one set extra. I expected more than that.The window was partially broken. It didn't close properly, so the noise from the street was heard quite loud in the room and it was quite cold (due to cold weather at nights).The breakfast was eatable and was a choice, but poor one.",Cleopatra Hotel,Review 85 Similarity,0.39629696200000003,Review 51 Similarity,0.314485451,"{'neg': 0.106, 'neu': 0.811, 'pos': 0.083, 'compound': -0.5765}",-0.5765,neg
654,30,"They dont have warm water in the bathroom. Just ridiculous! The internet stopped working after first day. The pool is nice, but no bathrobes, no slippers, no toothbrush...The location is very good and prices acceptable.",Cleopatra Hotel,Review 135 Similarity,0.41666666700000005,Review 38 Similarity,0.3086067,"{'neg': 0.273, 'neu': 0.538, 'pos': 0.189, 'compound': -0.2699}",-0.2699,neg
667,10,This room is terrible and me and my family hate it we wanted to go to a new hotel because it's very very terrible the beds are dirty and the bathroom don't even ask the room is verry small and dirty it doesn't havw tv wi-fi is bad.But if you are just for one day and it's fine for you than okSorry if you want more pictures search the web.,Cleopatra Hotel,Review 114 Similarity,0.360843918,Review 84 Similarity,0.267261242,"{'neg': 0.194, 'neu': 0.767, 'pos': 0.038, 'compound': -0.9274}",-0.9274,neg
683,30,"I was booked into the apartments , this involved a row between hotel staff and taxi driver as it is some distance away from the hotel . the apartment was a 1 bed flat , generous size but by no description can it be called luxury . no tea or coffee in the room. VERY limited tv stations .best take your own shampoo & sower gel as they make the 2 tiny bottles last 3 days ( at £90 a night ,I would think they could stretch to replacing them. towels are thin cheap like the chairs.I found 1 of the bar staff rude",Cleopatra Hotel,Review 151 Similarity,0.294627825,Review 134 Similarity,0.21821789,"{'neg': 0.125, 'neu': 0.771, 'pos': 0.104, 'compound': -0.3158}",-0.3158,neg
705,20,"The hotel is manageable. It's an ok place to stay for a short time. It is a bit outdated - the carpets need replaced, the walls need painted, the beds and pillows are not great, etc. A few other areas they could address: there are no plugs near the bed (at least in my room) and only one electrical plug in the whole room that is available for use. The shower is oddly designed so you have to press yourself up against the wall almost to use it. They provided only one towel - no washcloth, no hand towel, no floor towel. The heat also didn't work well, so it was pretty cold. But these are relatively minor complaints - it was fine if you just need a night or two to crash. Also, the breakfast was good - really good for a hotel breakfast actually.",Cleopatra Hotel,Review 74 Similarity,0.34050261200000004,Review 92 Similarity,0.157622081,"{'neg': 0.122, 'neu': 0.775, 'pos': 0.104, 'compound': -0.213}",-0.213,neg
720,30,"Booked a family room for 2 Adults and 2 children. The room was fairly small.When we arrived for check in, no one helped in carrying the luggage.Our booking was not showing and we had to wait for some time until it was sorted out.Again I was left alone to carry the luggage ( four bags) to the room and the workers saw me struggling.The AC are occasionally turned on in the corridors during a really hot August.Our booking was for 3 nights we could not stay for more than one night in this hotel. They have also refused to refund any amount for my cancellation.Advantages:1- The location2- The swimming pool.3- The food ordered at the pool was good.4- Friendly service staff who was working for the pool and the same guy was covering the breakfast . Can't recall his name.In my evaluation the hotel is fairly a 3 star property",Cleopatra Hotel,Review 56 Similarity,0.461934885,Review 22 Similarity,0.131590339,"{'neg': 0.044, 'neu': 0.934, 'pos': 0.022, 'compound': -0.296}",-0.296,neg
726,20,"This hotel is quite central to city but has been allowed to deteriorate.The rooms are adequate but the executive room is a standard room. The staff are unhelpful, almost impatient that you require a service. It does not deserve 4 stars, 3 at the very most. A very disappointing experience.",Cleopatra Hotel,Review 222 Similarity,0.340206909,Review 99 Similarity,0.12598815800000002,"{'neg': 0.151, 'neu': 0.804, 'pos': 0.045, 'compound': -0.7624}",-0.7624,neg
728,30,"Centrally located hotel very close to the centre. good breakfast and helpful staff. unfortunately the hotel rooms are crying for a refurbishment especially the bathrooms . bath did not hold water as it had no tap, same for the Sink.",Cleopatra Hotel,Review 112 Similarity,0.272165527,Review 148 Similarity,0.12598815800000002,"{'neg': 0.166, 'neu': 0.711, 'pos': 0.123, 'compound': -0.25}",-0.25,neg
