,r_points,r_text,place,Unnamed: 3,Unnamed: 4,scores,compound,score
155,30,more than one hour service vejry bad and not professional not qualified staff for the French restaurant they did not bring you ice packet for white wine only after we ask for .,Brasserie Au Bon Plaisir,Review 20 Similarity,0.321287732,"{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg
158,20,"First visit the food was very good (don't try the crab, it's ridiculously expensive and not even close to fresh crab though).Two weeks later, the food was a DISASTER. Duck was pre-cooked and re-heated. Cheese platters were poorly presented, quantity was more suited to toddlers, and very overpriced.Perhaps the only two things you can't go wrong there are the creme-brulee cooked right in front of you, and the onion/crouton soup. The rest are randomly good or phenomenally bad.Whatever you do, don't go on a Saturday, the food is plain bad.",Brasserie Au Bon Plaisir,Review 194 Similarity,0.321287732,"{'neg': 0.104, 'neu': 0.787, 'pos': 0.109, 'compound': -0.1263}",-0.1263,neg
163,10,"Not a very great experience. Food was average and it was expensive. There was a singer there, singing the same songs over and over",Brasserie Au Bon Plaisir,Review 31 Similarity,0.311085508,"{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.544}",-0.544,neg
196,30,"The atmosphere is nice. The service is poor - the waitress confused the different recipes of muscles we ordered and we ended up eating the food of each other. We tried four different muscles recipes, one was smelling bad, two were average and one was good.",Brasserie Au Bon Plaisir,Review 67 Similarity,0.24096579899999998,"{'neg': 0.163, 'neu': 0.733, 'pos': 0.104, 'compound': -0.4939}",-0.4939,neg
202,20,"We went to the restaurant with my husband having great expectations and left with a bitter taste. We order the four-cheese quiss as a first to share. It was warmed in the microwave and as a result too oily and strange. I order the trout with almonds. It was terribly presented in a lake of a watery sauce. The sauce was actually good but the fish had not any special taste. My husband citrus mussels were better than my fish. However, the bet dish of the night were the French fries. I do not know if it was the dishes we chose but I was not happy at all.υ δεν μας άρεσε το φαγητό στο εστιατορείο",Brasserie Au Bon Plaisir,Review 14 Similarity,0.219970673,"{'neg': 0.102, 'neu': 0.803, 'pos': 0.094, 'compound': -0.2462}",-0.2462,neg
206,10,"terrible food, good service, overpriced. To cocnlude... never again! Maybe this the reason we were only two tables friday night ..",Brasserie Au Bon Plaisir,Review 27 Similarity,0.20739033899999998,"{'neg': 0.134, 'neu': 0.751, 'pos': 0.115, 'compound': -0.126}",-0.126,neg
214,10,"I suppose that you shouldn't believe all you read...all the good reviewes. I was looking forward to eating here being a 'Francofile' & missing all the lovely foods I eat in France. However, I do not like reheated food & my mussels had not been cooked fresh & were from the lunchtime with a sauce put over. I have had a restaurant & am well aware of waste in the industry but I would NEVER have served this to my customers. My husbands fillet steak was cut with the grain & not across & was not the right shape & tough, in our opinion not fillet (my father in law is a master butcher). No atmosphere & over 100 euros for a two course meal with wine. NOT RECOMMENDED & such a disappointment. NIL POINTS.",Brasserie Au Bon Plaisir,Review 57 Similarity,0.179605302,"{'neg': 0.129, 'neu': 0.798, 'pos': 0.074, 'compound': -0.6104}",-0.6104,neg
222,50,"Wholeheartedly recommended, good pricing for the portions served as well! We ordered the sirloin steak, the beef bourguignon, the soleil red wine, as well as the lettuce, bacon and goat’s cheese salad, plus dessert and coffee. I have nothing but great things to say, and we are planning on revisiting soon.Give it a try:)",Brasserie Au Bon Plaisir,Review 3 Similarity,0.160643866,"{'neg': 0.076, 'neu': 0.808, 'pos': 0.116, 'compound': -0.3145}",-0.3145,neg
236,20,First of all the service moderate.The wine was overpriced.We had the same brand in a wine bar in nicosia for allmost the half price.The table setting was poor. No table clothes. Knives and forks on bare table.Snails modarate and not fresh. Stakes just ok. Side dishes modarate.In a general you dont pay what you get.What a pitty.,Brasserie Au Bon Plaisir,Review 22 Similarity,0.127000127,"{'neg': 0.122, 'neu': 0.82, 'pos': 0.059, 'compound': -0.5812}",-0.5812,neg
253,30,"I have been to Brasserie Au Bon Plaisir with my husband many times. I have now stopped going for one reason: Quality of service (big delay) which creates an uncomfortable feeling. Me and my husband ordered the ""all you can eat mussels"" and because of our previous experience, we told them from the beginning the number of casseroles we usually eat (2), so we would not face the previous big delay between casseroles. We were very dissappointed as we were ignored. The time interval between casseroles was so big, that by the time they next casserole arrived, we lost our apetite... This happened at each one of our 3 visits to the restaurant. Also, I rate is as a very expensive restaurant.",Brasserie Au Bon Plaisir,Review 140 Similarity,0.04637389,"{'neg': 0.091, 'neu': 0.87, 'pos': 0.039, 'compound': -0.7579}",-0.7579,neg
316,40,"Went there for the first time Thursday night as it was jazz night. As a non smoker I was extremely disappointed - they have an inside/outside area, but they are not really separated. If the arrangement is legal, then might as well allow smoking everywhere.The acoustics are not very good so one couldn't really enjoy the music. The wine list is extensive and good.I shall wait until the summer time to go back - at least by then the smokers will really be outside and we won't have to share their unhealthy habit.",Vino Cultura,Review 152 Similarity,0.384900179,"{'neg': 0.157, 'neu': 0.778, 'pos': 0.065, 'compound': -0.8905}",-0.8905,neg
342,10,"Was very disappointed with the service and quality of food served... Went as a romantic evening, ordered tapas and we had to remind the waiter two times to be served a piece of meat and bread after two hours ! We asked for dry wine and were served semi-sweet, and forced to leave when new customers came in. Will never go back again",Vino Cultura,Review 114 Similarity,0.333333333,"{'neg': 0.118, 'neu': 0.841, 'pos': 0.041, 'compound': -0.6352}",-0.6352,neg
395,10,"I can write many many good things about this place. Food is great, service is great, wines are awesome. A bit pricey but worth the experience.But they need to do something with the way they treat the smoking regulations. The whole place stinks from smoking. Smoking is allowed everywhere apart from the bar and the 2 tables next to the entrance. Still the bar and the two tables are in direct communication with the rest of the place where smoking is allowed. Went there with my pregnant wife but could stay long due to the stink. It's a shame for such a quality place to lower its standards so much with the way they are treating this matter.Not recommended if you can't stand smoking. Our hair stinks, our clothes the same and we had to leave earlier.",Vino Cultura,Review 172 Similarity,0.188982237,"{'neg': 0.109, 'neu': 0.775, 'pos': 0.115, 'compound': -0.0258}",-0.0258,neg
424,10,"Terrible restaurant, they had almost all table empty at 9:30 at night and they put us sit in the bar saying that all were reserved. The personnel was not helpful and did not wanted to serve us. Also no parking place.I do not recommend this to anyone,",Vino Cultura,Review 200 Similarity,0.0,"{'neg': 0.212, 'neu': 0.788, 'pos': 0.0, 'compound': -0.8511}",-0.8511,neg
