,r_points,r_text,place,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,scores,compound,score
24,50,"I was surprised to find this gallery in the heart of nicosia, it has been at least a year since I was here. This is what you call an unexpected discovery, one that is so hard to find in this city. The overall experience is five stars. Three collections, divided in three floors, my favourite being the french collection, in the second floor. I really wish the best for keeping up with such a precious heritage. Now some recommendations that were a bit bothering: guards are all over the place and come really close to the visitors creating a strangely annoying atmosphere. In all museums they remain discreetly present and do not come all over the place. Secondly the lady in the ground floor responsible for selling souvenirs from the gallery is totally rude. Two or three times she advised us not to touch the items, ok we got that in the first place but...hey chill out, you are not guarding thieves here...someone else is responsible I guess...anyway the staff should a bit more polite, especially in the reception area. Thanks",A G Leventis Gallery,Review 163 Similarity,0.421637021,,,"{'neg': 0.064, 'neu': 0.796, 'pos': 0.14, 'compound': 0.9325}",0.9325,pos
25,50,"Has a striking range of collections including outstanding paintings, watercolors, prints and drawings from European masters (El Greco, Monet, Renoir and may more) and works from Greek and Cypriot artists. Also a small collection of furniture and objects from the decorative arts.The building is new and the interior spaces are well designed with emphasis on functionality.",A G Leventis Gallery,Review 175 Similarity,0.421637021,,,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.7269}",0.7269,pos
26,50,"I had some friends visiting Cyprus from Heraklion ,Crete. As the wife of my dear friend Androulakis teaches art and at the same time she is a professional artistic photographer organizing very interesting exhibitions primarily in Greece The Leventis Gallery was the obvious spot to visit. We were so impressed as at that time the gallery was hosting an exhibition of two foreign artists that we could not believe that Nicosia has such a gem in the centre of the town. In short I can suggest that it is worth visiting Cyprus only for this exhibition centre to see the collections of paintings kept there. The entrance fee is five euros and for art lovers this should be a reveleation",A G Leventis Gallery,Review 62 Similarity,0.414644214,,,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.9647}",0.9647,pos
27,50,"Nicosia needed something as unique as the A.G. Leventis Gallery. Whether living in Cyprus or just visiting it is worthwhile spending some hours there.The Gallery is open every day except Tuesday 10:00-17:00 | Wednesday 10:00-22:00. It has three main galleries (greek, french and cypriot collections) but you also see fine chinese porcelain and other displays offering a rich cultural ""bath"" !There is also a very good restaurant with excellent service where one can eat or just relax with a cup of coffee. Most reasonable prices and a unique menu.http://www.leventisgallery.org/",A G Leventis Gallery,Review 184 Similarity,0.40824829,,,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.9729}",0.9729,pos
28,50,"The Leventis Gallery was a highlight of our visit to Nicosia. The Gallery's Greek, Paris and Cyprus Collections have excellent old-master paintings, modern paintings and other art works. The Gallery's notes on the artworks are well written and informative.",A G Leventis Gallery,Review 16 Similarity,0.404145188,,,"{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.802}",0.802,pos
29,50,Very impressive art gallery.The building is very nice with interesting exhibitions.The staff is helpful .Worth the visit.,A G Leventis Gallery,Review 18 Similarity,0.390360029,,,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.9239}",0.9239,pos
30,50,The Leventis Gallery is a must see for every art lover visiting Nicosia. Expect to spend 2-3 hours inside the gallery.,A G Leventis Gallery,Review 47 Similarity,0.390360029,,,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5859}",0.5859,pos
31,40,"Beautiful building and great collection, and the museum restaurant is excellent. Well worth a visit.",A G Leventis Gallery,Review 182 Similarity,0.390360029,,,"{'neg': 0.0, 'neu': 0.364, 'pos': 0.636, 'compound': 0.9403}",0.9403,pos
32,50,"It is a ""small"" museum but veeery interesting. Graphic, modern and comfortable, you can quickly and easily enjoy all its exhibits and learn about the history of Cyprus. Strongly recommended.",A G Leventis Gallery,Review 11 Similarity,0.387298335,,,"{'neg': 0.0, 'neu': 0.532, 'pos': 0.468, 'compound': 0.965}",0.965,pos
33,40,A more fresh approach to exhibiting art that what Cyprus was used to so far. A notable Gallery showing events and artists unprecedented by past exhibitions.,A G Leventis Gallery,Review 25 Similarity,0.387298335,,,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.3804}",0.3804,pos
34,50,"A rather recently built museum, beautiful painting of Cypriot and Greek artists.One of the best museums in town!",A G Leventis Gallery,Review 49 Similarity,0.387298335,,,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.8553}",0.8553,pos
35,50,It has free access to the public and includes the entire collection of the Leventis projects. Great and very interesting opens its doors to visitors to admire this the legacy,A G Leventis Gallery,Review 113 Similarity,0.387298335,,,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.9259}",0.9259,pos
36,50,Great to have a state of the arts gallery on our doorstep at last! Interesting for both locals and visitors alike. Lovely cafe and museum shop on ground floor,A G Leventis Gallery,Review 144 Similarity,0.387298335,,,"{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.8977}",0.8977,pos
37,50,"Very new museum, artefacts range from Medieval to impressionism, from France to Greece. An interesting and quiet oasis in the middle of the noisy town.",A G Leventis Gallery,Review 4 Similarity,0.36514837200000005,,,"{'neg': 0.06, 'neu': 0.78, 'pos': 0.16, 'compound': 0.4215}",0.4215,pos
38,40,Would have chosen a different gallery but it was closed on a Monday so visited this one. Interesting exhibition with Henry Moore overtones. Good for a couple of hours.,A G Leventis Gallery,Review 35 Similarity,0.36514837200000005,,,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.8126}",0.8126,pos
39,50,"A place of selective character,quality of its kind as its was the inspiration of the founder LEVENTIS.There are 3 floors and On each floor you will find its own theme of collection with unique and very valuable pieces.",A G Leventis Gallery,Review 36 Similarity,0.36514837200000005,,,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.8805}",0.8805,pos
40,50,This is a museum not to be missed while in Cyprus. Art and paintings from Cyprus and Europe. Lovely shop and restaurant as well.,A G Leventis Gallery,Review 94 Similarity,0.36514837200000005,,,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.7775}",0.7775,pos
41,50,"Excellent place with culture and very important works of art displayed!!! Centrally located, with great architecture and interior design!!!",A G Leventis Gallery,Review 107 Similarity,0.36514837200000005,,,"{'neg': 0.0, 'neu': 0.591, 'pos': 0.409, 'compound': 0.9014}",0.9014,pos
42,50,An amazing collection of paintings and artifacts presented in sucha beautiful manner you want to spend your whole day there.,A G Leventis Gallery,Review 166 Similarity,0.36514837200000005,,,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.8402}",0.8402,pos
43,40,"This museum is in old town Nicosia along the main shopping areas. It is open every day from 10am - 5pm except Tuesdays and National holidays. There is no entry fee. Levants Gallery has four floors. The top floor is dedicated mostly to an exhibit of wedding dresses, which may not interest everyone (Nicosia is a popular wedding location). The other floors have exhibits with a scattering of maps, artifacts, photos videos and other items representing the various time periods of the island's history and development. There is a small gift shop and one can either take the elevator or stairs to each floor. There is one small area with children's activities and there is an interactive video with interesting film clips and photos documenting the island's history. The Leventis Gallery would be a great place to tuck into to wait out a storm, in either really hot or really cold weather, or before/after a meal at a local restaurant.",A G Leventis Gallery,Review 60 Similarity,0.35805743700000003,,,"{'neg': 0.028, 'neu': 0.853, 'pos': 0.119, 'compound': 0.9351}",0.9351,pos
44,40,First time that I have been extremely impressed with the write up but much less so with the collection itself. Found only a few of the paintings to be outstanding work by the artists or particularly moving: the Cypriot section being a notable exception. The descriptive material was informative and easily understandable. Building itself is beautiful- but relatively small exhibit space. 5 euro ( 4 for seniors ) admission admission seemed excessive,A G Leventis Gallery,Review 3 Similarity,0.346410162,,,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.9527}",0.9527,pos
45,50,"This is a must-visit for anyone visiting Nicosia, especially since its collection of artwork in unrivaled in the capital city (and in the whole of Cyprus). A beacon of culture since it opened. The cafe/restaurant in it is also recommended",A G Leventis Gallery,Review 23 Similarity,0.346410162,,,"{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.2023}",0.2023,pos
46,40,"A must see visit for art fans that are in Nicosia. Been there several times. Has local artists, Greek and world renown painters like Monet...You will not regret it",A G Leventis Gallery,Review 70 Similarity,0.346410162,,,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.5903}",0.5903,pos
47,50,In the center of Nicosia a quiet place for art. Is anew building with modern ideas and of course very good paints and exhibition. You can visit it with groups or private at normal working hours.,A G Leventis Gallery,Review 71 Similarity,0.346410162,,,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.4927}",0.4927,pos
48,40,"This is a very pleasant place to visit. In addition to Cypriot Art, artists from Greece are also covered.In addition there is an important selection from Renaissance and occasionally special events and exhibitions are covered.You can also spent a relaxing time afterwards for coffee or o light meal.It is worth visiting and the cost is so low.",A G Leventis Gallery,Review 129 Similarity,0.346410162,,,"{'neg': 0.043, 'neu': 0.754, 'pos': 0.203, 'compound': 0.8465}",0.8465,pos
49,40,"Nice Location, A lot of great paintings, i particularly loved the cypriot artitsts collection and the huge painting of Michail Kashialos.",A G Leventis Gallery,Review 159 Similarity,0.346410162,,,"{'neg': 0.0, 'neu': 0.528, 'pos': 0.472, 'compound': 0.9245}",0.9245,pos
50,40,"I believe it is the best collection of Cypriot artists in Cyprus. Nice and easy to visit if you have 2-3 of hours to spare in Nicosia. The original Adamantios Diamantis work of art that describes in detail how Cyprus was 40-50 years ago is found in the ground floor. There is a nice cafeteria in the ground floor,",A G Leventis Gallery,Review 56 Similarity,0.34503278,,,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.9325}",0.9325,pos
51,50,"A cultural, spiritual and mouth-watering experience. The first time I visited the gallery was one of the first weeks that opened and I had a blast. Some of El Greco's works were there and the most amazing paintings were the ones from Cypriot artist, depicting the life on the island 50 years ago. The second time I visited was exclusively for the restaurant. Amazing food, great service and a spectacular feeling to dine at the best gallery Cyprus has had",A G Leventis Gallery,Review 58 Similarity,0.344265186,,,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.9565}",0.9565,pos
52,50,Expanding the permanent collection would be great! Nonetheless the gallery has beautiful works of arts. A great building in the heart of Nicosia just outside the old town. The temporary exhibitions are always exciting!!! You can always check the museum's website to see what's on!,A G Leventis Gallery,Review 139 Similarity,0.344265186,,,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.955}",0.955,pos
53,40,"we visited this galery with my family. you have the chance to know Cypriot artists. you can also see paintings from famous european painters, and a great collection of the personal belongings Leventis.",A G Leventis Gallery,Review 32 Similarity,0.316227766,,,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.7269}",0.7269,pos
54,50,this is an excellent gallery were some of the most important Cypriot artists are in display. don't miss the adamantios diamantis painting on the ground floor. also the cafe of the gallery is exceptional and offers some of the best desserts in town.,A G Leventis Gallery,Review 147 Similarity,0.316227766,,,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.8869}",0.8869,pos
55,50,"Leventis gallery is a a modern gallery with paintings of famous artists from all around the world f.ex. El Greco, Mone.... Moreover there are also brilliant paintings from greek and cypriot artists. The atmosthphere is also remarkable and there are also e-guides in many languages. Furthermore the prices at the gift shop are reasonable. The most remarkable in the gallery is the secure you feel and the way that the paintings are exposed. Congratulations Leventis Gallery!!",A G Leventis Gallery,Review 92 Similarity,0.301232038,,,"{'neg': 0.015, 'neu': 0.752, 'pos': 0.233, 'compound': 0.9661}",0.9661,pos
56,50,"A modern museum in the heart of the city, between the old town-Eleftherias square and Makariou avenue. Also, close to central bus station at Solomou square. Definitely worth spending a few hours there.Extra plus, right across the street there is one of the best gyros in town ;)",A G Leventis Gallery,Review 122 Similarity,0.298142397,,,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.8658}",0.8658,pos
57,50,Well organized newly build gallery with nice personnel and a cosy restaurant on the ground floor. Recommended!,A G Leventis Gallery,Review 149 Similarity,0.298142397,,,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.7177}",0.7177,pos
58,50,"Don't miss this small but wonderful gallery it's greatAn extremely pleasant restaurant on the ground floor ,with a great selection of trendy dishes .",A G Leventis Gallery,Review 171 Similarity,0.298142397,,,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.9572}",0.9572,pos
59,50,"First you take your time to visit the Gallery and when you have exhausted yourself, you sit at the restaurant where the atmosphere and music are most relaxing and enjoy a wonderful dinner.What they propose is out of the ordinary and tasty. The personnel is smiling and they do their best to serve the clients and keep them happy.",A G Leventis Gallery,Review 180 Similarity,0.298142397,,,"{'neg': 0.033, 'neu': 0.679, 'pos': 0.287, 'compound': 0.9641}",0.9641,pos
60,50,If you want to have a taste of Cypriot and Greek culture you must visit this lovely Gallery! It is worth it!! It won;t take long and it will offer you a nice fresh artfull rest if you are visiting in a warm month. Rigth in the center of Nicosia ! The parking is free for visitors !,A G Leventis Gallery,Review 59 Similarity,0.292770022,,,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.9529}",0.9529,pos
61,40,"Right in the centre of modern Nicosia, the aim of the gallery is to highlight the work of Cypriot artists, which it does well. The paintings help to illustrate the history of Cyprus and do so much better than some of the politically -charged History books that are available in the shops. There is a tendency to over-glorify the founder, but if one ignores that then you will learn and enjoy much from this visit",A G Leventis Gallery,Review 7 Similarity,0.27386127899999996,,,"{'neg': 0.049, 'neu': 0.812, 'pos': 0.139, 'compound': 0.7535}",0.7535,pos
62,50,"Its a beautiful modern building where the 3 first floors are full of paintings from cypriots,greek,french,italians and many more painters.",A G Leventis Gallery,Review 6 Similarity,0.25819889,,,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.5994}",0.5994,pos
63,40,"We want something special for christmas presents, after a good thought we have visited the museum.The result was to have high quality purchases of low and high cost. Excellent choises .",A G Leventis Gallery,Review 10 Similarity,0.25819889,,,"{'neg': 0.057, 'neu': 0.654, 'pos': 0.289, 'compound': 0.8176}",0.8176,pos
64,50,"Beautiful, modern gallery with amazing paintings and a delightful restaurant! Situated in the centre of Nicosia, this is a place to visit again and again to enjoy the many paintings and exhibits..",A G Leventis Gallery,Review 69 Similarity,0.25819889,,,"{'neg': 0.0, 'neu': 0.634, 'pos': 0.366, 'compound': 0.9432}",0.9432,pos
65,40,"Its a very nice gallery to visit and learn about cypriot artist and more, but dont expect the kind of galery you can find in the big european capitals. They have a very informative and enlightening webside.",A G Leventis Gallery,Review 82 Similarity,0.25819889,,,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.784}",0.784,pos
66,50,Educational approach to masterpieces focusing primarily on Greek and Cypriot paintings. The overall impression is of a high quality institution within an amazing architectural shell. The book shop and the cafeteria is a further excuse to extend your visit in a pleasant environment. I have been their in other occasions on special exhibitions,A G Leventis Gallery,Review 88 Similarity,0.25819889,,,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.9451}",0.9451,pos
67,50,"The Leventis Gallery is an attractive, apparently well-funded museum that seems to have uncommonly high standards of museumship. Particularly light-sensitive materials are kept behind sliding panels, which is a nice solution to that problem. The sound of them sliding can initially be a little surprising, but I found that after I'd been there a little while, I actually found it reassuring.",A G Leventis Gallery,Review 89 Similarity,0.25819889,,,"{'neg': 0.03, 'neu': 0.803, 'pos': 0.168, 'compound': 0.7652}",0.7652,pos
68,50,"A great gallery that has paintings from different styles and ages.The ground floor exhibition is very interesting especially for non Cypriot visitors, as you can see paintings of famous local artists.",A G Leventis Gallery,Review 97 Similarity,0.25819889,,,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.796}",0.796,pos
69,50,We had a corporate private tour at the leventios gallery. I believe its uniqueness and beautiful exhibits are a privilege for all Cypriots. We all need to allow our selves a two hour through culture. Thank you.,A G Leventis Gallery,Review 117 Similarity,0.25819889,,,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.8689}",0.8689,pos
70,50,"A very pleasnat surprise to see such a gallery where talent, professionalism, artistry and devotion interplay to give the visitor an unexpected excellent artistic impression together with an appreciation of a genrous contribution to the society.",A G Leventis Gallery,Review 145 Similarity,0.25819889,,,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.944}",0.944,pos
71,40,"Visited the gallery on a Saturday afternoon with my family. Very beautiful setup with a nice collection, albeit pretty small. Well worth a visit by everyone. A nice breath of culture in Nicosia, that deserves this and so much more.",A G Leventis Gallery,Review 173 Similarity,0.25819889,,,"{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.9432}",0.9432,pos
72,50,"a very interesting Gallery , one of the very few of Nicosia. A/c system is excellent a really important 'detail' when outside temperature reaches 43 degrees.....Staff is very friendly,entrance fee very reasonable, paintings and items very interesting. Extremely quiet . We have enjoyed our visit and definitely will visit again.",A G Leventis Gallery,Review 101 Similarity,0.233549683,,,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.9515}",0.9515,pos
73,50,"Great collections, interesting exhibitions, friendly people. A must-visit gallery, a true ornament for Nicosia!",A G Leventis Gallery,Review 127 Similarity,0.230940108,,,"{'neg': 0.0, 'neu': 0.379, 'pos': 0.621, 'compound': 0.92}",0.92,pos
74,50,"The gallery is situated in a contemporary building featuring stylish decor with a luxurious touch. It houses interesting permanent collections and temporary thematic exhibitions. The organisers show great care for their audience by running special occasions, such as lectures, exhibition inaugurations, etc. The souvenir shop is worth visiting as there are some nice unusual items sold there.",A G Leventis Gallery,Review 22 Similarity,0.21081851100000001,,,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.9468}",0.9468,pos
75,50,A.G. Leventis Gallery is located within walking distance from the center of Nicosia. There is a always an exhibition running and the gallery provides a café as well.There are guided tours for people interested finding out more.,A G Leventis Gallery,Review 53 Similarity,0.21081851100000001,,,"{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.4019}",0.4019,pos
