,r_points,r_text,place,Unnamed: 3,Unnamed: 4,scores,compound,score
13,40,"Nice, peaceful and perfect suits for business trips.clean swits with daily cleaning services, fast internet, easy access to the downtown and acceptable prices.There is parking lot in case you have a car.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.9313}",0.9313,pos
14,50,"I'm staying in Almond Suites since January 16th, and I am planning to spend another week there, and it is probably the best choice if you are staying for a long time in Nicosia.It is basically as if you live in a 1 bedroom studio with a small kitchenette and a very spacious bedroom.Room is super clean, and they will get you anything you ask for, you have a stove, microwave, fridge, plates, and you can even cook if you wish too.Staff are super friendly and friendly, and you can have free Espresso at the lobby at any time.I definitely recommend it.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.9854}",0.9854,pos
15,40,"Every time I come to Nicosia, I stay at this hotel.A nice, convenient location, very spacious and clean rooms.The breakfast has not a lot of varieties but good choices from eggs to cheese and jams, fit to a fast and fulfilling breakfast.Highly recommended place for a business trip.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.9039}",0.9039,pos
16,30,A nice business hotel with spacious rooms. The location is good. The personnel is polite and helpful. The breakfast was very good with some traditional choices e.g.haloumi. Unfortunately the sofa was not clean as there were stains on the pillows.,Almond Business Hotel,,,"{'neg': 0.095, 'neu': 0.673, 'pos': 0.232, 'compound': 0.7745}",0.7745,pos
17,50,"Very good experience,lacking only on tv channels! Style is modernBig and roomy,queen comfortable bed,separate kitchen and huge sitting area that can accommodate more people, big and clean bathroom. Good for family and business stay.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.9285}",0.9285,pos
18,50,"This modern, renovated hotel is an excellent choice for families. We stayed here with our 3 kids. Plenty of space for all of us. Very good location. The room is big, cozy and nicely decorated. We even had live flower on the table. The bath gels/ lotions are from very good quality. The only goof was the toilet brush as it was very rousty. Otherwise the rooms was great. The reception area is very nice too. Breakfast had big variety from fried eggs to fried hallumi and fresh fruits. I highly recommend it!",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.9765}",0.9765,pos
19,50,"We have just stayed there for 2 nights whilst on holiday in Cyprus. The room was superb,more like a suite with kitchenette area,dining table,lounge are and good size bedroom & bathroom. Everywhere was also vwry clean & tidy. Would be more than happy to stay there again and recommend to friends.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.9606}",0.9606,pos
20,50,"It is impossible to rate this hotel highly enough. We spent a week there and we could not find anything that was less than excellent - the size of the lounge, bedroom and the bathroom, the comfort of the bed and the sofas, the cleanliness of the room and bathroom, the equipment in the kitchenette and in the rooms - it was all perfect. We needed WIFI (for work) and each room has its own router with superfast connection speeds. We needed a safe and the safe is big enough to put a Surface Pro 4, camera and documents in. We needed free parking and there was lots of that. We wanted a balcony to sit out on at the end of the day and there was one. (We didn't need a TV but it looked impressive anyway!) And the very effective aircon unit has to be the quietest I have ever encountered in any hotel. There was a good supply of toiletries and the room was meticulously cleaned each day. The breakfast was very good with a huge variety of hot and cold food and the presence of a kitchenette meant you could eat in your room if you wanted. The staff were really friendly the manger available and approachable. To top the lot it wasn't expensive! If it sounds too good to be true, it certainly isn't! We spent ages trying to find something to criticise and failed. Next time I need a hotel in Nicosia this will be my first choice.",Almond Business Hotel,,,"{'neg': 0.029, 'neu': 0.79, 'pos': 0.18, 'compound': 0.991}",0.991,pos
21,50,"This is a superb boutique hotel just outside of the congested center of the city of NIcosia. Five minutes from the ""old city.""Room was large, like a full one bedroom apartment, complete with a kitchen.On a nice quiet street with parking in the rear, too. Easy and convenient.Free WiFi was ROCKET fast. Each Room has its OWN router so no trouble with signal strength, too !!Kitchen table makes great work area. Staff efficient and courteous.Elevator actually works, and is BIG enough to actually have space for your luggage, too. A welcomed feature !Breakfast was simple, elegant, complete. REAL eggs, too. REAL expresso too, with a coffee machine that works. Not a mob of guests queueing up for food, either. Nice.I would stay here again, for sure.",Almond Business Hotel,,,"{'neg': 0.041, 'neu': 0.743, 'pos': 0.216, 'compound': 0.9757}",0.9757,pos
22,50,"This is a superb boutique hotel just outside of the congested center of the city of NIcosia. Five minutes from the ""old city.""Room was large, like a full one bedroom apartment, complete with a kitchen.On a nice quiet street with parking in the rear, too. Easy and convenient.Free WiFi was ROCKET fast. Each Room has its OWN router so no trouble with signal strength, too !!Kitchen table makes great work area. Staff efficient and courteous.Elevator actually works, and is BIG enough to actually have space for your luggage, too. A welcomed feature !Breakfast was simple, elegant, complete. REAL eggs, too. REAL expresso too, with a coffee machine that works. Not a mob of guests queueing up for food, either. Nice.I would stay here again, for sure.",Almond Business Hotel,,,"{'neg': 0.041, 'neu': 0.743, 'pos': 0.216, 'compound': 0.9757}",0.9757,pos
23,40,"Spacious clean suites with kitchenette. Great location near nice restaurants, Starbucks and Costa Coffee. Breakfast is included and a good selection. Staff are very helpful especially Florina and Svetla.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.9392}",0.9392,pos
24,50,Whilst on Holiday in Paphos my husband became ill and needed to go into hospital for an operation. By sheer luck l booked this hotel. Being business suites it was quite and a brilliant place for my husband to rest. The staff were extremely helpful and could not do enough to help. The room was an apartment with large lounge and kitchen (Folding doors to hide kitchen away) huge bedroom and good size wetroom. Walking distance of restaurant monnaco which has an extensive menu. Town centre very close.Nothing but praise for this hotel! Thank you for all the staff for your help.,Almond Business Hotel,,,"{'neg': 0.028, 'neu': 0.749, 'pos': 0.224, 'compound': 0.9683}",0.9683,pos
25,30,"The room was ok, it was clean and provided all that was needed for a business trip, but it just lacked any vibe or....soul!Breakfast was good each morning, but it had the noise level of a Library and the staff seemed as serious.It was cost effective, the room looked onto a car park, its a little too far from the centre to be walkable but there are amenities nearby so that any traveller can be self sufficient.Did I enjoy it, no not really, would I stay again, no not really.",Almond Business Hotel,,,"{'neg': 0.057, 'neu': 0.781, 'pos': 0.163, 'compound': 0.8871}",0.8871,pos
26,50,"It’s a ‘business’ hotel but quite good for tourists as well. The best part about this place is the room size. It’s a very large 1 bedroom apartment. There’s a full kitchen, dining table and sofa set. This makes it a great place to stay if you want to ‘spread out’. The front desk staff were REALLY nice especially ‘Adrian’. Definitely a great place to staff in Nicosia.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.9896}",0.9896,pos
27,30,"Great little apartments in a pleasant street not far from the centre of Nicosia.Well presented, nicely furnished good size.Served us well for a night stay from Paphos while my partner had a school reunion. Only down side was the air conditioning units vented out onto the balcony, not that the balcony has a nice view but still. Breakfast was also poor on the cooked side of things.",Almond Business Hotel,,,"{'neg': 0.058, 'neu': 0.777, 'pos': 0.165, 'compound': 0.5815}",0.5815,pos
28,50,"The hotel is very clean with very big rooms and very fast wi fi. The breakfast was very nice also and the stuff very helpful. The location was also great (walking distance from city center), and was also great that we had free parking.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.9669}",0.9669,pos
29,50,"it is always a very pleasant and welcoming place. Service is excellent, rooms are spacious and clean. Very suitable for business stays.Staff is extremely nice and helpful; high speed internet available and always reliable",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.9602}",0.9602,pos
31,50,We had very pleasant time at Almond business suits...Rooms are awesome and very clean...The hotel is located just 5 min ( with car) from the old town of Nicosia... Very friendly and helpful staff... Free parking and internet as well...I would definitely go again!!!,Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.9687}",0.9687,pos
32,40,"We had a very pleasant stay in Almond Business Suites while we stayed there discovering Cyprus. Ours was a nice, one bedroom apartment, very clean with good, reliable wifi and a nice small balcony.The hotel has a free private parking, and is just 3-5 minutes drive from Old City Nicosia with an easy access to highways to Larnaca, Limassol etc.Additional plus (and quite rare in Cyprus apparently), the heating was working well even on the coldest January days when we had a bit of snow.The breakfast had an ok choice of vegetarian and non-vegetarian dishes for a small hotel (nothing impressive, but ok).The staff was very helpful, especially Adrian at reception.As an improvement I can suggest only following, nothing major:- investing in a proper coffee (espresso) machine (as current coffee machine at breakfast produces instant Nescafe only)- having radiator heaters as an option (instead of heating with Air Conditioning unit) for people who have health problems like asthma and allergies...To sum it all up, if and when we go to Nicosia again, we would not hesitate to stay on again in Almond Business Suites.",Almond Business Hotel,,,"{'neg': 0.018, 'neu': 0.814, 'pos': 0.168, 'compound': 0.974}",0.974,pos
33,40,"Locate not far away from Nicosia center. Suites actually are small apartments really big and spacious, you have the feeling that you rent a apartment. No room service (like you have an apartment) but you can always ask for a delivery service from nearby restaurant. Breakfast is good. My only complaint is the old and noisy air conditioner, I think need a replacement.For business especially if you plan to stay for more than two days it's a nice option.Room price are also a plus.",Almond Business Hotel,,,"{'neg': 0.074, 'neu': 0.825, 'pos': 0.101, 'compound': 0.5187}",0.5187,pos
34,50,Room:the room is spacious. has its own living room and dinner area. value for money. The room has its own balcony.its will be great for family to book the hotel here. 10/10Breakfast:it has good spread of food. 8/10Gym & Sauna24hr at your own convenient. Its pretty small but hey.. its boutique! 8/10,Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.7644}",0.7644,pos
35,50,"The hotel is situated in a good location, within walking distance of restaurants, bars, etc. The rooms are very spacious and provide great facilities. Breakfast is somewhat limited but of good quality.",Almond Business Hotel,,,"{'neg': 0.036, 'neu': 0.737, 'pos': 0.228, 'compound': 0.7933}",0.7933,pos
36,30,"My room was awesome, very nice and large. I didn't like the breakfast though. But the staff were extremely friendly, and when I checked out and forgot a vest in the closet of my room, they were very easy and helpful, even packed everything in a box and sent it to me via mail. They only charged me the postal costs, which I think is a very nice way of helping guests.",Almond Business Hotel,,,"{'neg': 0.047, 'neu': 0.686, 'pos': 0.267, 'compound': 0.9603}",0.9603,pos
37,50,"We spent 11 nights at this hotel. The price was good and included a nice breakfast.The suite was very comfortable and spacious with free Wifi with daily maid service. It is centrally located in Nicosia in a quiet street. There is a very good tavern 2 minutes walk away with excellent souvlaki. The staff are very courteous, friendly and helpful like most people in Cyprus.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.9843}",0.9843,pos
38,40,"Stayed two times at Almond Business suites on business. Spacious rooms, staff is polite and helpful, good breakfast although I preferred the mandatory room service breakfast. Overall is a great hotel for business travelers, offers great WiFi in rooms, clean spacious rooms.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.655, 'pos': 0.345, 'compound': 0.9509}",0.9509,pos
39,50,"Solo business trip for 2 months fantastic rooms, like an apartment in a hotel... Spacious clean and quiet perfect and couldn't ask for more! Staff extremely helpful and friendly felt like home as extremely modern, wifi throughout and tv with English channels! Great location and lots of restaurants nearby or lots of choice for a takeaway! Highly recommend!",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.9832}",0.9832,pos
40,40,"I have chosen this hotel because it was close to Nicosie town center.Hotel is nice, room are very big and cleanful.Regarding the breakfast, it is good as wellI definitely recommend that hotel if you come in Nicosiethe team is pleasant",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.9217}",0.9217,pos
41,40,"it is a well located hotel: it is close to the down-town and far away from the noise of the traffic.rooms are clean and big enough for a family: the facilities are good also for long stayingthe crew is polite and the service provided is also goodso, if you are planning a business trip to Nicosia...it is the right solution.it is not the luxury hotel but is good and kept clean",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.8945}",0.8945,pos
42,30,- Rooms feel a bit dated / tired- They are clean- Beds are descent - not very comfortable but not bad either- Bathroom is descent size- Living room is spacious and there is a small kitchen if you want to cook something on the go- Service could be better but overall is not bad- Location is not bad either - 15 minute walk from the center- A huge plus is that there is free parking and no booking in advance is needed- No restaurant or bar facilities available which is a big disadvantage- Good value for money- Average breakfast- Overall I would recommend it if you want a value for money and you are not bothered about bar or restaurant facilities within the premises,Almond Business Hotel,,,"{'neg': 0.087, 'neu': 0.628, 'pos': 0.285, 'compound': 0.9832}",0.9832,pos
43,40,"Clean and tidy with a functional kitchenette, spacious bedroom and longe/dining area. Well situated for town and the old town. Free wifi, very helpful and friendly staff. Rooms twice the size of the Hilton at less than half the price. It's a no brainer. Breakfast getting better each time I stay, could be a bit hotter though. Thoroughly recommend.",Almond Business Hotel,,,"{'neg': 0.032, 'neu': 0.676, 'pos': 0.293, 'compound': 0.9528}",0.9528,pos
44,50,"Visited this hotel several times for business reasons, room mostly located in 5th floor, this time breakfast changed,No more breakfast to room, but breakfast room, which is quite nice, there is more choicetherefore, also eggs and fruit salad, this is a fine improvement. The “security” in the breakfast room had a very cleareye on all things going on, and as soon as the plate is empty he comes to gonna take it away, so in the beginning youmight feel observed, but it is for service reasons, on Friday he was quite easygoing however and the female service ladytook the dishes, so fine hotel in the center with huge rooms and increased breakfast quality and also free and proper Wifi :)",Almond Business Hotel,,,"{'neg': 0.016, 'neu': 0.77, 'pos': 0.214, 'compound': 0.9814}",0.9814,pos
45,40,I have stayed in this hotel before as well and my feeling is the same. The rooms (suites) are very convenient and very spacious and you really feel like being home. However i miss the mini bar in the room (it's available upon call) and the bathroom is of average quality overall. What has changed recently is that the breakfast is not served any more in your room but in a room close to reception. The breakfast itself is of poor variety but at least of good quality. Most probably i would stay again despite the fact that recently prices are not as low as it was.,Almond Business Hotel,,,"{'neg': 0.049, 'neu': 0.856, 'pos': 0.096, 'compound': 0.5123}",0.5123,pos
46,40,"The suites here are huge and clean, but poor ergonomically. The bedside light is below the level of the bed so reading is hard, the main light switches are only beside the doors (none by the bed) and the air-con is positioned to blow straight at you if you are in bed or watching TV (only in the lounge - no TV in the bedroom). There is no restaurant, so breakfast is brought to you in your room, where you also have a fridge and cooking facilities. Breakfast is OK, but nothing special. Staff are universally helpful and reception staff speak good English. There are banks, shops and restaurants nearby.",Almond Business Hotel,,,"{'neg': 0.113, 'neu': 0.752, 'pos': 0.134, 'compound': 0.3953}",0.3953,pos
47,50,"I have stayed in this hotel for more than one time and was always satisfied with the quality of services and offered facilities. Very nice rooms, with kitchen part and open air balcony. Air conditioned. Free wifi and parking area. Very helpful and friendly staff.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.9408}",0.9408,pos
48,50,"I stayed in this hotel for a week and could not have been happier about my choice. The hotel is excellent, big spacious bed room, living room, kitchen facilities, dining table. The reception stuffs were very nice, polite and helpful. The hotel has free wi-fi which is strong enough to support streaming. Breakfast is brought to the room every morning. Though it gets little bit of repetitive over a week, but the amount and quality is great. From Larnaca airport, I took a taxi direct to the hotel. But you can take the Kapnos shuttle to Nicosia and then a taxi to hotel which would be less expensive. The hotel is not far from the city center. It is around 6/7 minutes in a taxi. I'll definitely stay here if I go to Nicosia again.",Almond Business Hotel,,,"{'neg': 0.023, 'neu': 0.825, 'pos': 0.153, 'compound': 0.9545}",0.9545,pos
49,40,"Stayed in Almond Business Suits for 5 days. It is situated in 15 minutes walk from Nicosia's business center and shopping streets, and in 20-25 minutes walk from the old city (venetian walls). The rooms were very neat, comfortable, clean and modern. Had room cleaning every day. The neighbourhood is quiet and silent. Service staff is very helpful. Wifi, a number of english language tv channels, etc. Overall, everything was excellent. The only exception is that they do not have a restaurant and serve the breakfast in the room, and though quite a good breakfast, it is repeated every day, and at the third day you can't see that breakfast again. But apart from this - really enjoyed my stay in this hotel.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.975}",0.975,pos
50,40,Rooms were clean and very spacious. Just like an one bedroom appartment. The hotel is sutuated in a relatively quiet area. Breakfast was served in room every day. Staff was friendly and willing to assist on any enquiry. Could recommend it especially for business trips.,Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.8797}",0.8797,pos
51,40,"We arrived from Larnaka with a taxi that the staff from the hotel offered to send for 45 euros. The driver waited for us. The rooms are spacious and clean. Good Wifi. Helpful, efficient and smiling team. We had a very pleasant stay. The receptionist recommended a good restaurant. Breakfast is brought to the room, nice, intercontinental and quite moderate. On the whole, if we go to Nicosia again, we'll definitely book this hotel.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.9776}",0.9776,pos
52,40,"If ever back in Nicosia, I would stay at Almond Suites again. Staff is very friendly and helpful, even lent us a laptop to keep in our room for a bit. Breakfast is delivered to your room. Rooms are very clean, and very large. Spacious balcony, I highly recommend this place.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.907}",0.907,pos
53,50,"Amazing service ,very kind people ,very clean environment .The internet works everywhere it's free for the guests!!It's wonderful to see smiley faces at the reception!The breakfast was great!!Different choices of coffee and tea....Again very clean!!The rooms are big luxurious and warm!The bathroom big.Great choice of bath foams and shampoo!Fantastic kitchen and a lovely couch .The towels are soft and they smell nice.Thank you so much for your hospitality !!Looking forward to see you again very soon!!Best RegardsDemos Beke",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.978}",0.978,pos
55,30,"You get a modest suite, including a small kitchen.A modest (but nice) breakfast is served in the room.Advantages:spacious.Drawbacks:- The internet connection is extremely poor. The signals are so week that you cannot use skype. It is only useful for checking email.- The safe was looked and I could not use it.",Almond Business Hotel,,,"{'neg': 0.063, 'neu': 0.83, 'pos': 0.107, 'compound': 0.3415}",0.3415,pos
56,40,In general very good with almost every need covered. Good wi-fi connection but only in living room (or at least the signal had strength there). Lacks room service and restaurant but this was not such a problem since very nice nearby restaurants have delivery service to accomodate any food needs. Very polite staff. Good location.,Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.9597}",0.9597,pos
57,40,"We have stayed a number of times at the Almond Business suites whist traveling on business. The hotel is in a central location with easy access to the city center. The rooms are comfortable, spacious, functional and clean, with a small kitchen which is very handy, especially for long stays.There is also a small gym which can be used for a quick work out.The reception staff are very helpful and polite.Highly recommended for a pleasant stay in Nicosia",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.9468}",0.9468,pos
58,50,"I stayed at the Almond Hotel with three colleagues last week and couldn't have been more pleased. The rooms are clean and tidy, with plenty of space to work. Any problems we had were quickly ironed out by the staff.The breakfast they bring to the room is a real treat and it was nice to have plenty of tea and coffee in the foyer.Without a shadow of a doubt, the best thing about the hotel is the staff. From bringing us cups of coffee early in the morning, to helping us plan our day, they were all brilliant, cheerful and friendly.",Almond Business Hotel,,,"{'neg': 0.044, 'neu': 0.72, 'pos': 0.237, 'compound': 0.9722}",0.9722,pos
59,50,"I booked here because I wanted flexibility to be able to cook for myself and not rely on restaurants every night, so the lack of an on-site restaurant was no problem. Anyway, Nicosia has plenty of restaurants. The suite was a good size - main room with kitchen/dining area and living area, plus a large bedroom and adequate bathroom.The in-room continental breakfast was quite substantial, so I saved some for lunch !Price was good and it's well situated near to the main shopping area and most businesses.I will go back when I next visit.",Almond Business Hotel,,,"{'neg': 0.073, 'neu': 0.748, 'pos': 0.18, 'compound': 0.8765}",0.8765,pos
60,40,"I stayed at the Almond suite for a 3 day business trip having previously stayed at the Semeli I was unsure as to what to expect.The Internet connection is the best I've experienced in a hotel and best of all free!The rooms are more like apartments, so a much nicer experience than writing emails from the bedroom.The hotel lacks room service, however offers a take away directory that deliver direct to the room, slightly expensive I paid €16 for a pasta dish.Breakfast is delivered to the room-at a time convenient to you, you just need to inform reception. Within the reception area fresh tea and coffee runs all day too!All in all a very good hotel If staying for business, I would definitely stay again.",Almond Business Hotel,,,"{'neg': 0.015, 'neu': 0.807, 'pos': 0.178, 'compound': 0.9688}",0.9688,pos
61,50,"We spent two nights here for a wedding and the hotel was booked for us by the hosts. It was lovely, very clean and very well provisioned. There is a living room and kitchen and a bedroom and bathroom. Everything was clean and orderly. There was coffee/tea and cakes available in the foyer for anyone who wanted them. It is a modern and tasteful hotel and the staff were friendly, helpful and professional. If you are staying in Nicosia for a few days this is an excellent place. It is a little outside the old centre but not very far. We enjoyed it very much. There is a supermarket just across the road from the hotel - very handy.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.9458}",0.9458,pos
62,40,"Although there is no restaurant and the whole building only remotely reminds hotel, ABS is a very well placed and ran establishment, with the capacity to cover satisfactorily most of the requirements of its guests. Breakfast is served in room on pre-agreed time and was a bit far from what i'd select but anyway it was rich and with a decent variety. Rooms are actually suites with a spacious living room, a (hideable) kitchenette and a dining table. Plus a balcony and individually controlled A/C. Also in area there are some restaurants and some of the hottest bar-clubs of city. Old city however and traditional hot spots are NOT in walking distance - so consider a cost for required taxi(s).",Almond Business Hotel,,,"{'neg': 0.014, 'neu': 0.915, 'pos': 0.072, 'compound': 0.778}",0.778,pos
63,30,"It all felt very basic. It didn't start well, when I arrived with a colleague and the receptionist insisted that we only had one room booked - and didn't seem to share, or be sorry, about the embarrassment we experienced in explaining that while male and female, we had booked two rooms. It seemed a great concession that he actually managed to find us another one (the travel agent subsequently confirmed that they had definitely booked two rooms). The nibbles in the hall were a nice touch, but the rooms were sweltering when we arrived (admittedly the air conditioning, once turned on, was fierce enough to cool the place down fairly quickly). The space was good, but all very spartan and the breakfast was very ""plastic"" (processed cheese, cold toast). I accept that prices may be high in Nicosia and it has limited availability of business hotels but I will be trying somewhere else next time.",Almond Business Hotel,,,"{'neg': 0.051, 'neu': 0.848, 'pos': 0.101, 'compound': 0.8806}",0.8806,pos
64,50,"good size rooms, clean, quiet, 2 space-room, good location, ideal for business accomodation.decent breakfast served in room.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.502, 'pos': 0.498, 'compound': 0.8979}",0.8979,pos
65,50,"This is the second time I am staying at almond and again, I hv not been disappointed at all. Rooms are really spacious. Reception help is very good. Place is very modern, clean and professional for meetings etc. they even hv boardrooms available for useI surely recommend it.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.9441}",0.9441,pos
66,40,"Very nice hotel, exceptional service !The rooms were big and clean, and the staff very friendly and helpful.The area that the hotel is located is not so close to the commercial centre of Nicosia, so in case you want to go shopping you need to take a taxi or walk at least 20 minutes.The rates were also very good compared to the services that the hotel provided. Very good value for money. Recommended for business travellers and for long-stayers.",Almond Business Hotel,,,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.9625}",0.9625,pos
67,50,"Friendly staff, clean with Free Wifi. The rooms are like little apartments, Dining/living room witha small kitchen and a bedroom with ensuite shower/toilet. There is limited facilties but this is more a business hotel. Breakfast is served in your room at what ever time you would like and even a little bit later than their regular hours.Located fairly centrally but would be a fair walk to the city centre or 3 mins in a taxi. I think it's reasonably priced for what it is. Would stay again and have done so.",Almond Business Hotel,,,"{'neg': 0.016, 'neu': 0.832, 'pos': 0.152, 'compound': 0.891}",0.891,pos
69,40,"I stayed at Almond suites for my business trip to Cyprus. The rooms very good neat and the service was good since this is a no-frills hotel. I was always helped by the staff since I was new to the country. The location is real good with various excellent restaurants & sports-bars around. Definitely a very good choice for business trips.There is no pool in the hotel, but there is a gym available.",Almond Business Hotel,,,"{'neg': 0.022, 'neu': 0.78, 'pos': 0.198, 'compound': 0.8786}",0.8786,pos
