,r_points,r_text,place,Unnamed: 3,Unnamed: 4,scores,compound,score
42,40,"Went to visit this museum after visiting the Byzantine Museum. The entry fee of Euro 2 and one cannot take photos.One can see how people lived. See how they weaved, some blacksmith tools, etc.Saw some clothes and a large bed. Family must have been well off to afford such luxury in those times.One can also buy few souvenirs.Okay for a short visit.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.965, 'pos': 0.035, 'compound': 0.2732}",0.2732,pos
43,40,"A glimpse into village life, nicely laid out in a historic building. Doesn't take long to see and you learn a lot",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.4404}",0.4404,pos
44,50,"the folk art museum, housed in what used to be an old monastery so you can still see icons painted on the walls, is a little gem, not greatly known. The artefacts it houses are amazing, it has a fantastic vibe to it, and even a little shop where you can buy souvenirs. It's in the Archbishopric courtyard, so very easy to find.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.8973}",0.8973,pos
45,40,"Lefkosia has many small museums in comparison with other bigger cities but all of them are well kept and the folk art museum is one of the better ones to visit.Easily accessible and the exhibits are well presented, very interesting and of high traditional heritage and value.Small fee to enter.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.9207}",0.9207,pos
46,40,"Manage your expectations and its fine, interesting little museum to fill half a hour. The byzantine art museum next door is also worth a visit.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.6597}",0.6597,pos
47,50,"This Museum is part of the Archbishop Makarios III Foundation compound; it is small but full of traditional Cypriot heritage; it is a beautiful presentation of the past real life of the Cypriots.Several rooms and all corridors are filled with a great collection of old items such as Columns, Stones, Pottery, Jars, Jewelry, Music Instruments, Table Covers, Kitchen Utensils, Dinner Sets, Silver Pots and Bowls, Silverware, Chandeliers, Bedrooms, Wooden Carved Storage Boxes, Sewing Machine and Embroideries, Clothing, Paintings and Canvas, Crosses and Church Items, Icons, Old Photographs, Books, Smith Tools, and Crafts Tools,.For a very minor entrance fees of 2 Euros; It is a must visit for the value of great memories.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.9711}",0.9711,pos
48,40,"The museum is an enterprise started and maintained by volunteers and it is amazing how a group of people interested in their culture have managed to get together, go around the island and find people who were ready to give out some of the treasures they owned - furnishings, pottery, lace, jewellery and whatnot. Unfortunately, you are not allowed to take pictures in the museum, which is a real shame. Sometimes you feel that the information given in the leaflet is not enough (or there's no translation into any language from Greek) but the staff are so happy to answer all the questions you might get that it's an absolute must to engage in a conversation with them and you will find out a lot of interesting information.",Cyprus Folk Art Museum,,,"{'neg': 0.038, 'neu': 0.81, 'pos': 0.152, 'compound': 0.9502}",0.9502,pos
49,40,"Small museum in the beautiful old section of Nicosia, with just enough on display to keep an child interested and not too much to be overwhelming. Includes clothes, furniture, musical instruments, photographs and much more. My only criticism is that some items lacked explanatory labels; we were left debating the purpose of several inexplicable things. Good little shop at entrance and shaded tables outside for trying some Cypriot drinks and snacks. Close to other museums.",Cyprus Folk Art Museum,,,"{'neg': 0.038, 'neu': 0.849, 'pos': 0.114, 'compound': 0.7458}",0.7458,pos
50,40,If you are in the old town of Nicosia don't miss to visit the Cyprus Folk Art Museum. Although it is a small museum you will have the opportunity to live within an hour the whole history of Cyprus.The entrance fee is only 2 Euros.,Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.5013}",0.5013,pos
51,40,"An hour of going around would be more than enough, but surely worth it. Gives some idea as to how people dressed, what they ate, what musical instruments they played, etc. Very homey little space for a quick visit.Upstairs is the Icons exposition, which shows the religious works of contemporary artists and is very beautiful and unique. Next door is the St' John's Cathedral. So all together I would recommend to make a quick trip to this part of the old town to see both the museum/icon expo and the cathedral.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.9603}",0.9603,pos
52,50,The Folk Art museum captures what rural traditional life in Cyprus must have been like. The artifacts and exhibits take you back to a simpler time. I highly recommend this museum to be able to appreciate Cypriot culture as a whole.,Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.7902}",0.7902,pos
53,50,"Originally a Benedictine monastery that retains a number of 15th-century architectural features of the Frankish period.A museum with a vast and rich collection of everyday items from a forgotten era. Traditional costumes, looms, pieces of furniture decorative baskets, clay pots, jewellery pieces and metal work, including the most intricate filigree work.It certainly pays to visit it and for this reason I highly recommend it.The Folk Art Museum is open for the public Monday to Friday from 09:30 to 16:00 and Saturdays from 09:00 to 13:00.",Cyprus Folk Art Museum,,,"{'neg': 0.04, 'neu': 0.825, 'pos': 0.135, 'compound': 0.8169}",0.8169,pos
54,50,"This is a wonderful traditional local museum owned and run by a husband and wife who have lived in the village all their lives. They make traditional Silk garments from silk worms to finished hand weaves . They have such a lot to tell about life in this lovely hillside village.Entrance is free , but please leave a donation. The museum is recommended by the Cyprus Tourisum Organisation.A lovely afternoon in this beautiful traditional Cypriot village , which has a couple of nice Tavernas and a pretty Church.",Cyprus Folk Art Museum,,,"{'neg': 0.012, 'neu': 0.651, 'pos': 0.337, 'compound': 0.9881}",0.9881,pos
55,40,Small but good local craft museum. Shows everyday artifacts and way of life of a bygone age. Also visit the Cathedral next door,Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5927}",0.5927,pos
56,50,"Great location as is in the Archbishop's Palace yard and next to Saint John Cathedral, just in the centre of the old town of Nicosia.Is a small stone-built ,of 15th century, Museum, with great exchibitions of hundrets years ago, when Cyprus was completly different ! I liked it and surely recommend it, for those who are interested to have history knowledges about this small but interesting country.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.9245}",0.9245,pos
57,40,"The Folk Art Museum is situated within the Archibishop's building. I was not interested at the beginning to visit it but I decided to visit it and I was not dissapointed. It was a very interesting experience. The building was made out of stone and archs and it was really nice to be there. It includes 5-6 small rooms that cover what you expect from a folk art museum. We were really satisfied at the end and we overall enjoyed it. There was also a guide but unfortunately let's say that she was not an expert of the exhibitions.I do not recommend to go to this area only for this museum, but if you are nearby, definitely it is a very good choice and you can estimate your visit at about 20-30 minutes. Outside the museum was a lady with traditional products and inside a small shop.",Cyprus Folk Art Museum,,,"{'neg': 0.046, 'neu': 0.801, 'pos': 0.153, 'compound': 0.9646}",0.9646,pos
58,50,"A great monument, one of the few still surviving in Nicosia. Interesting architecture, lovely, intetesting exhibitions.I went there on 18th of May and they had plenty of events to participate.I tasted a local sweet and I made my own pottery. You have to get a guided toor by the volunteers there!!!",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.9491}",0.9491,pos
59,40,It is not great but the rich ... it will take you 100 to 200 and more years back in time and give deig a real experience of being right in the heart Cyprus. Do not forget to take it easy and sit a little while and drika a traditional drika served in this amazing place.,Cyprus Folk Art Museum,,,"{'neg': 0.032, 'neu': 0.715, 'pos': 0.253, 'compound': 0.9505}",0.9505,pos
60,50,"My visit at the Folk Art Museum in Nicosia was an interesting experience! The museum is an old building itself so it was really interesting to be there. The artefacts of the museum give you a vivid image about the traditional life in Cyprus. It is really fantastic to observe the difference in lifestyles then and now. I had also the opportunity to buy a couple of ""traditional"" objects-souvenirs from the museum's shop. It is a place that people should visit!!",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.9181}",0.9181,pos
61,50,A great little museum next to the Archbishops palace. Ask for a guided tour from the very informative staff and you'll have a much better visit.,Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.7906}",0.7906,pos
62,50,"The building itself is originally 15th century gothic with latter additions.It was originally used as a monastery for the Latin Order of Benedictines and was taken over by the Greek Orthodox Church sometime before the Ottoman occupation in 1571. It went on to become the Archibishop’s Palace prior to the building of the new Archbishopric nearby.The door is carved stone archway with a 16th century fresco of the Annunciation, and it is supposed to be the oldest fresco of the city.Exhibits:What the visitor sees here is a vast collection of everyday items from a forgotten era. The collection is rich and it is split in different rooms. This is where you will find the costumes of the people; the looms used to weave their fabrics; pottery; furniture –often beautifully carved and painted in bright colours; decorative baskets that were used for different things; Jewellery and other metal work including the most intricate filigree work. There are samples of embroidery as well.A stroll out here makes the guest feel as if he enters a time-machine that takes him back to Nicosia, a century and a half back. You see, 150 years back the people of Cyprus were still under the yoke of Ottoman rule and the majority of them were extremely poor. A completely different picture of what is today.I highly recommend it. Be sure not to miss it!Fee is 2 euros for adults,1 for children, and special discounts for groups.Opening Hours:Monday to Friday- 09:00 to 16:00Saturday: 09:00 to 13:00Tel: +357 2243 2578",Cyprus Folk Art Museum,,,"{'neg': 0.026, 'neu': 0.891, 'pos': 0.083, 'compound': 0.9291}",0.9291,pos
63,40,"Very interesting for people who like crafts and wood-work. Enjoyed my time here watching the crafts people at work. If these handicrafts are not preserved, it will just be forgotten and die off. The courtyard is nice and breezy. There is a nice shop to purchase all these traditional craft work. There is also a cafe and clean washrooms.",Cyprus Folk Art Museum,,,"{'neg': 0.081, 'neu': 0.682, 'pos': 0.238, 'compound': 0.8832}",0.8832,pos
64,30,"The home of Hajji Georgiakis, or something like that, was interesting, especially since it was lashing rain outside, and it gave us a shelter from the rain. Worth a visit especially for kids.",Cyprus Folk Art Museum,,,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.7269}",0.7269,pos
65,30,"It a really small museum, which was founded by a few members of the society of Cypriot Studies in 1937. It was nice to see how people used to live in Cyprus, but we finished the whole museum within 20 minutes. We paid for this 20 minutes 2€, which was quite a lot, taking into consideration that there was no air condition and no toilets either. But it was cosy and with atmosphere, maybe they will improve their facilities in the future, because they opened the museum some time ago.",Cyprus Folk Art Museum,,,"{'neg': 0.059, 'neu': 0.88, 'pos': 0.061, 'compound': 0.0387}",0.0387,pos
66,50,"If you want romance, pleasant atmosphere ... Good view .. great and delicious cuisine ... Visit domus. The dishes are unadulterated, they are cooked willingly, the service will be good, candles, hearts and good music for a better mood. Your special occasion or day can be even more unique if you are welcomed at domus.Everyone will be sure your holiday is unforgettable. One of my favorite specialties is steak Diane.. prepared according to a special recipe..It is a must try",Domus Lounge Bar,Review 1 Similarity,1.0,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.9914}",0.9914,pos
67,50,"I agree with what people write about Domus. It was my first visit to the restaurant last month and I was impressed.Decor is beautiful and different from any other restaurant. I expected it to be crowded although a week day but it was not. Just very few tables. Lighting is very poor and this would be one thing to maybe find negative.Way too dark. I understand it adds to the atmosphere but it is way overdone. Food was excellent! We had sea bass and chicken al pesto which were super tasty in good portions! Timing was perfect! Dessert was delicious (we had the lava cake with ice cream). Portion is very big and surprisingly much bigger than other places I had this. Maybe dessert itself it was not 10 out of 10 but nearly there (I would give 8 to 9 which makes it almost excellent). I found that food in Domus beats the desserts at least for my opinion. I will agree that prices tend to be on the upper scale especially if you have a bottle of wine but worths it! It's a place for these different, special occasions! Don't miss it! Surely returning.",Domus Lounge Bar,Review 121 Similarity,0.5,"{'neg': 0.035, 'neu': 0.777, 'pos': 0.188, 'compound': 0.9879}",0.9879,pos
68,50,Always tasty...I went several times and i am always surprised and pleased. The food is tasty and the presentation even better! very good service! must try!,Domus Lounge Bar,Review 52 Similarity,0.492365964,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.895}",0.895,pos
69,30,"Domus has managed to stay afloat for a long time so it's possible that our first visit there in nearly 8 years was perhaps a fluke. The food was certainly not bad, however since we had attempted to make reservations a few previous times we expected much more. The service is good, the place is nice although some of the decor is certainly kitsch. Its worth a visit for a romantic meal for couples.",Domus Lounge Bar,Review 154 Similarity,0.492365964,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.9428}",0.9428,pos
70,50,"I went to Domus a few of times, some on office outings (holiday parties, leaving-dos, etc.), some on dates others with friends. I was never disappointed, and Domus seemed to cater perfectly for each occasion. The interior feels very cosy and discreet at the same time. Combine that with perfect service and you feel that you're the only table in the restaurant (which is never the case - always book in advance!). In the summertime the outdoor seating is a bit of a aesthetic compromise (compared to the interior), but this is Cyprus after all and seating outside to eat in an old part of the city is still very enjoyable.Impeccable dishes (and we made sure to try all of them on the office functions!) I'm sure the menu changes from time to time but the dishes I remember mostly were the succulent lamb shank (no knife needed it was so soft and creamy!) and the best beef carpaccio I have ever had. The friendly owner is always around, making sure everyone is having a good time. This to me is the sign that this restaurant means something more than just 'running a business'. It is obvious the people at Domus are passionate and happy about what they do. It might be a bit pricey, but that never left a bad taste in mouth after the great experience and good food. Absolutely worth it.",Domus Lounge Bar,Review 147 Similarity,0.484200125,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.996}",0.996,pos
71,30,"The food is ok, with massive portions and good meat dishes. The pasta was a bit overcooked and the lamb was fantastic. The decor is a bit kitch in a good way, being in an old house. The bar is quite cool too.The big problem of the restaurant is its prices. 20€ for prosciutto with ""melon chaviar"" which came with 5 pieces of grapes instead was extreme, so as 18€ for a tiny fondue.",Domus Lounge Bar,Review 133 Similarity,0.483493778,"{'neg': 0.034, 'neu': 0.789, 'pos': 0.178, 'compound': 0.8883}",0.8883,pos
72,50,"I have visited Domus restaurant recently to celebrate my girl freends' birthday. We love Domus for its modern cuisine and fresh food, for its stylish decoration and for the good variety of wines. The location of the restaurant is unique, as it is located in medieval center of Nicosia, in a close proximity to the Archibishob's residence, Pancyprion gymnasioum and Hadjigeorgaki's Cornesios residence- an area full of Cyprus' history. I' ve being in Domus for several occations, with friends and family, and I must state that the atmosphere, food and wine has always being a pleasant and enjoable experience for me!",Domus Lounge Bar,Review 111 Similarity,0.465242105,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.9628}",0.9628,pos
73,50,"Great food and a great atmosphere. A very pleasant experience. Service was good, and overall great restaurant",Domus Lounge Bar,Review 22 Similarity,0.45584230600000003,"{'neg': 0.0, 'neu': 0.347, 'pos': 0.653, 'compound': 0.9628}",0.9628,pos
74,40,"We have been to this restaurant with my wife last year we have enjoyed the food, the atmosphere and the people there. We have been looking for a romantic restaurant with good food and we had chosen Domus at that night. After being there we believe was a very good choice. The food was perfectly cooked, the materials fresh and the service was excellent. We will definitely be going back.",Domus Lounge Bar,Review 140 Similarity,0.454545455,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.9741}",0.9741,pos
75,50,"If i was to get married again, this would be a good place to propose. Very weird ambient, you feel like you are in a movie",Domus Lounge Bar,Review 35 Similarity,0.45226701700000005,"{'neg': 0.073, 'neu': 0.73, 'pos': 0.197, 'compound': 0.5279}",0.5279,pos
76,30,"Food was nice but a bit expensive we would say. Environment was romantic, music was lovely, service was really good.. it worths a visit!",Domus Lounge Bar,Review 43 Similarity,0.45226701700000005,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.8988}",0.8988,pos
77,50,Excellent food and service..One of the best restaurants in Cyprus! Great for special occasions..I always enjoy going at Domus winter and summer time!,Domus Lounge Bar,Review 55 Similarity,0.45226701700000005,"{'neg': 0.0, 'neu': 0.493, 'pos': 0.507, 'compound': 0.9611}",0.9611,pos
78,50,This is a VERY good restaurant...prices are on the high side. Love the atmoshere.,Domus Lounge Bar,Review 135 Similarity,0.45226701700000005,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.8452}",0.8452,pos
79,50,"I visited Domus few days ago with friends. I was having difficulties in choosing my meal and (luckily enough) in the end I followed the chef's recommendation for a salmon burger. It was an excellent meal, light and at the same time very tasty! I loved the combination of the ingredients. I also followed the owner's recommendation for my wine which was indeed amazing!Atmosphere is lovely, cozy and elegant at the same time. Music is at the right volume so that it doesn't distract conversations. I'm definitely going there again, I'm very curious to try their risotto which from what I've heard from friends has a very good reputation!Absolutely recommended, for a date, a night with friends or even a business meeting!",Domus Lounge Bar,Review 113 Similarity,0.44997704299999997,"{'neg': 0.016, 'neu': 0.713, 'pos': 0.271, 'compound': 0.9877}",0.9877,pos
