,r_points,r_text,place,No of review,cosine sim,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,scores,compound,score
340,10,"When you hear Hilton you expect luxury and enthusiasm!Well not this time don't get fooled by the name and the flashy sing from the outside. The room is not a 4 star hotel and definitely not 200 Euro euros per night. Our visit to Hilton park was combined with a business seminar we had at the hotel. The venue of the seminar I can say it was well organised and everything looked clean and fresh. A little bit cold outside for a smoke and no heating at all. After the seminar we went to the Reception to check in. The receptionist was bored and he didn't give us any information at all, not even about breakfast time. He's concern actually was that we were 2 girls and there was a king bed in the room, and he said that with the offensive way. He gave us the keys to the room in a small envelop that my grandfather use when he attends to weddings. Well we had something to laugh about but that ended when we enter our room. No balcony,both of us were smoking. We called Reception and the bored receptionist said that the hotel was full and there were no rooms with balcony available. We checked online and there were many rooms available and there was no people in the morning. Next to that the bathroom is old and I had the feeling i was in a hostel or a campus. Around the drain of the bath there was rast and the bath towels looked old and overused. The room was very big but with old furniture which were just repainted. I wanted to leave but my friend was tired so as I and we decided just to sleep to rest and leave early in the morning. Tip check the mini bar when you first go to your room, there was a used milk bottle which I mentioned it to the morning receptionist and reassured me it shoulshouldn't be like that.Fist and last time am visiting this hotel. Very disappointed.",Hilton Nicosia,,,Review 373 Similarity,0.33946737,Review 288 Similarity,0.46666666700000003,"{'neg': 0.085, 'neu': 0.853, 'pos': 0.062, 'compound': -0.8502}",-0.8502,neg
345,10,"With the name Hilton, I expected so much more..total disappointment and no comparison to the more centrally located Hilton, also in Nicosia. From the meal, which doesn't come cheap where we were served our main meal, prior to the appetiser which we had to ask for, and which arrived 15 minutes later...to the wine poured in my water glass and filled 3/4 of the way up. When we asked how we were going to try it, we were shown the bottle and told this was what we ordered. Retiring to the room, and calling room service thinking moet & chandon, on the menu at 85euros, we were told, we have pro secco... have written to the manager and directors of Hilton...am far from satisfied!!!",Hilton Nicosia,,,Review 601 Similarity,0.20701966800000002,Review 489 Similarity,0.447213595,"{'neg': 0.052, 'neu': 0.927, 'pos': 0.022, 'compound': -0.5913}",-0.5913,neg
365,20,Too expensive. The water at the showers was not hot enough and the worst thing was that they woke us up 3 times during the day to bring a bottle of water (which we didn't ask for) or to clean up the room. Terrible!,Hilton Nicosia,,,Review 105 Similarity,0.188982237,Review 502 Similarity,0.40824829,"{'neg': 0.152, 'neu': 0.793, 'pos': 0.055, 'compound': -0.6996}",-0.6996,neg
378,40,My room had a view of the patio/pool area which was nice- much better than looking out a window at the surrounding buildings as they are nothing special. Room was very clean and only faults would be lousy selection of TV(not that I watch it much) and having to continually ask for a Washcloth- I don't feel this is something one should have to ask for at a Hilton . Plenty of cafe/coffee shops nearby.,Hilton Nicosia,,,Review 587 Similarity,0.267261242,Review 424 Similarity,0.384900179,"{'neg': 0.111, 'neu': 0.779, 'pos': 0.109, 'compound': -0.0426}",-0.0426,neg
439,10,"Basically we were a little dissapointed. We arrange to spend our day there but when we got there things changed!!!First of all the receptionist was missing the most of the time we were there and we were searching for someone but nobody was there. No other clients was there to disturbed her for any other reason. They didnt gave us slippers or shampoo conditioner, hair hat etc things that a spa must give to each client that visits the facility. Second the spa was dirty. Third reason i didnt like it was because technicians etc we were walking wearing there snickers inside the spa swimming pool area. The massage was below average. Sauna is inside the lockers of the gym which is located in the above floor. So to use it you have to go as you are wet and cold from the stairs and pass from the gym locker room. steam room was dirty too. Swimming pool was dirty. I cannot find a single thing to make me go back again. Too bad because is one of the most prestigious hotels in Nicosia....:(",Hilton Nicosia,,,Review 109 Similarity,0.276026224,Review 402 Similarity,0.298142397,"{'neg': 0.144, 'neu': 0.856, 'pos': 0.0, 'compound': -0.9832}",-0.9832,neg
473,40,"One of the few decent business hotels in town. Experienced personnel,well equipped meeting rooms,quite good service. A lot of chouces according to customers needs. Food quality has been degrated recently probably due to competion and the crisis.",Hilton Nicosia,,,Review 608 Similarity,0.478091444,Review 48 Similarity,0.25819889,"{'neg': 0.1, 'neu': 0.829, 'pos': 0.071, 'compound': -0.296}",-0.296,neg
476,30,"Good for resident's events ,bad for travelers.Yes ,the rooms are big and comfortable ,the breakfast is excellent ,-(and so the personnel ) ,but that isn't enough to justify a horrifying price of 150 euros per night .Getting the right address on the invoice can take ages ,they simply charged us the total on the credit card which we gave via booking.com in case of cancellation only ,and they don't supply customers with water !!! They offer a bottle the first night and that's it ,we had to fight for a basic human right ,drinking water! This privilege is reserved for platinum guests only ! Can you believe it ?",Hilton Nicosia,,,Review 379 Similarity,0.358568583,Review 233 Similarity,0.25819889,"{'neg': 0.106, 'neu': 0.776, 'pos': 0.118, 'compound': -0.453}",-0.453,neg
535,40,"The hotel is a quiet area, the lobby and the bar have plenty space, rooms most of them are large, quiet, but nothing special. Generally speaking the quality is lower than hilton Nicosia but also the price is lower. People are polite, breakfast is acceptable. There is gym and spa.",Hilton Nicosia,,,Review 527 Similarity,0.283473355,Review 398 Similarity,0.204124145,"{'neg': 0.15, 'neu': 0.779, 'pos': 0.071, 'compound': -0.6691}",-0.6691,neg
564,50,"I just spent a few days in Nicosia and stayed in this hotel where the quality of service, the staff attention to all guests were second to none. I would definitively recommend this hotel to business travellers to Cyprus.",Hilton Nicosia,,,Review 393 Similarity,0.35634832299999997,Review 258 Similarity,0.18257418600000003,"{'neg': 0.057, 'neu': 0.943, 'pos': 0.0, 'compound': -0.2755}",-0.2755,neg
666,20,They have messed up our reservation. We booked and prepaid 3 rooms and they made a mistake and booked just one.They wanted to send 2 of us at the hilton cyprus. After we protested they gave us 3 rooms at the hilton cyprus.To do this they needed 1 hour.At the hilton cyprus they gave us rooms and said we have to change room the next day...HILTON??? WHAT ARE YOU DOING? HAVE YOU LOST IT?,Hilton Nicosia,,,Review 644 Similarity,0.052414242,Review 568 Similarity,0.11322770300000001,"{'neg': 0.137, 'neu': 0.863, 'pos': 0.0, 'compound': -0.8516}",-0.8516,neg
715,10,"The hotel in general is very nice, it's clean and well maintained. There is plenty of parking and the swimming pool is really nice. I have been here many times and had a good time.The downside is the lifeguard , wow this guy is incredibly rude and hasA terrible attitude. He has no idea how to treat customers and he really lets the hotel down. He was rude to me and just before I left i heard him being very rude to a heavily pregnant lady who had dropped in to see guests , she had sat down for a second and he was demanding she paid for the Sunbed. The lady explained she was not staying and had only dropped by to see a friend for 5 minutes. He continued to be very rude to this lady.I found his behaviour to be totally unacceptable and to treat a heavily pregnant lady this way is absolutely shocking. Shame on you Hilton Hotel !!!!!",Hilton Nicosia,,,Review 460 Similarity,0.440958552,Review 106 Similarity,0.0,"{'neg': 0.173, 'neu': 0.688, 'pos': 0.138, 'compound': -0.7687}",-0.7687,neg
731,40,"I am staying at the hotel every week due to professional reasons. The hotel is nearby my job, it is comfortable and clean. I think they have to pay more attention to their food, I am not satisfied with the quality of the food. The staff is very polite and they provide an immidiate solution to every problem. they have very nice rooms with a poolo view but the only problem is the middle door between different rooms.",Hilton Nicosia,,,Review 668 Similarity,0.40089186299999996,Review 179 Similarity,0.0,"{'neg': 0.101, 'neu': 0.805, 'pos': 0.094, 'compound': -0.1455}",-0.1455,neg
773,20,Not up to standard for a Hilton hotel especially for the price. The front desk staff were not helpful or friendly. Lounge staff on the other hand were exceptional and extremely helpful and efficient .,Hilton Nicosia,,,Review 235 Similarity,0.322329186,Review 331 Similarity,0.0,"{'neg': 0.175, 'neu': 0.674, 'pos': 0.151, 'compound': -0.0073}",-0.0073,neg
782,10,The staff were laughably incompetent. They could not help with the billing rates applied to conference attendees. They did not even know how to get from the hotel to the airport. The rooms were incredibly humid to the point it was uncomfortable. Access to the hotel was incredibly difficult for most of my stay do to construction in front of the hotel.,Hilton Nicosia,,,Review 625 Similarity,0.3086067,Review 361 Similarity,0.0,"{'neg': 0.154, 'neu': 0.815, 'pos': 0.031, 'compound': -0.8201}",-0.8201,neg
785,20,"Moved to this hotel after a night at the other hilton in Nicosia. This one is much worse, food is terrible, staff are very rude and un helpfull, treated like second class citizens, not recomended, you would be better elsewhere, hotel rooms are dated and need refurb, prices are extorsionate, not a pleasant stay, this is the second Hilton in 2 days, never again.",Hilton Nicosia,,,Review 402 Similarity,0.296499727,Review 376 Similarity,0.0,"{'neg': 0.168, 'neu': 0.758, 'pos': 0.074, 'compound': -0.7779}",-0.7779,neg
797,10,"Don't book if you need to sleep at night. There's a party inside the hotel and allthough the concierge said he would talk to someone I m lying in bed in need of some sleep and it's absolutely loud.Das durchaus schöne Hotel nützt nichts, wenn man nicht schlafen kann.",Hilton Nicosia,,,Review 347 Similarity,0.267261242,Review 415 Similarity,0.0,"{'neg': 0.068, 'neu': 0.878, 'pos': 0.054, 'compound': -0.1779}",-0.1779,neg
810,20,"Wè are staying here for business purpose but i wouldn't consider it as five star hotel at all. Hotel is under the level of expectations. Internet costs a lot! 72 min. for 30 Euros! A receptionist lady didn't apply my honour application for card (which let customers to use internet for free) so they asked me to pay 54 euros! İt was really frustrating. İ would encourage you to prefer another hotel, if you really seek 5 star experience.",Hilton Nicosia,,,Review 513 Similarity,0.253546276,Review 440 Similarity,0.0,"{'neg': 0.126, 'neu': 0.818, 'pos': 0.057, 'compound': -0.7111}",-0.7111,neg
831,30,I travel to cyprus on business every 6 weeks and have been doing so for 7 years now. The two Hiltons are the only decent hotel options if you have to stay in Nicosia and both are equidistant to my office.What grinds my gears the most is that I must have stayed in both hotels probably 25 nights now and yet they never even acknowledge my previous visits.The Hilton Park is a reasonable 3 star with the plus side of a decent but busy gym. Food options aren't great and there isn't really a bar. Parking ample though for the hire car.Would I stay here again? Sadly I probably have to....,Hilton Nicosia,,,Review 539 Similarity,0.20701966800000002,Review 488 Similarity,0.0,"{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.8458}",-0.8458,neg
853,30,"Rooms' furniture, flooring and toilet are really old and need refurbishment. Toilets accessories are low quality and incomplete, low quality shampoo and shower gel, no shaving and dental kits. Location is convenient, emnities are great. Needs also to offer at least one complementary bottle of water.",Hilton Nicosia,,,Review 421 Similarity,0.15430335,Review 537 Similarity,0.0,"{'neg': 0.122, 'neu': 0.8, 'pos': 0.078, 'compound': -0.0772}",-0.0772,neg
865,40,"Nice spacious rooms. We'd requested interconnecting rooms which at first we didn't get, but they quickly switched us.In August they were a bit limited on dining options (Nicosia partially shuts down in August), but we did get dinner. We would have headed into the city for dinner but after wandering around for the afternoon with two young kids in 40 degree heat we didn't feel like going out again!",Hilton Nicosia,,,Review 604 Similarity,0.101015254,Review 558 Similarity,0.0,"{'neg': 0.073, 'neu': 0.9, 'pos': 0.026, 'compound': -0.5279}",-0.5279,neg
874,10,Food was not nice and very expensive. it was not even warm. service was very slow. I would never go to that place again!,Jamies Italian,,,Review 173 Similarity,0.204124145,Review 261 Similarity,1.0,"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.509}",-0.509,neg
885,10,I was as disappointed in Cyprus as in London with the quality of food and service. It was practically cold by the time it got to the table and was a ling wait. The.price is hefty too for the whole experience.,Jamies Italian,,,Review 102 Similarity,0.204124145,Review 256 Similarity,0.5,"{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.4767}",-0.4767,neg
901,20,"Very nice enviroment and pretty friendly and attentive staff. However, the food was really bad. We had a tomato bruscetta as starters and they were ok. The Italian beef was the worst dish ever. A horribly leathery peace of meet with a dry and tasteless coleslaw and strange tasting fries. The rib eye steak was served without anything else but fries, tasteless and boring. The pasta of the day was hard and dry, obviously prepared much earlier and with no taste of garlic or chili as advertized. How can Jamie Oliver give his name to food as bad as this?",Jamies Italian,,,Review 242 Similarity,0.492365964,Review 20 Similarity,0.45226701700000005,"{'neg': 0.181, 'neu': 0.712, 'pos': 0.107, 'compound': -0.8638}",-0.8638,neg
905,20,"The food in this restaurant is of good quality but the same is not true as far as service is concerned. Waiting times are rather long, and in my case a different plate was served from the one I had ordered. The prices are rather high as well...",Jamies Italian,,,Review 15 Similarity,0.36514837200000005,Review 119 Similarity,0.447213595,"{'neg': 0.061, 'neu': 0.899, 'pos': 0.04, 'compound': -0.2612}",-0.2612,neg
