,r_points,r_text,place,No of review,cosine sim,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,scores,compound,score
13,50,I ever had. Service was very nice. Food was freshly cooked. Staff was very friendly. Atmosphere is nice. Parking is not that good. Best sesame chicken.,Akakiko,Review 19 Similarity,0.503952631,,,,,"{'neg': 0.163, 'neu': 0.564, 'pos': 0.273, 'compound': 0.6}",0.6,pos
14,50,"Excellent service, the staff was very polite, cozy atmosphere with relaxation music!!! The quality of the food was perfect and very well decorated!!! Recommend it to everyone who loves japanese cuisine!!! There are plenty of choices in food as well as drinks!",Akakiko,Review 101 Similarity,0.503952631,,,,,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.9726}",0.9726,pos
15,30,"The food was good in Akakiko. The place is informal and agreeable. The service was hopelessly efficient. What do I mean? We asked that individual dishes come in a series. Instead all was dumped on our table within seconds of each other, which made a nonsense of a meal. The impression was of an management attitude 'you order, we bring, we forget you until you want a bill'. If this suits you, this is a decent place. If you want a pleasant, prolonged meal, go somewhere else.",Akakiko,Review 113 Similarity,0.503952631,,,,,"{'neg': 0.11, 'neu': 0.72, 'pos': 0.17, 'compound': 0.5859}",0.5859,pos
16,40,"This is Japanese-esque. The sushi is I guess ok (yo sushi quality) and the sashimi a bit better-but there is no finesse at all from how the fish is cut to how the rolls are made. The hot food is a bit greasy so order and eat with care. Saying all that, it is a large spacious place, always bustling and busy and the service is good too. And I am happy to go there whenever I am in Cyprus.",Akakiko,Review 246 Similarity,0.503952631,,,,,"{'neg': 0.051, 'neu': 0.807, 'pos': 0.142, 'compound': 0.8271}",0.8271,pos
17,40,"The place is good and can definitely boast their customer service. The menu is long and everyone will find something to satisfy their taste. I'd say that the place is a bit too pricy but then again, the atmosphere is of an expensive restaurant.",Akakiko,Review 255 Similarity,0.503952631,,,,,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.5859}",0.5859,pos
18,50,Its a great restaurant with the most delicious japnese food. Its a modern restaurant with a locely design and which offers food daily for lunch and dinner. Their makis are exquisite and so are their warm dishes. Lately they have added new deserts which are delicious. Depending on your budget you can find the relevant food to order from cheap up to expensive.,Akakiko,Review 205 Similarity,0.48795003600000003,,,,,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.9354}",0.9354,pos
19,40,"Visit restaurant with family. Sushi platter we ordered was nice and tasty, service was good. Atmosphere was nice but too noisy because were many people in the place. Suggest a reservation before going.",Akakiko,Review 99 Similarity,0.478091444,,,,,"{'neg': 0.057, 'neu': 0.782, 'pos': 0.161, 'compound': 0.4019}",0.4019,pos
20,40,Very nice restaurant to have your sushi. Very good prices. Nice atmosphere. Very good service. They have also a very nice bar with good cocktails,Akakiko,Review 167 Similarity,0.472866244,,,,,"{'neg': 0.0, 'neu': 0.489, 'pos': 0.511, 'compound': 0.9573}",0.9573,pos
21,20,"Poor service mediocre food.We had a reservation for 12 people. Things started off badly as drinks took avery long time arriving. I can understand that it takes some time to make a cocktail but a beer or water shouldn't take more than 10 minutes to arrive.As there were so many of us we split into groups of four, to help the staff and to make ordering easier. When our food arrived it was all jumbled together. All the sashimi ordered was on one platter, orders one group had ordered were given to another. In short a complete mess.Food was very hit and miss. The tuna was frozen, the scallops were great. No consistency.To make amends they offered us free dessert and a discount which we appreciated however we had one final problem. We asked to split the bill into 3 equal portions (to pay by card) but they informed us that you can't split the bill into equal portions but can only split it by paying for specific items.Overall a disappointing night. Not sure if it would have been better with less people but based on last night I wouldn't visit again.",Akakiko,Review 104 Similarity,0.472455591,,,,,"{'neg': 0.098, 'neu': 0.783, 'pos': 0.119, 'compound': 0.8612}",0.8612,pos
22,30,The ambience is nice . The attenders were very good and their approach was exemplary The quantity of food also was good.But the prawns served was not okay as a stale taste was there. One of the server said that during this season the taste of prawns is like that which was not convincing at all.,Akakiko,Review 44 Similarity,0.46291005,,,,,"{'neg': 0.064, 'neu': 0.798, 'pos': 0.138, 'compound': 0.6777}",0.6777,pos
23,50,"Excellent food, excellent service and professional personel! Reasonably priced and pleasant ambiance Highly rrecommend commended!",Akakiko,Review 56 Similarity,0.46291005,,,,,"{'neg': 0.0, 'neu': 0.432, 'pos': 0.568, 'compound': 0.9378}",0.9378,pos
24,50,"Excellent service, delicious food, friendly staff and great atmosphere!!! Would definitely recommend it for lunch and dinner.",Akakiko,Review 58 Similarity,0.46291005,,,,,"{'neg': 0.0, 'neu': 0.346, 'pos': 0.654, 'compound': 0.9673}",0.9673,pos
25,40,"One of the four or so restaurants in the Hilton Park Nicosia is the Akakiko. The menu offers a variety of fresh sushi, sashimi and maki, complemented by delicious hot dishes such tempura and teppan styles.I had the vegetable dim sum starter (5 pcs/€5.50) served in a bamboo steamer. I usually like my potstickers fried but don’t mind them steamed. The was followed by the ebi (shrimp/prawn) maki (stuffed seaweed roll, 12pcs/ €12) and the California temaki, a small seaweed cone (€4.40) stuffed with prawns, avocado, cucumbers, and crabsticks. Although a Japanese restaurant, I ordered a local beer (Keo, 330ml/€5.50) as I prefer to try the local brew when I travel.The offerings were tasty and the service was fast and efficient with no mistakes in my order.",Akakiko,Review 127 Similarity,0.46291005,,,,,"{'neg': 0.047, 'neu': 0.878, 'pos': 0.074, 'compound': 0.34}",0.34,pos
26,40,"Very good menu selection of the tastiest sushi I've encountered (it should be something to do with the rice preparation which doesn't clog dry your throat as in the rest of the sushi places I've been to...) but also offers near perfect vegetable, fish or meat warm dishes. This restaurant chain which for me turned out to be a gem in this city, is well established as a better quality restaurant for a considerable amount of years now, but only lacks in a couple of things, the decor, which is between taverna and beach bar, and the long waiting for food preparation (if ordering warm food). The staff is well prepared and quite professional, not casual. Overall, the dining experience is great. Prices match the food.",Akakiko,Review 153 Similarity,0.46291005,,,,,"{'neg': 0.016, 'neu': 0.782, 'pos': 0.202, 'compound': 0.9792}",0.9792,pos
27,40,"Really good dishes, excellent seaweed salad. We love the sushi and maki platters and much more. Better service is needed though. I also believe the management should reconsider the prices too.",Akakiko,Review 158 Similarity,0.46291005,,,,,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.9387}",0.9387,pos
28,40,I tried the quick lunch with a group of friends on a working day. I was pretty satisfied with the portions and quality of food. The only problem was that they were really late to bring the main course .. We were waiting for half an hour for the first plate and after that they brought the rest of the plates every five minutes.. which means the first 2 plates were cold and non edible... Our lunch break was finished - since we waited for so long - so we took most of our food 2 go. The good thing was that they gave us a discount for the delay..,Akakiko,Review 170 Similarity,0.46291005,,,,,"{'neg': 0.024, 'neu': 0.867, 'pos': 0.108, 'compound': 0.8519}",0.8519,pos
29,30,"Had a business lunch with some quests that wanted to try Asian cuisine.I had been there myself before and I liked it but this time around it wasn't so nice.Service was merely there.Food below standards. Sushi was very fancy (decoration) but not much taste and the quantity very little.Noodle dishes , we tried the yaki soba,Was tasteless. A noodle dish with salmon was Ok.The sashimi platter we had was very very very little. Small pieces of sea bass. Salmon was Ok.",Akakiko,Review 173 Similarity,0.46291005,,,,,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.5719}",0.5719,pos
30,40,at akakiko you can combine going out to a restaurant and a lounge bar at the same time. the ambiance is nice and the food really good. a bit expensive though.,Akakiko,Review 176 Similarity,0.46291005,,,,,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.7178}",0.7178,pos
31,40,This place has been getting better as the years go by. They change their menu regularly and every time have managed to come out with some new things that are really tasty. Service and prices are good and you will certainly enjoy your meal here.,Akakiko,Review 278 Similarity,0.46291005,,,,,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.886}",0.886,pos
32,50,Lovely meal there with very good service and friendly staff. The price was very reasonable and the staff very friendly. The only minus was the tiny table for 2 although must admit didn't feel too squashed as there was a side table. 10/10,Akakiko,Review 306 Similarity,0.46291005,,,,,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.9348}",0.9348,pos
33,40,The sushi here it tastes nice. Big selection of sushi to choose from. Nice salads. Clean restaurant and very good service. The only negative i have to say is a bit overpriced.,Akakiko,Review 72 Similarity,0.45584230600000003,,,,,"{'neg': 0.092, 'neu': 0.622, 'pos': 0.286, 'compound': 0.7778}",0.7778,pos
34,40,"It is located in central Nicosia and easy to find.The food is excellent! There is a great variety of plates, especially sushi! If u are a sushi-lover u'll appreciate this restaurant.The prices are normal, as long as u know what to order.The atmosphere is ideal for couples but also friends groups.Some times the service is not in its best, but u can't have it all!!I will definitely go again!!!",Akakiko,Review 332 Similarity,0.45584230600000003,,,,,"{'neg': 0.057, 'neu': 0.697, 'pos': 0.246, 'compound': 0.9219}",0.9219,pos
36,50,"I have been a weekly customer of Akakiko for many years, always finding the food to be fresh and cooked to perfection. The selection of sushi, maki and sashimi is excellent and at reasonable prices. Although I am more of a sushi person, I have been recommended some warm dishes on some occasions and the taste is unique. The Korean chicken is to die for!I am quite surprised with some of the comments below as I have never had an issue with the service or the quality of food. Yes, Makarios Avenue no longer has the hype it used to, but Akakiko is the reason I keep coming back.Keep up the good work!",Akakiko,Review 324 Similarity,0.44543540299999995,,,,,"{'neg': 0.035, 'neu': 0.82, 'pos': 0.146, 'compound': 0.8759}",0.8759,pos
37,50,"Very nice setting with a large variety of food to choose from! Excellent dishes, delicious and well presented, with fresh ingredients and in very good prices! The service was very good also! Their lunch deal for 8,90 is great also! We had the caramel dessert also which was one of the best desserts we had, absolutely delicious! They have a nice wine selection with good prices also (e.g. 16,50 for Kyperoundas winery roze wine!) Great experience and a place to visit if you like asian cuisine!",Akakiko,Review 131 Similarity,0.44474959,,,,,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.9933}",0.9933,pos
38,30,"I have been to Akakiko several times but my last time proves that you cannot count on this place to be reliably good. I am all for giving a place second and third chances but the haphazardness of the quality of service must be noted as it ranges from excellent to very bad and everything in between. The food is good, nothing stellar but decent if you do not have many expectations for a sushi place in a taste and experience- wise super-conservative country. The prices are ok -- we paid 25 euros per person (group of 4) for a shared starter plate, main dish and one bottle of wine. It is not great but everything is overpriced in Cyprus so I am noting this in context. The location is also good as it is very central and there is plenty of parking. The outside part is also nice in the summer-- it is cosy and the feeling of being on top of a building adds atmosphere-- although it could seriously use some fans on a hot and humid night, which are the majority of summer nights in Nicosia. Where this place seriously lacks is the quality of service. The staff is nice but, even if one excuses their not knowing Greek, it is hard to excuse their lack of knoweldge about the dishes. They were willing to find out of course but we got the feeling that they just did not want to be there and we simply created trouble for them. We had to ask for water several times, they kept forgetting to bring it. and the extra ginger we ordered never came. Then, while waiting for someone to come and ask us about coffee and dessert, we simply got the bill (!) even though we did not ask for it! This really cut our night out short.",Akakiko,Review 329 Similarity,0.44105427700000005,,,,,"{'neg': 0.075, 'neu': 0.784, 'pos': 0.141, 'compound': 0.973}",0.973,pos
39,40,"Good food, convenient location, friendly staff, recommend dragon maki rolls na d thai chicken. Value for money",Akakiko,Review 12 Similarity,0.43643578,,,,,"{'neg': 0.0, 'neu': 0.522, 'pos': 0.478, 'compound': 0.875}",0.875,pos
40,50,"Food was good with great portions. A young employee tutored by a more experienced one served us together and they were both friendly and helpful, making sure nothing was missed on our order.When I accidentally threw away my rating voucher card, another employee along with the tutoring one had no problem replacing it for me and my girlfriend.Keep up the awesome work guys.",Akakiko,Review 13 Similarity,0.43643578,,,,,"{'neg': 0.093, 'neu': 0.636, 'pos': 0.271, 'compound': 0.9324}",0.9324,pos
41,20,Average service and too expensive for fancy decorated sushi. Nice ambience and convinient location next to Hilton hotel.,Akakiko,Review 96 Similarity,0.43643578,,,,,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.4215}",0.4215,pos
43,50,The restaurant is ver modern clean and tidy.The food is very tasty and served in a nice way on the plate.They do not take long at all to do your order.Could be a little less pricy,Akakiko,Review 110 Similarity,0.43643578,,,,,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.6705}",0.6705,pos
45,50,We had no reservation and although the restaurant was full with people they found us a table. Our waitress was very polite with a smile on her face. She had excellend knowledge of the whole menu and she advised us for our choices. The food was very tasty and well cooked. I will go again for sure!!!,Akakiko,Review 146 Similarity,0.43643578,,,,,"{'neg': 0.036, 'neu': 0.826, 'pos': 0.137, 'compound': 0.7272}",0.7272,pos
46,50,We went last night with my husband for dinner. We had no reservation and although the restaurant was full with people they found us a table. Our waitress was very polite with a smile on her face. She had excellend knowledge of the whole menu and she advised us for our choices. The food was very tasty and well cooked. I will go again for sure!!!,Akakiko,Review 151 Similarity,0.43643578,,,,,"{'neg': 0.032, 'neu': 0.849, 'pos': 0.119, 'compound': 0.7272}",0.7272,pos
47,30,"Been going to Akakiko for years, and about twice a month over the last couple of years. Recently our favorite salad, the spicy tuna salad has been reduced to about half its usual size... Not sure whether this is a weekend thing, as most of our visits have been on weekends, but we get half the tuna for the same price.Otherwise, food is good would suggest the Kamo Shima (fried duck with vegs and rice) the candlestick maki, and the California maki.",Akakiko,Review 242 Similarity,0.43643578,,,,,"{'neg': 0.018, 'neu': 0.913, 'pos': 0.069, 'compound': 0.6563}",0.6563,pos
48,40,"Very busy, obviously the 'in' place. Were seated at bar counter, but was a high counter. Food good. Not very romantic!! Quite rushed.",Akakiko,Review 284 Similarity,0.43643578,,,,,"{'neg': 0.116, 'neu': 0.723, 'pos': 0.16, 'compound': 0.3008}",0.3008,pos
49,50,We had a family Sunday lunch at Akakiko in Nicosia. We ordered a variety of dishes including sushi and deserts. Everything was really very good at reasonable prices and the service was excellent.,Akakiko,Review 40 Similarity,0.428571429,,,,,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.8004}",0.8004,pos
50,40,Pros: Great food Great service Okay prices Lovely decor Cons: There is really nothing I can think of!!!,Akakiko,Review 46 Similarity,0.428571429,,,,,"{'neg': 0.0, 'neu': 0.468, 'pos': 0.532, 'compound': 0.9411}",0.9411,pos
51,50,Good delivery time and well packaged food. Food was delicious worth it for a nice evening at home. Highly recommended,Akakiko,Review 133 Similarity,0.428571429,,,,,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.9259}",0.9259,pos
52,50,"Yummy sushi! And great service. This restaurant gave me desserts, drinks, bottle of wine, and sushi rolls ON THE HOUSE!!!",Akakiko,Review 220 Similarity,0.428571429,,,,,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.8647}",0.8647,pos
53,50,"Nice environment, good quality food, a bit expensive. There is a good offer for lunch applicable until 16:00 daily.",Akakiko,Review 235 Similarity,0.428571429,,,,,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.8225}",0.8225,pos
54,50,The atmosphere of the restaurant is great as well as the food yet you have to read carefully and seethe signs which indicate food are spicy or mild.,Akakiko,Review 258 Similarity,0.428571429,,,,,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.7717}",0.7717,pos
55,50,I advise Akakiko anyone visiting Cyprus or living in Cyprus. Great food great service with fair price.,Akakiko,Review 322 Similarity,0.428571429,,,,,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.8885}",0.8885,pos
56,40,Good place with a very elaborate menu & good ambiance. Good staff. Food was good but nothing special.,Akakiko,Review 184 Similarity,0.42257712700000005,,,,,"{'neg': 0.132, 'neu': 0.501, 'pos': 0.367, 'compound': 0.4899}",0.4899,pos
58,30,"I've been visiting this restaurant a few times now. The food is really good and you have a nice variation of dishes.If you come at lunch time, they have a ""lunch Manu"" which provides great value for your money!The only down side witch sadly is a real con - it takes them a really long time to bring you your food...",Akakiko,Review 124 Similarity,0.419313935,,,,,"{'neg': 0.079, 'neu': 0.73, 'pos': 0.191, 'compound': 0.8169}",0.8169,pos
59,50,"I do not understand why this restaurant is not listed in the absolute top of the Nicosia restaurant scene. I live in London and love my sushi and am convinced this restaurant can compete AND outperform many of the restaurants back home and sushi restaurants I have visited in Miami and NYC. Let me tell you why….In a nutshell: It is creative, delicious and delivers consistent quality on whatever you order! A rare combination if you ask me.Normally you might have your favorites if you order different maki rolls but what surprised me was that even though we tried many different dishes on the menu … all of them tasted as a minimum ""good"" and most of them were super tasty! The chefs are clearly trying to push the boundaries. Yes; you can go with the 'safe' options but i really encourage you to be a bit more daring ….. go off the beaten path and order something different. You will not be disappointed! Who could ever imagine that a Mango-maki or deep fired crab stick and smoked aubergine maki (yum!) could taste so delicious :). Or the Black Rain. It is all delicious, freshly prepared and portion-sizes are generous.And you know what the best thing is? I've only spoken about the sushi part. Where i think this restaurant really excels is on the hot plates. Especially the hot starters taste amazing! Pop Corn Shrimp, Peking Duck spring rolls or the Pork Buns .. all were yummy! We were so happy we were with a big group so we could try them all.In summary: Akakiko clearly tries to make you taste something different, something new! And whereas some places go over the top and create dishes that are not well balanced, here the balance is totally right. You wait in anticipation what the next dish will deliver. And you get to enjoy a nice setting where service is professional and friendly. So if you feel like sushi; don't miss out and find your way over!",Akakiko,Review 275 Similarity,0.40824829,,,,,"{'neg': 0.027, 'neu': 0.71, 'pos': 0.263, 'compound': 0.9984}",0.9984,pos
60,50,"A very good restaurant with flavors from asia, very well cooked , great diversity in the menu, good atmosphere, but book a table before you go. Nicosia has very good restaurants, akakiko is one of them.",Akakiko,Review 280 Similarity,0.404061018,,,,,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.897}",0.897,pos
62,10,"Arrived without a booking to a restaurant that was almost empty, was asked if we had booked, when we said no they put us on a table next to the waiters station.This was our first time at Akakiko, and when we asked the waiter about certain food on the menu, he was not keyed up at all as to the dishes.THE FOOD.The steamed prawn dumplings were soggy and tasteless, you could tell that the prawns were not fresh, the sushi was also somewhat tasteless and also so soft you could barely pick it up with the chopsticks, the worst dish was what they called a Thai Beef Curry, which was again absolutely tasteless and had no sign of curry as a taste nor any taste of Thailand, hmmmmmmm wonder if the owner has any idea of what oriental food tastes like.SUMMERYif your looking for oriental authenticity and to enjoy a good sushi, then don't bother, go to one of the chains that do it and you will not be disappointed.AKAKIKO has pleasant surroundings and gives you the impression that you will be wowed, forget it, do not expect anything special at all.Over priced what you expect to get.I would not go again",Akakiko,Review 144 Similarity,0.40291148200000004,,,,,"{'neg': 0.08, 'neu': 0.832, 'pos': 0.088, 'compound': 0.5587}",0.5587,pos
63,50,This restaurant serves high quality Asian food. We have been in this place countless times... Sushi menu has many options to choose from and its freshly prepared with nice decor....the standard of the food is always high and service is quick and friendly even in busy times....the place is modern and has nice background music...This place is always busy so it's best to book in advance....,Akakiko,Review 189 Similarity,0.40291148200000004,,,,,"{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.9346}",0.9346,pos
64,50,"It is not the first time I’m visiting this place and I am always pleased. Tasty food, nice service and pleasant place. I recommend",Akakiko,Review 94 Similarity,0.40089186299999996,,,,,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.8885}",0.8885,pos
65,50,"The setting is perfect, the food is delicious and we really had a great time.. After my visit there I even ordered delivery via the web.. The response was immediate and even in delivery the food was excellent! Don't miss this restaurant and of course don't miss the avocado soy sprout salad, the katsu scallop maki and the spider maki!!",Akakiko,Review 178 Similarity,0.40089186299999996,,,,,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.9598}",0.9598,pos
66,40,"A very good reason to visit Akakiko is the delicious sushi they serve. It is always freshly prepared and nicely presented. The quality of their other Asian dishes is not so consistent however, especially when you use the delivery service. Staff are attentive and the decor of the place is quite modern.",Akakiko,Review 200 Similarity,0.40089186299999996,,,,,"{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.8932}",0.8932,pos
67,40,"Although Nicosia is not famous for its Asian cuisine, I can safely say that Akakiko is the best. It's quite pricey and the staff could be friendlier, but the overall experience and actual food is very good. The sushi is especially good and there are lots of other choices, from meat to poultry to vegetarian.",Akakiko,Review 210 Similarity,0.40089186299999996,,,,,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.9358}",0.9358,pos
68,40,nice place with good food but the service is very slow very nice sushi and platters value for money nice atmosphere but a little bit noisy,Akakiko,Review 271 Similarity,0.390360029,,,,,"{'neg': 0.047, 'neu': 0.543, 'pos': 0.41, 'compound': 0.9139}",0.9139,pos
69,40,"We visited Akakiko for the first time in their new address, Friday night. It was full but luckily we had a reservation. I had called in the afternoon to reserve and there was only available at 10:00 pm.Welcoming and seating was sort of impersonal as a fisrt impression but later on service was at high standards. There was some delay bringing the main course but acceptable considering the restaurant was crowded.Our starters were tasty, the best spring roll I've ever had filled with duck served with sauce and 2 pices of sushi. Our main courses were Seafood In Miso Teppan and Sesame Chicken. The first one was very tasty and well cooked , we didn't really like the Chicken as it was not crunchy outside and soft inside as I had expected, nor the sauce of it was something special. Presentation was nice for both dishes, accompanied with nice fresh salad and steam rice. We also had some noodles with vegetables, tasty but a lot of carrots in there as a proportion to the rest veggies.Prices were good costing us some 45 euros for 2 persons with a small sake and a soft drink. No dessert ordered as we had no much time ahead and had to leave.",Akakiko,Review 272 Similarity,0.390360029,,,,,"{'neg': 0.069, 'neu': 0.775, 'pos': 0.156, 'compound': 0.9723}",0.9723,pos
70,20,"One of the first restaurants I ever tried in Nicosia. It was truly moderate at best. The food was not bad at all, the sushi is not inventive at all, but passable. The spring rolls were pretty good. The sesame chicken I did not enjoy though, although I usually enjoy that type of meal. But the chicken was pretty dry. They offer lunch deals, but they are not as appealing as I'd hoped. I'd have preferred better deals on sushi, which I didn't feel they offered. The service was painfully slow. The prices were pretty high as well, even the meal wasn't all that impressive. The menu is very varied and packed though, for those who like lots of options. The seating and atmosphere are also commendable. For me though, there are better value-for-money option available for a sushi meal.",Akakiko,Review 304 Similarity,0.390360029,,,,,"{'neg': 0.086, 'neu': 0.683, 'pos': 0.231, 'compound': 0.9755}",0.9755,pos
71,50,"The place to be. Menu, service and atmospheric excellence. Definitely recommended... undisputed quality",Akakiko,Review 59 Similarity,0.37796447299999997,,,,,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.7783}",0.7783,pos
72,50,Good placed for frienda and family!! Nice food and the services is excellent!!! I go again with my friends!!,Akakiko,Review 65 Similarity,0.37796447299999997,,,,,"{'neg': 0.0, 'neu': 0.506, 'pos': 0.494, 'compound': 0.9283}",0.9283,pos
73,50,We either visit the restaurant very often or order online. Whatever we choose to do we are very satisfied with our orders,Akakiko,Review 85 Similarity,0.37796447299999997,,,,,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4754}",0.4754,pos
74,50,"Great ambiance. Excellent service. Large array of options. Impecable dishes. Creativity, imagination and respct with regard to igredients. Very clean. But you are paying for the priviledge handsomely.",Akakiko,Review 107 Similarity,0.37796447299999997,,,,,"{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.9459}",0.9459,pos
75,50,"Fusion Japanese cuisine. Part of Hilton Park Nicosia, Akakiko is a modern busy restaurant serving fusion Japanese dishes and impressive sushi dishes. Very busy on weekends with moderate prices and professional service. Booking highly recommended",Akakiko,Review 118 Similarity,0.37796447299999997,,,,,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.659}",0.659,pos
76,40,"The whole atmosphere is good... The staff are polite and willing, the food is above average (for Japanese cusine in Cyprus) but between the time the order and the time the food comes to the table there is a looooong interval!We had to wait more than half an hour to have our food served!",Akakiko,Review 152 Similarity,0.37796447299999997,,,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
77,40,"open till midnight, will find everything japanese, lots of quantities (the Cyprus people EAT a LOT!!!!), good overall.",Akakiko,Review 188 Similarity,0.37796447299999997,,,,,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.6209}",0.6209,pos
